Anunciante,Marca,Modelo,Versao,Combustivel,Mes de Registo,Ano,Quilometros,Cilindrada [cm3],Potencia [cv],Segmento,Cor,Tipo de Caixa,Numero de Portas,Garantia de stand - incluida no preco [meses],Origem,Condicao,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Numero de Mudancas,Emissoes CO2 [g/km],Consumo Extra Urbano,Bateria,Autonomia Maxima,IUC,Sub-modelo,Consumo Combinado,Autonomia Electrica [km],Consumo [kWh/100km],Capacidade da Bateria [kWh],Classico,Site,Portugal,Valor Sem ISV,Link,Data
Profissional,Jeep,Wrangler Unlimited,2.8 CRD ATX Sahara Limited,Diesel,4,2009.0,140000.0,2777,177,SUV / TT,Preto,Automática,4.0,18,Nacional,Usados,42999,8089945660.0,3 Julho 2023,12.1,5.0,252.0,8.0,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Ferrari,F430,Spider F1,Gasolina,5,2008.0,58000.0,4308,490,Cabrio,Vermelho,Manual,2.0,18,,Usados,134999,8089945661.0,3 Julho 2023,21.0,6.0,420.0,12.2,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Ford,Focus SW,,Diesel,8,2015.0,140000.0,1498,95,Carrinha,Branco,Manual,5.0,0,,Usados,9900,8089946532.0,3 Julho 2023,4.3,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Hyundai,Tucson,1.6 CRDi Premium,Diesel,6,2022.0,16000.0,1598,116,SUV / TT,Preto,Manual,5.0,36,Nacional,Usados,36650,8089794115.0,3 Julho 2023,,,,,,,,,5.3,,,,Nao,StandVirtual,Yes,,,
Profissional,MINI,Countryman,Cooper SD Auto,Diesel,10,2017.0,100000.0,1995,190,SUV / TT,Vermelho,Automática,5.0,18,,Usados,24900,8088437746.0,1 Julho 2023,,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,GLA 180,d Urban,Diesel,3,2018.0,150000.0,1461,109,SUV / TT,Cinzento,Manual,5.0,36,,Usados,22990,8089559242.0,3 Julho 2023,4.8,6.0,113.0,4.0,,,,Classe GLA,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,308,1.5 BlueHDi Allure EAT8,Diesel,6,2018.0,120000.0,1499,130,Utilitário,Preto,Automática,5.0,18,,Usados,17750,8088773443.0,3 Julho 2023,,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Polo,1.0 TSi Confortline,Gasolina,12,2019.0,69000.0,999,95,Utilitário,Branco,Manual,5.0,18,Nacional,Usados,14700,8088443884.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Smart,ForTwo,EQ Passion,Eléctrico,11,2021.0,9108.0,0,82,Pequeno citadino,Preto,Automática,3.0,24,Importado,Usados,20190,8088991109.0,3 Julho 2023,,,,,Própria,,,,,160.0,17.4,20.0,Nao,StandVirtual,Yes,,,
Particular,Peugeot,208,1.6 BlueHDi GT Line,Diesel,8,2016.0,85000.0,1560,120,Citadino,Preto,Manual,5.0,0,,Usados,13450,8089584596.0,2 Julho 2023,4.4,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line Aut.,Diesel,8,2017.0,153000.0,1461,109,Carrinha,Azul,Automática,5.0,18,,Usados,23950,8089308040.0,3 Julho 2023,4.8,,,,,,,Classe CLA,,,,,Nao,StandVirtual,Yes,,,
