Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Gancho de Reboque,IUC,Inspecção válida até,Livro de Revisões completo,Clássico,IVA Discriminado,Filtro de partículas,Garantia de Fábrica até,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Bateria,Site,Portugal,Data
Profissional,SEAT,Toledo,,Diesel,Junho,2016,88 000 km,1 422 cm3,90 cv,,Sim,Sim,Sedan,Azul,,Automática,7,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,14 990        EUR,8088546656,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-toledo-ID8PoItV.html,,,,01/06/2024,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Citroën,DS3,1.6 THP Sport Chic,Gasolina,Setembro,2013,110 000 km,1 598 cm3,155 cv,,Sim,Sim,Cabrio,Castanho,,Manual,,3,4,,,,18 Meses,,Importado,,,,,Usados,12 450        EUR,8090666133,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-thp-sport-chic-ID8PxBR3.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,308,1.6 BlueHDi Active,Diesel,Março,2015,205 810 km,1 560 cm3,100 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Manual,,5,5,,,,18 Meses,,Nacional,,Sim,,,Usados,12 840        EUR,8090746375,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-active-ID8PxVJh.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Julho,2022,30 000 km,999 cm3,110 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,6,5,5,Classe 1,,,36 Meses,1,Nacional,,Sim,,,Usados,22 500        EUR,8090787455,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-fr-ID8Py7pR.html,,,,,,,,,01/01/0001,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Nissan,Qashqai,1.3 DIG-T Acenta,Gasolina,Julho,2022,6 307 km,1 332 cm3,140 cv,Sim,,,SUV / TT,Preto,,Manual,,5,5,,,,36 Meses,,Nacional,,,,,Usados,28 480        EUR,8089957582,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-3-dig-t-acenta-ID8PuDvO.html,,,,,,,,,,"6,30 l/100km",,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Hyundai,Kauai,1.0 T-GDi Premium,Gasolina,Janeiro,2022,24 535 km,998 cm3,120 cv,Sim,,,SUV / TT,Branco,,Manual,,5,5,,,,62 Meses,,Nacional,,,,,Usados,21 950        EUR,8089747480,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-1-0-t-gdi-premium-ID8PtKS4.html,,,,,,,,,02/01/2029,6 l/100km,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Mégane,,Diesel,Junho,2017,112 684 km,1 461 cm3,110 cv,Sim,,,Carrinha,Cinzento,,Manual,,5,5,,,95 g/km,36 Meses,,Nacional,,,"4,20 l/100km","3,40 l/100km",Usados,15 990        EUR,8089852036,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-ID8Puc4s.html,,,,,,,,,24/10/2026,"3,70 l/100km",,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,508 SW,1.5 BlueHDi Business Line,Diesel,Outubro,2019,47 720 km,1 499 cm3,130 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,1,Nacional,,Sim,,,Usados,27 500        EUR,8086028866,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-5-bluehdi-business-line-ID8Pe9uq.html,,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Jeep,Renegade,1.0 T Limited,Gasolina,Setembro,2019,52 000 km,999 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,,,,18 Meses,1,Nacional,Sim,Sim,"6,50 l/100km",,Usados,18 990        EUR,8089764159,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/jeep-renegade-1-0-t-limited-ID8PtPd5.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,SEAT,Alhambra,2.0 TDi Style Advanced DSG,Diesel,Fevereiro,2018,205 850 km,1 968 cm3,150 cv,,Sim,Sim,Monovolume,Cinzento,,Automática,,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,22 500        EUR,8090058654,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-alhambra-2-0-tdi-style-advanced-dsg-ID8Pw3P0.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
