Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Classe do veículo,Tracção,Emissões CO2,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Inspecção válida até,Livro de Revisões completo,IVA Discriminado,Origem,Registo(s),Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,IUC,Capacidade da bateria,Bateria,Autonomia,Consumo Combinado,Consumo,Clássico,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Peugeot,2008,1.2 PureTech GT Pack EAT8,Gasolina,Janeiro,2023,6 km,1 199 cm3,130 cv,,Sim,Sim,SUV / TT,Azul,,Automática,5,5,36 Meses,Usados,32 800        EUR,8089821003,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-gt-pack-eat8-ID8Pu3ZW.html,8,Classe 1,Tracção dianteira,,,,,,,,,,Importado,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,GLA 220,d Style,Diesel,Junho,2017,139 000 km,2 143 cm3,170 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,5,18 Meses,Usados,30 900        EUR,8089793753,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-220-d-style-ID8PtVUp.html,,,,115 g/km,,,,,,,Sim,,,1,,,Classe GLA,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Agosto,2018,78 242 km,1 461 cm3,109 cv,Sim,Sim,Sim,Utilitário,Branco,,Automática,5,5,24 Meses,Usados,31 990        EUR,8088708791,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PpoF1.html,7,Classe 1,,,,Sim,"4,50 l/100km",,Sim,,,,Nacional,,,,Classe A,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,C 220,d Coupe 9G-TRONIC AMG Line,Diesel,Novembro,2017,117 000 km,2 143 cm3,170 cv,Sim,Sim,Sim,Coupé,Branco,Metalizado,Automática,2,4,18 Meses,Usados,33 750        EUR,8089389590,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-coupe-9g-tronic-amg-line-ID8PsfLE.html,,,,,,Sim,5 l/100km,,Sim,,Sim,,,,,,Classe C,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,C 220,d Avantgarde+ Aut.,Diesel,Junho,2018,158 000 km,2 143 cm3,170 cv,,Sim,Sim,Sedan,Branco,,Automática,5,5,18 Meses,Usados,32 999        EUR,8087409601,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-aut-ID8PjVGl.html,9,Classe 1,Integral,,Sim,Sim,"5,30 l/100km",,Sim,,,,,,,,Classe C,240 €,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,VW,ID.3,,Eléctrico,Outubro,2020,15 000 km,,204 cv,Sim,,Sim,Citadino,Azul,,Automática,5,5,36 Meses,Usados,42 500        EUR,8087393334,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-id-3-ID8PjSrY.html,,Classe 1,,,Sim,Sim,,,,,Sim,,,,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Agosto,2021,68 999 km,1 499 cm3,130 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,7,18 Meses,Usados,36 999        EUR,8090336537,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-eat8-ID8Pve6Z.html,,Classe 1,,,Sim,Sim,"4,50 l/100km",,,,Sim,,,,,,,160 €,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Jaguar,F-Pace,2.0 i4D R-Sport Aut.,Diesel,Março,2018,55 000 km,1 999 cm3,180 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,5,5,18 Meses,Usados,39 900        EUR,8088849702,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-f-pace-2-0-i4d-r-sport-aut-ID8PpZjM.html,8,Classe 1,,,Sim,Sim,,,Sim,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Kia,e-Niro,,Eléctrico,Julho,2021,12 000 km,,204 cv,Sim,,Sim,SUV / TT,Vermelho,Metalizado,Automática,5,5,36 Meses,Usados,41 500        EUR,8087073779,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-e-niro-ID8PixjR.html,,,,,Sim,Sim,,,,,,Sim,,1,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,BMW,420,i Line Sport Auto,Gasolina,Novembro,2019,70 000 km,1 998 cm3,184 cv,,Sim,,Coupé,Cinzento,Metalizado,Automática,2,4,18 Meses,Usados,33 889        EUR,8089406668,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-i-line-sport-auto-ID8Pskd6.html,,,,,Sim,Sim,,,,,Sim,Sim,,,,,Série 4,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Mercedes-Benz,A 250,e Style Plus,Híbrido (Gasolina),Setembro,2020,47 575 km,1 332 cm3,218 cv,,,,Sedan,Branco,Mate,Automática,5,5,,Usados,33 950        EUR,8090630838,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-e-style-plus-ID8PxsFM.html,8,Classe 1,Tracção dianteira,22 g/km,,,,,,,,,,,,,Classe A,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Mercedes-Benz,S 350,BlueTEC 164g,Diesel,Setembro,2013,210 000 km,2 987 cm3,258 cv,,,,Sedan,Preto,Metalizado,Automática,4,5,,Usados,44 500        EUR,8090058334,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-s-350-bluetec-164g-ID8Pw3JQ.html,7,Classe 1,Tracção traseira,164 g/km,Sim,Sim,"9,90 l/100km","5,80 l/100km",,15/10/2023,Sim,,Nacional,1,700 km,,Classe S,605 €,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,MINI,Countryman,Cooper S E ALL4 Auto,Híbrido (Gasolina),Abril,2020,120 000 km,1 499 cm3,224 cv,,Sim,Sim,SUV / TT,Verde,Metalizado,Automática,5,5,18 Meses,Usados,31 490        EUR,8090507533,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-cooper-s-e-all4-auto-ID8PvVAZ.html,6,,Integral,40 g/km,,Sim,,,,,Sim,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,BMW,i3,,Eléctrico,Abril,2019,40 000 km,,170 cv,Sim,Sim,Sim,Citadino,Azul,Metalizado,Automática,5,4,36 Meses,Usados,33 446        EUR,8087995561,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8Pmp7j.html,,Classe 1,,,Sim,Sim,,,,,,,,,,,Série i,,,Própria,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,ML 450,,Diesel,Maio,2010,61 000 km,3 996 cm3,306 cv,Sim,Sim,,SUV / TT,Preto,,Automática,5,5,18 Meses,Usados,33 900        EUR,8090633233,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-ml-450-ID8Pxtip.html,7,Classe 2,,,,Sim,,,,,,,Nacional,1,,,Classe M,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,E 300,De Exclusive Line,Híbrido (Diesel),Junho,2019,132 000 km,1 950 cm3,306 cv,Sim,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,4,,18 Meses,Usados,36 900        EUR,8090596629,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-exclusive-line-ID8PxjM1.html,,,,,Sim,Sim,,,,,Sim,Sim,Nacional,1,,,Classe E,,,,51 km,,"16,10 kWh/100km",,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,C 220,D Avantgarde,Diesel,Fevereiro,2019,49 000 km,1 950 cm3,194 cv,,Sim,Sim,Sedan,Preto,Metalizado,Automática,4,5,18 Meses,Usados,39 300        EUR,8087998949,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PmpZX.html,9,Classe 1,Tracção traseira,,Sim,Sim,,,,,Sim,,Nacional,1,,,Classe C,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Jaguar,XJ,3.0 D V6 LWB Premium Luxury,Diesel,Maio,2010,120 000 km,2 993 cm3,275 cv,,,,Sedan,Preto,Pérola,Automática,4,4,,Usados,34 700        EUR,8090294464,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xj-3-0-d-v6-lwb-premium-luxury-ID8Pv3ao.html,,,,,,,"8,70 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
