Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Possibilidade de financiamento,Origem,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,VIN,IVA Discriminado,Registo(s),Sub-modelo,Inspecção válida até,IUC,Garantia de Fábrica até,Consumo Combinado,Bateria,Autonomia Máxima,Capacidade da bateria,Autonomia,Consumo,ou até,Site,Portugal,Data
Profissional,BMW,116,Gasolina,Dezembro,2016,79 275 km,1 499 cm3,109 cv,Utilitário,Branco,,Manual,6,5,,,Tracção dianteira,18 Meses,,,,Usados,21 990,8092065455,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-i-pack-m-ID8PDtSL.html,i Pack M,Sim,Sim,,132 g/km,,,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Passat Variant,Diesel,Julho,2018,162 633 km,1 968 cm3,150 cv,Carrinha,Preto,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,18 490,8090413034,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8Pvy0O.html,2.0 TDi Confortline,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Renault,Clio,Diesel,Junho,2020,115 614 km,1 461 cm3,85 cv,Utilitário,Cinzento,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,15 490,8091751706,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-intens-ID8PCagi.html,1.5 Blue dCi Intens,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Fiat,500,Gasolina,Julho,2020,47 937 km,1 242 cm3,69 cv,Citadino,Branco,,Automática,,3,4,,,18 Meses,Sim,,Sim,Usados,15 850,8091751702,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-dualogic-s-s-ID8PCage.html,1.2 Lounge Dualogic S&S,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,BMW,318,Diesel,Fevereiro,2018,127 344 km,1 995 cm3,150 cv,Carrinha,Azul,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,23 890,8090761349,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-line-sport-ID8Py0CN.html,d Touring Line Sport,Sim,Sim,Nacional,,,,,,,Série 3,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Touran,Diesel,Dezembro,2018,142 279 km,1 968 cm3,150 cv,Monovolume,Cinzento,,Manual,,5,7,,,18 Meses,Sim,,Sim,Usados,23 990,8091616890,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-touran-2-0-tdi-confortline-ID8PBBbQ.html,2.0 TDI Confortline,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Passat Variant,Diesel,Janeiro,2016,204 824 km,1 968 cm3,190 cv,Carrinha,Cinzento,,Automática,,5,5,,,18 Meses,Sim,,Sim,Usados,19 990,8090843123,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-highline-dsg-ID8PylTJ.html,2.0 TDi Highline DSG,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,BMW,X3,Diesel,Abril,2014,191 569 km,1 995 cm3,184 cv,SUV / TT,Preto,,Automática,8,5,5,Classe 2,,18 Meses,,Sim,Sim,Usados,20 990,8091621528,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x3-20-d-xdrive-auto-ID8PBCoE.html,20 d xDrive Auto,,Sim,Nacional,,6 l/100km,,,,,Série X,,,,5 l/100km,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Sharan,Diesel,Julho,2018,101 449 km,1 968 cm3,150 cv,Monovolume,Preto,,Manual,,5,7,,,18 Meses,Sim,,Sim,Usados,26 990,8091287117,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-sharan-2-0-tdi-confortline-ID8PAdoW.html,2.0 TDI Confortline,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,SEAT,Arona,Diesel,Novembro,2018,104 151 km,1 598 cm3,95 cv,SUV / TT,Cinzento,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,16 490,8091616889,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-6-tdi-style-ID8PBBbP.html,1.6 TDI Style,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
