Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Consumo Urbano,Filtro de partículas,Sub-modelo,Consumo Extra Urbano,Consumo Combinado,Emissões CO2,IUC,Inspecção válida até,Garantia de Fábrica até,ou até,IVA Discriminado,Clássico,Autonomia Máxima,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,BMW,420,d Pack M Auto,Diesel,Abril,2014,142 000 km,1 995 cm3,184 cv,Sim,Sim,Sim,Cabrio,Cinzento,,Automática,8,2,4,Classe 1,,18 Meses,1,Importado,,Sim,Sim,Usados,31 750        EUR,8090513791,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-d-pack-m-auto-ID8PvYdW.html,,,Série 4,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Hyundai,Tucson,1.6 CRDi Vanguard,Diesel,Março,2023,9 550 km,1 598 cm3,116 cv,Sim,,,SUV / TT,Preto,,Manual,,5,5,,,77 Meses,,Nacional,,,,Usados,37 900        EUR,8090586705,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-crdi-vanguard-ID8PxhbX.html,,,,,"5,30 l/100km",,,,02/03/2030,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Novembro,2022,15 000 km,1 950 cm3,116 cv,Sim,,,Utilitário,Preto,,Automática,,5,5,,,24 Meses,,Nacional,,,,Usados,38 750        EUR,8090586702,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbU.html,,,Classe A,,5 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Dezembro,2022,17 500 km,1 950 cm3,116 cv,Sim,,,Utilitário,Branco,,Automática,,5,5,,,24 Meses,,Nacional,,,,Usados,38 750        EUR,8090586704,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbV.html,,,Classe A,,5 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Dezembro,2022,20 000 km,1 950 cm3,116 cv,Sim,,,Utilitário,Preto,,Automática,,5,5,,,24 Meses,,Nacional,,,,Usados,38 750        EUR,8090586699,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbR.html,,,Classe A,,5 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Novembro,2022,18 000 km,1 950 cm3,116 cv,Sim,,,Utilitário,Cinzento,,Automática,,5,5,,,24 Meses,,Nacional,,,,Usados,38 950        EUR,8090586701,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbT.html,,,Classe A,,5 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,X5,25 d sDrive Comfort 7L,Diesel,Janeiro,2016,228 549 km,1 995 cm3,231 cv,,,,SUV / TT,Preto,Metalizado,Automática,8,5,7,Classe 1,Tracção traseira,,1,Nacional,Sim,Sim,Sim,Usados,34 900        EUR,8090321344,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x5-25-d-sdrive-comfort-7l-ID8Pva9V.html,"5,90 l/100km",,Série X,"4,90 l/100km",,139 g/km,,31/01/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2019,71 000 km,1 461 cm3,116 cv,Sim,Sim,Sim,Sedan,Preto,,Automática,,5,5,,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,32 500        EUR,8089969019,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PuGwh.html,,,Classe A,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,CLA 45 AMG,4Matic 7G-DCT,Gasolina,Outubro,2015,116 000 km,1 991 cm3,381 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,7,4,5,,,18 Meses,,,Sim,Sim,Sim,Usados,35 900        EUR,8084644206,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-45-amg-4matic-7g-dct-ID8P8lhc.html,,,Classe CLA,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,5008,1.5 BlueHDi Allure EAT8,Diesel,Janeiro,2020,136 027 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Prateado,Metalizado,Automática,8,5,7,,Tracção dianteira,18 Meses,,,,Sim,Sim,Usados,30 750        EUR,8090586652,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-eat8-ID8Pxhb6.html,,Sim,,,,98 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,320 Gran Turismo,d Pack M Auto,Diesel,Abril,2019,124 229 km,1 995 cm3,190 cv,,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,37 500        EUR,8088164737,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-gran-turismo-d-pack-m-auto-ID8Pn77X.html,,Sim,Série 3,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 160,AMG Line,Gasolina,Março,2021,42 700 km,1 332 cm3,109 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,,,Sim,Usados,32 450        EUR,8089851969,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-amg-line-ID8Puc3n.html,,,Classe A,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,C 220,d Coupe 9G-TRONIC AMG Line,Diesel,Novembro,2017,117 000 km,2 143 cm3,170 cv,Sim,Sim,Sim,Coupé,Branco,Metalizado,Automática,,2,4,,,18 Meses,,,Sim,,Sim,Usados,33 750        EUR,8089389590,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-coupe-9g-tronic-amg-line-ID8PsfLE.html,5 l/100km,Sim,Classe C,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,520,d Auto,Diesel,Janeiro,2021,77 308 km,1 995 cm3,190 cv,Sim,,Sim,Carrinha,Cinzento,,Automática,,5,5,Classe 1,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,,Usados,41 490        EUR,8089053230,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PqQgu.html,,,Série 5,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Cupra,Formentor,1.5 TSI Base DSG,Gasolina,Setembro,2022,5 964 km,1 498 cm3,150 cv,,,,SUV / TT,Preto,Metalizado,Automática,7,5,5,,Tracção dianteira,18 Meses,,,,,,Usados,35 650        EUR,8089944954,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-base-dsg-ID8PuAf8.html,"6,50 l/100km",,,5 l/100km,,151 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,E 220,D AMG,Diesel,Dezembro,2016,117 078 km,1 950 cm3,194 cv,,,,Sedan,Cinzento,,Automática,,5,,,,18 Meses,,Nacional,,,,Usados,39 500        EUR,8089257955,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-ID8PrHvw.html,"6,10 l/100km",,Classe E,,,112 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Volvo,XC 60,2.0 D4 Momentum,Diesel,Julho,2019,49 000 km,1 969 cm3,190 cv,Sim,Sim,Sim,SUV / TT,Castanho,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,35 900        EUR,8090536156,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-60-2-0-d4-momentum-ID8Px42E.html,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Tesla,Model 3,Tração Traseira,Eléctrico,Março,2022,598 km,,325 cv,,Sim,Sim,Sedan,Cinzento,,Automática,,4,5,Classe 1,Tracção dianteira,36 Meses,,Importado,,,,Usados,43 500        EUR,8087242363,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-trao-traseira-ID8PjfaX.html,,,,,,,,,,,Sim,,,,Própria,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake AMG Line Aut.,Diesel,Março,2017,90 890 km,2 143 cm3,177 cv,,Sim,Sim,Carrinha,Branco,,Automática,7,5,5,Classe 1,,18 Meses,,,,,,Usados,33 990        EUR,8088499320,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-220-d-shooting-brake-amg-line-aut-ID8Povas.html,,,Classe CLA,,,,,01/03/2025,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,Traveller,1.6 BlueHDi L1H1 Business Compact,Diesel,Julho,2018,122 965 km,1 560 cm3,115 cv,Sim,,Sim,Carrinha,Cinzento,,Manual,,4,8,,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,,Usados,38 490        EUR,8090183993,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-traveller-1-6-bluehdi-l1h1-business-compact-ID8PwAqB.html,,,,,,137 g/km,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Audi,A6 Avant,40 TDI Design S tronic,Diesel,Março,2019,97 500 km,1 968 cm3,204 cv,Sim,,,Carrinha,Cinzento,,Automática,,5,5,,,18 Meses,,Nacional,,,,Usados,44 490        EUR,8088737368,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-40-tdi-design-s-tronic-ID8Ppv5V.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,520,d Line Sport Auto,Diesel,Julho,2018,37 550 km,1 995 cm3,190 cv,Sim,Sim,,Carrinha,Azul,,Automática,,5,5,,,18 Meses,1,,,,,Usados,37 500        EUR,8087702343,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-sport-auto-ID8PlaPZ.html,,,Série 5,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Opel,Vivaro,2.0 CDTi L3H1 Enjoy Inc,Diesel,Junho,2022,15 970 km,1 997 cm3,145 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,6,,,36 Meses,1,Nacional,Sim,Sim,Sim,Usados,36 500        EUR,8090112789,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-vivaro-2-0-cdti-l3h1-enjoy-inc-ID8PwhU9.html,,Sim,,,,,,,01/01/0001,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180 Limousine,d AMG Line Aut.,Diesel,Julho,2020,51 150 km,1 461 cm3,116 cv,Sim,Sim,Sim,Sedan,Branco,,Automática,,4,5,Classe 1,,24 Meses,1,Importado,Sim,Sim,Sim,Usados,34 900        EUR,8089188847,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-limousine-d-amg-line-aut-ID8PrpxR.html,,Sim,Classe A,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2019,60 000 km,1 461 cm3,116 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,18 Meses,1,,Sim,,Sim,Usados,31 495        EUR,8090153943,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PwsBW.html,,,Classe A,,,123 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,435 Gran Coupé,d xDrive Pack M Auto,Diesel,Setembro,2014,149 907 km,2 993 cm3,313 cv,Sim,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,5,5,Classe 1,,24 Meses,1,Nacional,Sim,Sim,Sim,Usados,35 000        EUR,8088496503,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-435-gran-coup-d-xdrive-pack-m-auto-ID8Powr1.html,,Sim,Série 4,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,CLA 45 AMG,4Matic Shooting Brake Speedshift 7G-DCT Night Edition,Gasolina,Abril,2017,149 897 km,1 991 cm3,381 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,,24 Meses,1,Importado,Sim,Sim,Sim,Usados,43 750        EUR,8089434875,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-45-amg-4matic-shooting-brake-speedshift-7g-dct-night-edition-ID8Psry3.html,,,Classe CLA,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Janeiro,2016,93 712 km,1 995 cm3,190 cv,,,,Sedan,Outra,Metalizado,Automática,8,5,,Classe 1,Tracção traseira,,1,Nacional,Sim,,Sim,Usados,32 900        EUR,8090573718,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-pack-m-auto-ID8PxdOu.html,,,Série 4,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,i3,,Eléctrico,Janeiro,2020,28 081 km,,184 cv,,Sim,Sim,Utilitário,Vermelho,,Automática,,5,4,Classe 1,,36 Meses,1,Nacional,,Sim,Sim,Usados,33 500        EUR,8089275506,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8PrM5A.html,,,Série i,,,,,,01/01/0001,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Setembro,2019,97 495 km,1 950 cm3,194 cv,Sim,,Sim,Carrinha,Preto,,Automática,,5,5,,,18 Meses,,Nacional,,,,Usados,37 500        EUR,8089077183,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PqVuP.html,"5,50 l/100km",,Classe C,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Zoe,Limited 50,Eléctrico,Abril,2022,16 419 km,,109 cv,Sim,,Sim,Pequeno citadino,Cinzento,,Automática,,5,,,,18 Meses,,Nacional,,,,Usados,31 500        EUR,8089077227,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-limited-50-ID8PqVwx.html,,,,,,,,,21/04/2025,,,,,395 km,,,"17,30 kWh/100km",,StandVirtual,Yes,2023-09-12
Profissional,BMW,i3,,Eléctrico,Abril,2019,40 000 km,,170 cv,Sim,Sim,Sim,Citadino,Azul,Metalizado,Automática,,5,4,Classe 1,,36 Meses,,,,Sim,Sim,Usados,33 446        EUR,8087995561,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8Pmp7j.html,,,Série i,,,,,,,,,,,,Própria,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,C 250,d Aut.,Diesel,Março,2016,92 577 km,2 143 cm3,204 cv,Sim,Sim,Sim,Coupé,Preto,Metalizado,Automática,,2,4,Classe 1,,24 Meses,1,Nacional,Sim,Sim,Sim,Usados,36 900        EUR,8089083006,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-250-d-aut-ID8PqY0K.html,,Sim,Classe C,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Dezembro,2019,105 000 km,1 950 cm3,306 cv,Sim,Sim,Sim,Carrinha,Branco,,Automática,,5,5,Classe 1,,18 Meses,1,Importado,Sim,Sim,Sim,Usados,42 990        EUR,8088911201,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-amg-line-ID8PqfjH.html,,Sim,Classe E,,,44 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,M140i,xDrive Sport-Aut.,Gasolina,Abril,2017,109 000 km,2 998 cm3,340 cv,,,,Utilitário,Cinzento,Metalizado,Automática,8,3,4,Classe 1,Integral,18 Meses,1,Importado,Sim,Sim,Sim,Usados,39 990        EUR,8090448097,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-m140i-xdrive-sport-aut-ID8PvH8l.html,"9,80 l/100km",,Série 1,6 l/100km,,169 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,E 220,d AMG Line,Diesel,Agosto,2017,185 339 km,1 950 cm3,194 cv,Sim,Sim,Sim,Coupé,Preto,Metalizado,Automática,9,3,4,Classe 1,,24 Meses,1,Importado,Sim,Sim,Sim,Usados,42 850        EUR,8089507782,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-line-ID8PsKwY.html,,Sim,Classe E,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Porsche,Panamera,4 Platinum Edition PDK,Gasolina,Dezembro,2010,185 000 km,3 605 cm3,300 cv,,,Sim,Sedan,Cinzento,Metalizado,Automática,7,5,4,Classe 1,Integral,18 Meses,,,Sim,Sim,,Usados,36 500        EUR,8089136050,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/porsche-panamera-4-platinum-edition-pdk-ID8PrbOi.html,"13,50 l/100km",,,,,,,01/12/2023,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,530,e iPerformance Pack M,Híbrido (Gasolina),Fevereiro,2018,110 000 km,1 998 cm3,252 cv,,,,Sedan,Azul,Metalizado,Automática,8,4,5,Classe 1,Tracção traseira,,,Nacional,Sim,Sim,Sim,Usados,34 900        EUR,8090249733,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-530-e-iperformance-pack-m-ID8PwRvW.html,,,Série 5,,,36 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,640,d Pack M,Diesel,Novembro,2011,105 000 km,2 993 cm3,313 cv,,,,Coupé,Preto,Metalizado,Automática,,2,4,Classe 1,,,,,,Sim,Sim,Usados,34 400        EUR,8086680430,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-640-d-pack-m-ID8PgSZv.html,,Sim,Série 6,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,420,d Cabrio Sport-Aut. M Sport,Diesel,Novembro,2017,65 000 km,1 995 cm3,190 cv,,,,Cabrio,Cinzento,,Automática,8,2,4,Classe 1,Tracção traseira,,,Importado,,Sim,Sim,Usados,43 250        EUR,8090012411,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-d-cabrio-sport-aut-m-sport-ID8PuRN9.html,"5,60 l/100km",Sim,Série 4,,,,,,11/07/2024,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180 Limousine,d AMG Line Aut.,Diesel,Junho,2019,119 000 km,1 461 cm3,116 cv,,,,Sedan,Cinzento,Metalizado,Automática,9,4,5,Classe 1,Tracção dianteira,18 Meses,,,Sim,Sim,Sim,Usados,30 990        EUR,8089300486,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-limousine-d-amg-line-aut-ID8PrSAu.html,"4,70 l/100km",,Classe A,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Audi,A4 Allroad,2.0 TDI quattro,Diesel,Janeiro,2018,106 116 km,1 968 cm3,150 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,1,,Sim,Sim,Sim,Usados,32 900        EUR,8087791709,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-allroad-2-0-tdi-quattro-ID8Ply5n.html,"6,80 l/100km",Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,ID.3,,Eléctrico,Outubro,2020,15 000 km,,204 cv,Sim,,Sim,Citadino,Azul,,Automática,,5,5,Classe 1,,36 Meses,,,Sim,Sim,Sim,Usados,42 500        EUR,8087393334,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-id-3-ID8PjSrY.html,,,,,,,,,01/01/0001,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Mercedes-Benz,CLA 250,e Shooting Brake AMG Line,Híbrido (Gasolina),Julho,2021,32 000 km,1 332 cm3,218 cv,,,,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,1,Importado,Sim,Sim,Sim,Usados,42 800        EUR,8089400607,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-250-e-shooting-brake-amg-line-ID8PsiDl.html,,,Classe CLA,,,32 g/km,134 €,19/11/2024,27/01/2025,,,,75 km,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Jaguar,F-Pace,2.0 i4D R-Sport Aut.,Diesel,Março,2018,55 000 km,1 999 cm3,180 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,39 900        EUR,8088849702,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-f-pace-2-0-i4d-r-sport-aut-ID8PpZjM.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mitsubishi,Outlander,2.4 PHEV Instyle,Híbrido (Gasolina),Dezembro,2018,90 264 km,2 360 cm3,224 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,1,Nacional,,,Sim,Usados,30 950        EUR,8089349019,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-outlander-2-4-phev-instyle-ID8Ps5dh.html,,Sim,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Maio,2021,75 887 km,1 461 cm3,116 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Automática,,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,34 900        EUR,8089913890,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8Pusa6.html,,Sim,Classe A,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,CLA 45 AMG,4-Matic,Gasolina,Outubro,2014,135 000 km,1 991 cm3,360 cv,,Sim,Sim,Sedan,Branco,,Automática,7,4,5,,Integral,18 Meses,,Nacional,Sim,Sim,Sim,Usados,34 990        EUR,8090192435,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-45-amg-4-matic-ID8PwCCL.html,"8,80 l/100km",,Classe CLA,"5,80 l/100km",,161 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Volvo,V90,2.0 D4 R-Design Geartronic,Diesel,Junho,2020,74 947 km,1 969 cm3,190 cv,Sim,,Sim,Carrinha,Cinzento,,Automática,8,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,38 490        EUR,8090059901,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v90-2-0-d4-r-design-geartronic-ID8Pw497.html,,,,,,152 g/km,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,216 Gran Coupé,d Pack M,Diesel,Janeiro,2021,60 541 km,1 496 cm3,116 cv,Sim,,Sim,Sedan,Cinzento,,Automática,,4,5,,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,,Usados,33 390        EUR,8089944695,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-pack-m-ID8PuAaX.html,,,Série 2,,,124 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,C 200,d AMG Line Aut.,Diesel,Maio,2019,90 000 km,1 598 cm3,160 cv,Sim,Sim,Sim,Sedan,Branco,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,35 900        EUR,8090299016,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-d-amg-line-aut-ID8Pv4lO.html,,,Classe C,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Mercedes-Benz,C 200,d AMG Line Aut.,Diesel,Novembro,2019,60 000 km,1 598 cm3,160 cv,,,,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,,1,Importado,Sim,Sim,Sim,Usados,34 000        EUR,8088036357,10 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-d-amg-line-aut-ID8PmzJj.html,"5,30 l/100km",Sim,Classe C,,,173 g/km,146 €,12/11/2023,,,,,1 200 km,,,,,,StandVirtual,Yes,2023-09-12
Particular,Mercedes-Benz,C 450,AMG 4Matic 7G-TRONIC,Gasolina,Outubro,2015,62 000 km,2 996 cm3,367 cv,,,,Sedan,Cinzento,Metalizado,Automática,7,4,5,Classe 1,Integral,,1,Importado,Sim,,Sim,Usados,39 900        EUR,8090537564,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-450-amg-4matic-7g-tronic-ID8Px4pm.html,"10,30 l/100km",,Classe C,"6,40 l/100km",,300 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,GLC 250,d AMG Line 4-Matic,Diesel,Setembro,2018,93 759 km,2 143 cm3,204 cv,Sim,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,9,5,5,Classe 1,Integral,24 Meses,,Nacional,Sim,,Sim,Usados,44 990        EUR,8090135122,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-amg-line-4-matic-ID8PwnIm.html,7 l/100km,Sim,Classe GLC,"5,60 l/100km",,186 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,X2,16 d sDrive Pack M,Diesel,Julho,2021,50 533 km,1 496 cm3,116 cv,Sim,,Sim,SUV / TT,Branco,,Manual,,5,5,,Tracção traseira,18 Meses,,Nacional,Sim,Sim,,Usados,36 490        EUR,8089944680,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x2-16-d-sdrive-pack-m-ID8PuAaI.html,,,Série X,,,132 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
