Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Filtro de partículas,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,IVA Discriminado,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Clássico,Site,Portugal
Particular,Smart,ForTwo,cdi cabrio softouch passion dpf,Diesel,Julho,2013,80 000 km,799 cm3,54 cv,,,Cabrio,Azul,Metalizado,Automática,,2,,,,,,Sim,,,,,,,"3,40 l/100km",Usados,11 500        EUR,8089862665,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Insignia,2.0 CDTi Executive S/S,Diesel,Março,2015,154 000 km,1 956 cm3,140 cv,Sim,Sim,Sedan,Preto,Metalizado,Manual,6,4,5,Classe 1,,98 g/km,,,18 Meses,1,Nacional,Sim,Sim,Sim,"4,60 l/100km",Usados,13 950        EUR,8089911591,5 Julho 2023,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.4 Airdream Seduction,Gasolina,Outubro,2010,125 000 km,1 360 cm3,75 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,139 g/km,,,18 Meses,,Nacional,,Sim,Sim,8 l/100km,Usados,7 990        EUR,8089946418,5 Julho 2023,,,5 l/100km,10/10/2023,,,,,,,,,,,,,StandVirtual,Yes
Particular,Nissan,Qashqai,,Diesel,Maio,2015,100 000 km,1 598 cm3,130 cv,,,SUV / TT,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,119 g/km,,,,2,Nacional,,Sim,Sim,,Usados,7 500        EUR,8089944058,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,MINI,One,D,Diesel,Outubro,2013,94 505 km,1 598 cm3,90 cv,,,Citadino,Bege,,Manual,6,3,4,Classe 1,,,,Sim,,,,,,,"4,20 l/100km",Usados,10 500        EUR,8089151284,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.4 Dynamic Easytronic,Gasolina,Julho,2018,93 078 km,1 398 cm3,90 cv,Sim,Sim,Utilitário,Preto,Metalizado,Automática,,5,5,,,110 g/km,,,18 Meses,,,,,Sim,,Usados,14 990        EUR,8088008945,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.6 TDI FR,Diesel,Junho,2013,56 108 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,,,,,,18 Meses,,,,,Sim,,Usados,13 990        EUR,8084991122,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Janeiro,2019,169 054 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Azul,Metalizado,Manual,,5,5,,,,,,18 Meses,,,,,Sim,,Usados,13 990        EUR,8088774090,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,,Diesel,Julho,2012,146 332 km,1 398 cm3,68 cv,Sim,Sim,Utilitário,Castanho,Metalizado,Automática,,5,5,,,87 g/km,,,18 Meses,,,,,Sim,,Usados,11 990        EUR,8088839504,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Toyota,Aygo,1.0,Gasolina,Maio,2010,92 780 km,998 cm3,68 cv,,,Citadino,Vermelho,Mate,Manual,5,3,4,Classe 1,Tracção dianteira,102 g/km,,,,2,Importado,,Sim,,"5,30 l/100km",Usados,5 690        EUR,8089903707,5 Julho 2023,,,"3,90 l/100km",22/05/2024,,,4 km,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,207 CC,,Diesel,Julho,2010,150 000 km,1 560 cm3,112 cv,Sim,,Cabrio,Cinzento,Metalizado,Manual,6,2,4,Classe 1,Tracção dianteira,,,,18 Meses,1,,,Sim,Sim,6 l/100km,Usados,9 900        EUR,8088881447,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique,Diesel,Novembro,2012,190 800 km,1 461 cm3,110 cv,,Sim,Carrinha,Branco,,Manual,6,5,5,,Tracção dianteira,114 g/km,,,18 Meses,,Importado,,,Sim,"5,80 l/100km",Usados,8 350        EUR,8089968610,5 Julho 2023,Sim,,"4,20 l/100km",,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.3 MJ Pop S&S,Diesel,Outubro,2018,148 155 km,1 248 cm3,95 cv,Sim,Sim,Pequeno citadino,Preto,Metalizado,Manual,,3,4,,,89 g/km,,,18 Meses,,,,,Sim,,Usados,13 990        EUR,8088544777,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,0.9 8V TwinAir Lounge,Gasolina,Setembro,2010,86 909 km,875 cm3,85 cv,Sim,Sim,Citadino,Azul,Metalizado,Manual,5,3,4,,Tracção dianteira,95 g/km,,,18 Meses,,,,,,"4,90 l/100km",Usados,9 500        EUR,8089710722,5 Julho 2023,Sim,,"3,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Giulietta,,Diesel,Agosto,2014,159 750 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,,,114 g/km,,,18 Meses,,Nacional,,,,,Usados,13 500        EUR,8089601982,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2019,104 857 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,129 g/km,,,18 Meses,,,,,Sim,,Usados,14 900        EUR,8088575394,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Twingo,1.0 SCe Limited,Gasolina,Março,2019,84 632 km,999 cm3,70 cv,Sim,Sim,Citadino,Branco,,Manual,5,5,4,,,,,,18 Meses,,Nacional,,,,5 l/100km,Usados,14 950        EUR,8088154479,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.5 TDCi Business,Diesel,Outubro,2019,89 250 km,1 499 cm3,85 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,,,24 Meses,,Importado,Sim,,Sim,,Usados,14 950        EUR,8088338667,5 Julho 2023,,,,01/10/2023,,Sim,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A1 Sportback,1.6 TDI Design S tronic,Diesel,Outubro,2017,210 000 km,1 598 cm3,116 cv,,,Citadino,Preto,Metalizado,Automática,7,5,5,Classe 1,,99 g/km,,,,,Nacional,Sim,Sim,Sim,"4,40 l/100km",Usados,12 900        EUR,8089197294,5 Julho 2023,,,,31/10/2023,,,800 km,,,,,,,,,,StandVirtual,Yes
Particular,VW,Golf,1.6 TDI Confortline,Diesel,Outubro,2014,205 000 km,1 598 cm3,90 cv,,,Utilitário,Prateado,Metalizado,Manual,5,5,5,,,98 g/km,"148,58 €",,,,,,,Sim,,Usados,13 769        EUR,8089320011,5 Julho 2023,,,,15/10/2023,,,900 km,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Leon,1.6 TDI Style Ecomotive,Diesel,Outubro,2014,160 000 km,1 598 cm3,110 cv,,,Pequeno citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,94 g/km,,,,,Nacional,Sim,,Sim,"4,10 l/100km",Usados,11 000        EUR,8089784472,5 Julho 2023,,,"3,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,Março,2018,233 442 km,1 461 cm3,110 cv,,Sim,Carrinha,Cinzento,,Manual,,5,5,,Tracção dianteira,,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,12 990        EUR,8088359330,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,1.5 dCi Dynamique,Diesel,Abril,2011,377 812 km,1 461 cm3,90 cv,,Sim,Utilitário,Cinzento,,Manual,,5,5,,Tracção dianteira,104 g/km,,,18 Meses,,Importado,,Sim,,,Usados,5 490        EUR,8089257065,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,118,d,Diesel,Maio,2011,195 000 km,1 995 cm3,143 cv,Sim,Sim,Cabrio,Cinzento,Metalizado,Manual,6,2,4,Classe 1,Tracção traseira,,,,18 Meses,1,,Sim,Sim,Sim,,Usados,14 500        EUR,8087512249,5 Julho 2023,Sim,,,,,,,,Série 1,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Julho,2019,63 477 km,1 560 cm3,100 cv,Sim,Sim,Citadino,Bege,,Manual,6,5,5,Classe 1,,,,,18 Meses,1,,Sim,Sim,Sim,"4,40 l/100km",Usados,14 950        EUR,8089701210,5 Julho 2023,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cabrio,Cooper D,Diesel,Junho,2011,126 000 km,1 598 cm3,112 cv,Sim,Sim,Cabrio,Vermelho,,Manual,6,3,5,Classe 1,,,,,18 Meses,1,,Sim,Sim,Sim,,Usados,13 950        EUR,8089338707,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
