Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Emissões CO2,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,VIN,IUC,Consumo Extra Urbano,Autonomia Máxima,IVA Discriminado,Consumo Combinado,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Fiat,500,,1.2 Lounge,Gasolina,Março,2015,107 335 km,1 242 cm3,69 cv,Sim,Sim,Citadino,Preto,Manual,,3,4,,,,18 Meses,,Nacional,Usados,9 990,8092087444,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PDzBq.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,500,,,Híbrido (Gasolina),Março,2022,45 682 km,999 cm3,70 cv,Sim,Sim,Citadino,Branco,Manual,,3,4,,,,18 Meses,,Nacional,Usados,13 990,8091104084,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PzrMM.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,SEAT,Ibiza,,1.0 MPI Style,Gasolina,Junho,2021,45 195 km,999 cm3,80 cv,Sim,Sim,Utilitário,Prateado,Manual,,5,5,,,,18 Meses,,Nacional,Usados,14 500,8091564796,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-mpi-style-ID8PBnDC.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Citroën,C-Elysée,,1.2 PureTech Shine,Gasolina,Fevereiro,2018,91 735 km,1 199 cm3,82 cv,Sim,Sim,Sedan,Cinzento,Manual,,4,5,,,,18 Meses,,Nacional,Usados,10 990,8091648029,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c-elyse-1-2-puretech-shine-ID8PBJi5.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Citroën,C3,,1.5 BlueHDi Feel,Diesel,Julho,2019,72 674 km,1 499 cm3,102 cv,Sim,,Citadino,Cinzento,Manual,,5,5,Classe 1,,,18 Meses,1,Importado,Usados,14 990,8089338686,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8Ps2vC.html,,86 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Citroën,C3,,1.6 BlueHDi Live,Diesel,Setembro,2018,87 000 km,1 560 cm3,75 cv,,Sim,Citadino,Cinzento,Manual,,5,,,,,36 Meses,,,Usados,13 990,8092224487,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-live-ID8PE9fN.html,Metalizado,,,,,"4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,BMW,116,Série 1,d Urban Line,Diesel,Abril,2016,179 934 km,1 496 cm3,116 cv,,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,,,18 Meses,1,Importado,Usados,13 990,8092065879,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-urban-line-ID8PDtZB.html,,,Sim,Sim,Sim,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Nissan,Micra,,1.5 DCi N-Connecta Lifestyle S/S,Diesel,Agosto,2018,54 646 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Importado,Usados,13 990,8090655965,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-n-connecta-lifestyle-s-s-ID8Pxzd3.html,,,Sim,Sim,Sim,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Citroën,C3 Picasso,,,Diesel,Março,2014,365 000 km,1 560 cm3,99 cv,,Sim,Monovolume,Cinzento,Manual,,5,,,,,18 Meses,,,Usados,6 999,8091264815,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-picasso-ID8PA7Bd.html,,,,,,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Renault,Clio,,1.5 dCi Limited,Diesel,Maio,2019,127 916 km,1 461 cm3,90 cv,Sim,Sim,Citadino,Preto,Manual,,5,,,,,18 Meses,,Nacional,Usados,13 490,8091680971,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PBRRp.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
