Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Bateria,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Número de Mudanças,Origem,Tipo de cor,Classe do veículo,Tracção,IUC,Não fumador,2º Chave,Livro de Revisões completo,IVA Discriminado,Registo(s),Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,ou até,Capacidade da bateria,Autonomia Máxima,Sub-modelo,Autonomia,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Peugeot,5008,Diesel,Agosto,2018,80 000 km,1 560 cm3,120 cv,,Sim,,Monovolume,Cinzento,Manual,5,7,,18 Meses,Usados,24 899,8087779645,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-allure-ID8PluVN.html,1.6 BlueHDi Allure,6,,Metalizado,,,,Sim,Sim,Sim,,,"4,80 l/100km",,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,508 SW,Diesel,Março,2020,48 000 km,1 499 cm3,131 cv,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,133 g/km,18 Meses,Usados,24 980,8091926473,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-5-bluehdi-allure-pack-eat8-ID8PCTJ7.html,1.5 BlueHDi Allure Pack EAT8,8,,Metalizado,Classe 1,Tracção dianteira,,,,,,,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,CLA 180,Diesel,Junho,2015,84 000 km,1 461 cm3,109 cv,,,Sim,Sedan,Prateado,Manual,4,5,108 g/km,18 Meses,Usados,20 980,8091450093,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-cdi-urban-ID8PATNz.html,CDi Urban,6,Nacional,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,1,"4,70 l/100km","3,40 l/100km",,20 Junho 2024,,,,,Classe CLA,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Golf,Gasolina,Março,2021,67 556 km,999 cm3,110 cv,,Sim,Sim,Utilitário,Cinzento,Manual,5,5,,24 Meses,Usados,20 900,8092072538,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-0-tsi-life-ID8PDwJ0.html,1.0 TSI Life,6,,,Classe 1,Tracção dianteira,,,Sim,,Sim,1,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,3008,Diesel,Outubro,2015,159 852 km,1 560 cm3,120 cv,,,,SUV / TT,Branco,Automática,5,,112 g/km,18 Meses,Usados,15 499,8090797951,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-allure-eat6-j18-ID8Pya99.html,1.6 BlueHDi Allure EAT6 J18,6,,,,Tracção dianteira,,Sim,Sim,Sim,,,"4,70 l/100km","4,10 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,X2,Diesel,Janeiro,2020,76 200 km,1 995 cm3,150 cv,,Sim,,Utilitário,Branco,Manual,5,5,141 g/km,18 Meses,Usados,29 990,8092126907,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x2-sdrive18d-m-sport-x-ID8PDJRW.html,sDrive18d M Sport X,,Importado,Metalizado,Classe 1,Tracção dianteira,241 €,Sim,Sim,Sim,,1,"6,10 l/100km",5 l/100km,,2 Janeiro 2026,,,,,Série X,,"5,80 l/100km",,StandVirtual,Yes,2024-04-03
Particular,Kia,XCeed,Gasolina,Outubro,2021,21 500 km,998 cm3,120 cv,,,,SUV / TT,Cinzento,Manual,5,5,137 g/km,,Usados,22 900,8092176258,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-xceed-ID8PDVHU.html,,6,,Metalizado,,,,,,,,,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Volvo,V40,Diesel,Agosto,2018,106 800 km,1 969 cm3,120 cv,,Sim,Sim,Utilitário,Cinzento,Automática,5,5,,18 Meses,Usados,19 990,8086337754,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-momentum-geartronic-ID8PfrQu.html,2.0 D2 Momentum Geartronic,,,Metalizado,,,,Sim,Sim,Sim,,,"4,40 l/100km",,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,C 180,Diesel,Fevereiro,2019,114 250 km,1 598 cm3,116 cv,,Sim,Sim,Carrinha,Prateado,Manual,5,5,,18 Meses,Usados,23 950,8092181142,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-180-bluetec-avantgarde-ID8PDXYG.html,BlueTEC Avantgarde,6,Nacional,Metalizado,Classe 1,,,Sim,,Sim,,1,,,,,,,,,Classe C,,,,StandVirtual,Yes,2024-04-03
Profissional,Renault,Mégane,Diesel,Setembro,2021,119 000 km,1 461 cm3,115 cv,,,Sim,Utilitário,Cinzento,Automática,5,,,36 Meses,Usados,18 997,8092171956,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-limited-edc-ID8PDWAv.html,1.5 Blue dCi Limited EDC,,,Metalizado,,,,,,,Sim,,"3,90 l/100km",,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,A 180,Diesel,Outubro,2019,99 900 km,1 461 cm3,116 cv,,,Sim,Utilitário,Cinzento,Manual,5,5,125 g/km,18 Meses,Usados,27 000,8090990686,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-ID8PyYhM.html,d AMG Line,6,Nacional,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,1,,,Mostrar VIN,15 Outubro 2025,,,,,Classe A,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Arteon,Diesel,Abril,2018,86 000 km,1 968 cm3,240 cv,,,Sim,Sedan,Cinzento,Automática,5,5,,18 Meses,Usados,34 950,8091587288,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-arteon-ID8PBtuo.html,,8,Nacional,,,Integral,,Sim,Sim,,Sim,,,,Mostrar VIN,19 Abril 2024,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,A 45 AMG,Gasolina,Agosto,2014,103 545 km,1 991 cm3,360 cv,,,Sim,Utilitário,Branco,Automática,5,5,161 g/km,18 Meses,Usados,34 900,8092091371,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-45-amg-4matic-speedshift-7g-dct-edition-1-ID8PDACL.html,4Matic Speedshift 7G-DCT Edition 1,7,Importado,Metalizado,Classe 1,Integral,,Sim,Sim,Sim,,1,,,Mostrar VIN,19 Agosto 2024,,,,,Classe A,,,,StandVirtual,Yes,2024-04-03
Particular,Mercedes-Benz,GLC 250,Diesel,Janeiro,2018,106 007 km,2 143 cm3,204 cv,,Sim,,SUV / TT,Preto,Automática,5,5,186 g/km,,Usados,42 700,8092075889,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-amg-line-4-matic-ID8PDvB3.html,d AMG Line 4-Matic,9,Nacional,,,Integral,,Sim,Sim,Sim,,1,7 l/100km,"5,60 l/100km",Mostrar VIN,15 Janeiro 2026,,,,,Classe GLC,,,,StandVirtual,Yes,2024-04-03
Profissional,Jaguar,XF,Diesel,Fevereiro,2020,62 184 km,1 999 cm3,163 cv,,Sim,Sim,Sedan,Cinzento,Automática,4,5,135 g/km,18 Meses,Usados,33 990,8091439623,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-xf-ID8PAR4H.html,,,Importado,Metalizado,,,,Sim,,Sim,,1,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
