Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Tipo de cor,Aceita retoma,Número de Mudanças,Classe do veículo,Emissões CO2,2º Chave,Consumo Extra Urbano,Bateria,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Inspecção válida até,Filtro de partículas,ou até,Consumo Combinado,Autonomia,Consumo
Profissional,Volvo,V90,2.0 D4 Momentum,Diesel,Novembro,2017,184 124 km,1 969 cm3,190 cv,,Sim,Sim,Sim,Carrinha,Castanho,Manual,5,5,Tracção dianteira,18 Meses,1,Nacional,,Sim,Usados,25 900        EUR,8089300219,26 Junho 2023,,Metalizado,Sim,6,Classe 1,,Sim,,,,238 €,,,30/11/2023,Sim,,,,
Profissional,Toyota,Yaris,1.0 VVT-i,Gasolina,Dezembro,2006,220 000 km,998 cm3,69 cv,Sim,,,,Utilitário,Cinzento,Manual,5,5,,18 Meses,2,Nacional,,,Usados,3 499        EUR,8089470347,26 Junho 2023,"6,40 l/100km",,,5,,127 g/km,,,,,21 €,,,,,,,,
Particular,Land Rover,Range Rover Sport,3.0 SDV6 HSE,Diesel,Dezembro,2015,240 km,2 993 cm3,306 cv,,,,,SUV / TT,Preto,Automática,5,7,,,,,Sim,Sim,Usados,48 800        EUR,8089686939,26 Junho 2023,"7,90 l/100km",Metalizado,,,,,Sim,,,,,,,,,,,,
Profissional,BMW,118,d Pack M Auto,Diesel,Maio,2017,175 000 km,1 995 cm3,150 cv,,,,Sim,Utilitário,Cinzento,Automática,5,5,Tracção traseira,18 Meses,,,,Sim,Usados,21 500        EUR,8087919818,26 Junho 2023,"4,70 l/100km",Metalizado,Sim,8,,,Sim,,,,,Série 1,,,Sim,,,,
Profissional,Peugeot,2008,1.6 BlueHDi Style,Diesel,Maio,2016,97 000 km,1 560 cm3,100 cv,Sim,,,Sim,SUV / TT,Preto,Manual,5,5,Tracção dianteira,18 Meses,,,,Sim,Usados,15 350        EUR,8088772841,26 Junho 2023,"3,90 l/100km",Metalizado,Sim,5,Classe 1,,Sim,,,,147 €,,,,,,,,
Profissional,Suzuki,Swift,1.2 VVT GLX Sunroof,Gasolina,Fevereiro,2011,269 000 km,1 242 cm3,94 cv,Sim,,,Sim,Utilitário,Cinzento,Manual,5,5,Tracção dianteira,18 Meses,,Nacional,,Sim,Usados,7 990        EUR,8089567521,26 Junho 2023,"6,10 l/100km",Metalizado,Sim,5,Classe 1,116 g/km,Sim,"4,40 l/100km",,,,,,15/02/2024,,,,,
Profissional,Mercedes-Benz,C 220,d Station 9G-TRONIC Edition,Diesel,Outubro,2017,128 000 km,2 143 cm3,170 cv,Sim,,,Sim,Carrinha,Preto,Automática,5,5,Tracção traseira,18 Meses,,,,Sim,Usados,26 490        EUR,8089188678,26 Junho 2023,"5,30 l/100km",Metalizado,Sim,9,Classe 1,,Sim,,,,,Classe C,,,,,,,
Profissional,Mercedes-Benz,CLA 180,CDi Urban,Diesel,Outubro,2014,160 000 km,1 461 cm3,109 cv,Sim,,,Sim,Coupé,Cinzento,Manual,4,5,Tracção dianteira,18 Meses,,,,Sim,Usados,21 990        EUR,8089346845,26 Junho 2023,"4,70 l/100km",Metalizado,Sim,6,Classe 1,,Sim,,,,147 €,Classe CLA,,15/10/2023,,,,,
Profissional,Peugeot,3008,1.6 BlueHDi Style,Diesel,Julho,2015,236 000 km,1 560 cm3,120 cv,,,,,SUV / TT,Azul,Manual,5,5,Tracção dianteira,18 Meses,,,,Sim,Usados,14 990        EUR,8089340820,26 Junho 2023,"4,60 l/100km",Metalizado,,6,Classe 1,,Sim,,,,147 €,,,15/07/2024,,,,,
Profissional,Citroën,C5 Tourer,1.6 HDi Séduction,Diesel,Fevereiro,2013,198 000 km,1 560 cm3,112 cv,Sim,,,Sim,Carrinha,Cinzento,Manual,5,5,Tracção dianteira,18 Meses,,Nacional,,Sim,Usados,12 490        EUR,8089579672,26 Junho 2023,6 l/100km,Metalizado,Sim,5,Classe 1,129 g/km,Sim,"4,40 l/100km",,,147 €,,,15/02/2024,,,,,
Profissional,BMW,118,d Line Sport,Diesel,Outubro,2015,173 000 km,1 995 cm3,150 cv,Sim,,,Sim,Utilitário,Cinzento,Manual,5,5,Tracção traseira,18 Meses,,,,Sim,Usados,19 990        EUR,8089569697,26 Junho 2023,,Metalizado,Sim,6,Classe 1,142 g/km,Sim,,,,,Série 1,,,Sim,,,,
Profissional,Nissan,Qashqai,1.5 dCi Tekna Sport 17,Diesel,Outubro,2008,299 000 km,1 461 cm3,106 cv,Sim,,,Sim,SUV / TT,Preto,Manual,5,5,Tracção dianteira,18 Meses,,Nacional,,Sim,Usados,9 490        EUR,8089704537,26 Junho 2023,"5,90 l/100km",Metalizado,Sim,6,Classe 1,135 g/km,Sim,"4,70 l/100km",,,147 €,,,,,,,,
Profissional,BMW,520,d Line Sport Auto,Diesel,Setembro,2018,92 000 km,1 995 cm3,190 cv,Sim,Sim,,Sim,Carrinha,Preto,Automática,5,,Tracção traseira,18 Meses,1,Nacional,,Sim,Usados,34 750        EUR,8088719389,26 Junho 2023,,Metalizado,Sim,8,Classe 1,,Sim,,,,,Série 5,,,,,,,
Particular,Ford,Focus,1.5 TDCi ST-Line,Diesel,Agosto,2018,120 000 km,1 499 cm3,120 cv,,,,,Utilitário,Preto,Manual,5,5,Tracção dianteira,,,,Sim,Sim,Usados,14 990        EUR,8089898075,24 Junho 2023,,,,6,Classe 1,,Sim,,,,,,,,,,,,
Profissional,SEAT,Leon,1.5 eTSI FR DSG,Gasolina,Dezembro,2020,28 366 km,1 498 cm3,150 cv,Sim,,,Sim,Utilitário,Outra,Automática,5,5,Tracção dianteira,18 Meses,1,Nacional,Sim,,Usados,28 500        EUR,8088536419,26 Junho 2023,"6,30 l/100km",Metalizado,Sim,7,,,Sim,,,,,,,,,,,,
Profissional,MINI,Cooper,D,Diesel,Abril,2015,69 000 km,1 496 cm3,116 cv,Sim,,,Sim,Citadino,Branco,Manual,5,5,,18 Meses,,Nacional,Sim,Sim,Usados,16 990        EUR,8089781109,26 Junho 2023,,Metalizado,Sim,,Classe 1,,Sim,,,,,,,,Sim,,,,
Particular,Hyundai,i20,1.2,Gasolina,Outubro,2018,59 711 km,1 248 cm3,75 cv,Sim,,,,Citadino,Preto,Manual,5,5,Tracção dianteira,,,,,,Usados,11 990        EUR,8089784436,26 Junho 2023,"6,60 l/100km",Metalizado,,5,,119 g/km,,"4,20 l/100km",,,,,,,,,,,
Profissional,VW,ID.3,Pro Performamnce 1st,Eléctrico,Maio,2020,34 000 km,,204 cv,Sim,,Sim,,Citadino,Branco,Automática,5,5,Tracção dianteira,18 Meses,,,Sim,Sim,Usados,33 990        EUR,8089112906,26 Junho 2023,,Metalizado,,7,Classe 1,,Sim,,Própria,,,,,,,,,424 km,"15,50 kWh/100km"
Profissional,Renault,Laguna Break,1.6 RXE,Gasolina,Abril,1999,187 787 km,1 598 cm3,110 cv,,,,Sim,Carrinha,Cinzento,Manual,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Usados,2 750        EUR,8087923158,26 Junho 2023,,Metalizado,Sim,5,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Toyota,iQ,1.0 VVT-i Essential+AC,Gasolina,Maio,2009,50 000 km,998 cm3,68 cv,Sim,,,Sim,Pequeno citadino,Branco,Manual,3,4,Tracção dianteira,18 Meses,,,,Sim,Usados,7 999        EUR,8089792928,26 Junho 2023,"4,90 l/100km",Pérola,Sim,5,Classe 1,99 g/km,Sim,"3,90 l/100km",,,,,,,,,,,
Profissional,Mercedes-Benz,B 180,CDi,Diesel,Janeiro,2009,126 000 km,1 991 cm3,109 cv,,,,Sim,Monovolume,Preto,Manual,5,5,Tracção dianteira,18 Meses,,,,Sim,Usados,10 750        EUR,8089793119,26 Junho 2023,"6,40 l/100km",Metalizado,Sim,6,Classe 1,136 g/km,Sim,"4,40 l/100km",,,,Classe B,,,,,,,
