Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Número de Mudanças,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Garantia de Fábrica até,ou até,Origem,VIN,Valor Fixo,IVA Discriminado,Inspecção válida até,IUC,Bateria,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Peugeot,108,Top! 1.0 VTi Allure,Gasolina,Outubro,2014,109 000 km,998 cm3,69 cv,Sim,Citadino,Branco,Manual,5,18 Meses,1,,Sim,Sim,,,,Usados,9 900,8091627512,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-top-1-0-vti-allure-ID8PBDXa.html,,5,4,,Tracção dianteira,,,,,Importado,,Sim,,,108 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3,1.2 VTi Seduction J16,Gasolina,Abril,2015,81 368 km,1 199 cm3,82 cv,,Utilitário,Outra,Manual,5,18 Meses,1,Sim,Sim,Sim,,,,Usados,10 190,8091931893,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-vti-seduction-j16-ID8PCW8x.html,,,5,,,,107 g/km,,,Nacional,,,,15 Abril 2025,,,,,,,StandVirtual,Yes,2024-03-12
Particular,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Março,2017,158 000 km,1 560 cm3,100 cv,,Carrinha,Cinzento,Manual,5,,,,,,"4,30 l/100km",,,Usados,9 800,8091937830,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PCVGi.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308,1.5 BlueHDi Allure,Diesel,Maio,2018,119 000 km,1 499 cm3,130 cv,Sim,Utilitário,Bege,Manual,5,18 Meses,,,Sim,Sim,,,,Usados,14 850,8092020632,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-allure-ID8PDidO.html,Metalizado,6,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Novembro,2015,165 000 km,1 560 cm3,120 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,13 450,8092020631,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PDidN.html,,6,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308,,Gasolina,Julho,2015,157 000 km,1 200 cm3,130 cv,Sim,Utilitário,Castanho,Manual,5,18 Meses,,,,Sim,,,,Usados,11 999,8091957393,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-ID8PD1LP.html,,6,5,Classe 1,,,,,,Importado,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Opel,Adam,1.4 Jam,Gasolina,Novembro,2015,150 000 km,1 398 cm3,87 cv,Sim,Citadino,Preto,Manual,3,18 Meses,,,,,"7,60 l/100km",,,Usados,10 000,8091602107,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-adam-1-4-jam-ID8PBxlp.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,Punto,1.2 Lounge S&S,Gasolina,Outubro,2016,76 178 km,1 242 cm3,69 cv,Sim,Utilitário,Cinzento,Manual,5,18 Meses,,,,Sim,,,,Usados,9 199,8091560851,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-lounge-s-s-ID8PBmBZ.html,,,5,Classe 1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Nissan,Micra,1.0 IG-T N-Connecta,Gasolina,Fevereiro,2019,43 374 km,999 cm3,100 cv,Sim,Citadino,Branco,Manual,5,18 Meses,1,Sim,Sim,Sim,"5,60 l/100km","3,90 l/100km",,Usados,13 900,8090338407,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-connecta-ID8PveB9.html,,5,5,Classe 1,Tracção dianteira,,128 g/km,,,Nacional,Mostrar VIN,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Nissan,Juke,1.5 dCi Tekna Premium Ext.1 Yellow S.,Diesel,Janeiro,2016,154 000 km,1 461 cm3,110 cv,Sim,SUV / TT,Amarelo,Manual,5,18 Meses,2,,Sim,Sim,,,,Usados,14 950,8092020629,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ext-1-yellow-s-ID8PDidL.html,,6,5,Classe 1,Tracção dianteira,,107 g/km,,,Nacional,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
