Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Lotação,Classe do veículo,Tracção,Inspecção válida até,Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,Origem,IVA Discriminado,IUC,Consumo Combinado,Garantia de Fábrica até,Sub-modelo,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Renault,Clio,1.0 TCe Limited,Gasolina,Janeiro,2022,55 996 km,999 cm3,90 cv,Sim,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,"6,20 l/100km",Usados,14 950,8091936254,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-ID8PCVgS.html,6,5,Classe 1,Tracção dianteira,30 Janeiro 2026,1,Sim,Sim,Sim,117 g/km,"4,20 l/100km",Mostrar VIN,Sim,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,C-Max,1.5 TDCi Titanium S/S,Diesel,Junho,2018,161 200 km,1 499 cm3,120 cv,Sim,Monovolume,Cinzento,,Manual,5,18 Meses,"5,30 l/100km",Usados,14 900,8089333974,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-c-max-1-5-tdci-titanium-s-s-ID8Ps1iC.html,6,5,Classe 1,Tracção dianteira,1 Junho 2024,,Sim,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,SEAT,Ibiza ST,1.6 TDi Reference,Diesel,Outubro,2014,152 000 km,1 598 cm3,90 cv,Sim,Carrinha,Cinzento,,Manual,5,18 Meses,"5,10 l/100km",Usados,9 450,8092083763,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-6-tdi-reference-ID8PDyE3.html,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForTwo Coupé,,Gasolina,Novembro,2019,48 038 km,999 cm3,71 cv,Sim,Citadino,Branco,,Manual,3,24 Meses,"5,90 l/100km",Usados,13 500,8092105099,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PDEcb.html,,2,,Tracção traseira,,,,,Sim,,"4,50 l/100km",Mostrar VIN,Sim,Nacional,,,5 l/100km,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,16 066 km,999 cm3,70 cv,Sim,Citadino,Cinzento,,Manual,3,18 Meses,,Usados,14 250,8091875354,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCGqC.html,6,4,Classe 1,Tracção dianteira,2 Fevereiro 2026,1,Sim,,Sim,,,,Sim,,,,4 l/100km,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,208,,Diesel,Dezembro,2015,101 252 km,1 560 cm3,100 cv,,Citadino,Prateado,Metalizado,Manual,5,18 Meses,,Usados,13 900,8091665434,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8PBNOO.html,5,5,Classe 1,,,1,,,Sim,,,,,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Agosto,2022,25 473 km,999 cm3,70 cv,Sim,Citadino,Branco,,Manual,3,36 Meses,,Usados,14 700,8091212459,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PzTYL.html,6,4,Classe 1,Tracção dianteira,17 Agosto 2026,1,Sim,Sim,Sim,106 g/km,,Mostrar VIN,,Nacional,,,,17 Agosto 2025,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,VW,Golf Variant,1.6 TDi BlueMotion Trendline,Diesel,Maio,2016,242 638 km,1 598 cm3,110 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,18 Meses,4 l/100km,Usados,12 850,8088991933,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-bluemotion-trendline-ID8PqAjP.html,5,5,Classe 1,Tracção dianteira,,1,Sim,Sim,Sim,102 g/km,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Julho,2019,41 426 km,999 cm3,80 cv,Sim,Utilitário,Branco,Metalizado,Manual,5,18 Meses,,Usados,13 400,8089219025,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PrxoB.html,,5,Classe 1,Tracção dianteira,,,,,,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Fevereiro,2019,77 102 km,1 199 cm3,82 cv,Sim,Citadino,Preto,Metalizado,Manual,5,18 Meses,"5,80 l/100km",Usados,12 900,8088958075,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-signature-ID8PqrwJ.html,,5,Classe 1,Tracção dianteira,,,,,,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
