Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IUC,Filtro de partículas,Garantia de Fábrica até,Emissões CO2,Autonomia Máxima,ou até,Inspecção válida até,Consumo Combinado,Consumo Urbano,Consumo Extra Urbano,Clássico,Autonomia
Profissional,BMW,330,Série 3,e iPerformance Pack M,Híbrido (Gasolina),Maio,2018,119 300 km,1 998 cm3,252 cv,Sim,,Sim,Sim,Sim,Sedan,Branco,,Automática,8,4,5,,,18 Meses,1,Nacional,Sim,,Sim,Usados,35 000        EUR,8088724550,1 Junho 2023,,Sim,,,,,,,,,,
Profissional,BMW,330,Série 3,e iPerformance,Híbrido (Gasolina),Maio,2018,135 000 km,1 998 cm3,252 cv,,,,Sim,Sim,Sedan,Preto,,Automática,,,,,,18 Meses,1,Nacional,,,Sim,Usados,23 900        EUR,8089371584,1 Junho 2023,,,,,,,,,,,,
Profissional,BMW,225xe Active Tourer,Série 2,Advantage,Híbrido (Gasolina),Fevereiro,2019,48 632 km,1 499 cm3,224 cv,Sim,,Sim,Sim,,Monovolume,Preto,,Automática,,5,5,,,24 Meses,,Nacional,,,,Usados,27 450        EUR,8089606151,1 Junho 2023,,Sim,,46 g/km,,,,,,,,
Profissional,Mercedes-Benz,E 350,Classe E,e Avantgarde,Híbrido (Gasolina),Janeiro,2018,104 000 km,1 991 cm3,279 cv,Sim,,,Sim,,Sedan,Preto,Metalizado,Automática,9,4,5,Classe 1,,18 Meses,1,Nacional,,Sim,,Usados,44 990        EUR,8087425401,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 350,Classe C,e,Híbrido (Gasolina),Agosto,2017,76 000 km,1 991 cm3,279 cv,Sim,,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,32 850        EUR,8089606065,1 Junho 2023,"215,14 €",,,49 g/km,,,,,,,,
Profissional,Lexus,UX 250h,UX,F Sport+,Híbrido (Gasolina),Fevereiro,2020,40 000 km,1 987 cm3,184 cv,,,,,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,,,,60 Meses,,Nacional,Sim,Sim,Sim,Usados,43 450        EUR,8089606022,1 Junho 2023,,,,,,,,,"4,30 l/100km",,,
Profissional,BMW,530,Série 5,e iPerformance Pack M,Híbrido (Gasolina),Dezembro,2018,43 251 km,1 998 cm3,252 cv,Sim,,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,4,,Classe 1,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,38 750        EUR,8089604777,1 Junho 2023,,,,36 g/km,,,,,,,,
Particular,BMW,530,Série 5,e iPerformance,Híbrido (Gasolina),Abril,2019,146 000 km,1 998 cm3,252 cv,,,,,,Sedan,Branco,,Automática,8,4,5,Classe 1,Tracção traseira,,,Nacional,Sim,Sim,Sim,Usados,34 900        EUR,8088855119,1 Junho 2023,,,,,,,,,,,,
Profissional,Toyota,Yaris,,1.5 HSD Comfort +P.Style+P.Techno,Híbrido (Gasolina),Junho,2017,67 000 km,1 497 cm3,101 cv,,,,,,Citadino,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção traseira,18 Meses,1,Nacional,Sim,,Sim,Usados,18 750        EUR,8087981396,1 Junho 2023,,,,,,,,,"3,10 l/100km",,,
Profissional,DS,DS7 Crossback,,E-Tense Grand Chic EAT8,Híbrido (Gasolina),Julho,2020,74 500 km,1 598 cm3,300 cv,Sim,Sim,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,Integral,18 Meses,1,,,,Sim,Usados,43 990        EUR,8089027883,1 Junho 2023,,,,34 g/km,,,,,,,,
Profissional,Peugeot,508 RXH,,2.0 HDi Hybrid4 2-Tronic,Híbrido (Diesel),Dezembro,2013,197 000 km,1 997 cm3,200 cv,,,,Sim,Sim,Carrinha,Branco,Pérola,Automática,6,5,5,Classe 1,Integral,18 Meses,2,Importado,Sim,,Sim,Usados,13 900        EUR,8089605879,1 Junho 2023,,,,109 g/km,,,06/12/2023,,4 l/100km,"4,90 l/100km",,
Profissional,Volvo,S60,,2.0 T8 PHEV R-Design AWD,Híbrido (Gasolina),Maio,2022,15 000 km,1 969 cm3,455 cv,Sim,Sim,,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,Integral,24 Meses,1,Nacional,Sim,Sim,Sim,Usados,68 800        EUR,8089555293,1 Junho 2023,,,,19 g/km,,,10/05/2026,,,,,
Profissional,Mazda,2,,1.5 L Hybrid VVT-i Agile,Híbrido (Gasolina),Março,2023,990 km,1 490 cm3,116 cv,Sim,Sim,,Sim,Sim,Citadino,Vermelho,,Automática,5,5,5,,Tracção dianteira,72 Meses,,Nacional,Sim,Sim,Sim,Novos,23 890        EUR,8089235881,1 Junho 2023,,,21/03/2029,,,150 000 km,,,,,,
Profissional,BMW,530,Série 5,e iPerformance,Híbrido (Gasolina),Junho,2019,42 900 km,1 998 cm3,252 cv,Sim,Sim,,Sim,Sim,Sedan,Preto,,Automática,,4,5,Classe 1,,18 Meses,,,,Sim,Sim,Usados,39 750        EUR,8088787708,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250 Limousine,Classe A,e AMG Line,Híbrido (Gasolina),Julho,2022,10 434 km,1 332 cm3,218 cv,,,Sim,Sim,Sim,Sedan,Preto,,Automática,,,,,,18 Meses,,Nacional,,,,Usados,49 500        EUR,8089371347,1 Junho 2023,,,,,,,,,,,,
Profissional,BMW,330,Série 3,e iPerformance Line Sport,Híbrido (Gasolina),Agosto,2016,112 000 km,1 998 cm3,252 cv,,,,Sim,Sim,Sedan,Preto,Metalizado,Automática,7,4,5,Classe 1,,18 Meses,1,,,Sim,Sim,Usados,25 900        EUR,8086170686,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250,Classe A,e,Híbrido (Gasolina),Novembro,2022,8 136 km,1 332 cm3,218 cv,,,Sim,Sim,Sim,Citadino,Cinzento,,Automática,,4,5,,,18 Meses,,Nacional,,,,Usados,51 500        EUR,8089552879,1 Junho 2023,,,,,,,,,,,,
Profissional,Nissan,X-Trail,,1.5 e-Power Tekna 7L e-4force,Híbrido (Gasolina),Maio,2023,5 km,1 497 cm3,213 cv,,,Sim,Sim,Sim,Monovolume,Azul,,Automática,,5,7,,,18 Meses,,Nacional,,,,Usados,56 500        EUR,8089388175,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,GLA 250,Classe GLA,e AMG Line,Híbrido (Gasolina),Dezembro,2022,5 074 km,1 332 cm3,218 cv,,,Sim,Sim,Sim,SUV / TT,Preto,,Automática,,,,,,18 Meses,,Nacional,,,,Usados,61 400        EUR,8089445387,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250,Classe A,e AMG Line,Híbrido (Gasolina),Novembro,2020,19 476 km,1 332 cm3,218 cv,,,Sim,Sim,Sim,Utilitário,Branco,,Automática,,5,5,,,18 Meses,,Importado,,,Sim,Usados,36 750        EUR,8089639239,1 Junho 2023,,,,,,,17/11/2024,,,,,
