Anunciante;Marca;Modelo;Versão;Combustível;Mês de Registo;Ano;Quilómetros;Cilindrada;Potência;Valor Fixo;Aceita retoma;Possibilidade de financiamento;Segmento;Cor;Tipo de cor;Tipo de Caixa;Número de Mudanças;Nº de portas;Lotação;Classe do veículo;Inspecção válida até;Garantia de Stand (incl. no preço);Registo(s);Origem;Livro de Revisões completo;Não fumador;2º Chave;Consumo Urbano;Condição;Preco;ID Anuncio;Data Anuncio;Sub-modelo;Filtro de partículas;Tracção;IUC;IVA Discriminado;IVA dedutível;Emissões CO2;Consumo Extra Urbano;Autonomia;Capacidade da bateria;Garantia de Fábrica até;ou até;Bateria;Consumo;Autonomia Máxima;Site
Profissional;Opel;Tigra TwinTop;1.3 CDTi;Diesel;Julho;2006;225 000 km;1 248 cm3;70 cv;Sim;Sim;Sim;Cabrio;Preto;Metalizado;Manual;5;2;2;Classe 1;;18 Meses;;Nacional;;;;;Usados;6 000        EUR;8088326957;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Particular;Citroën;C3;1.6 BlueHDi Shine;Diesel;Janeiro;2018;50 000 km;1 560 cm3;100 cv;;;;Utilitário;Branco;Metalizado;Manual;5;5;5;Classe 1;01/09/2024;;2;Importado;Sim;Sim;Sim;4,40 l/100km;Usados;16 900        EUR;8089774004;27/jun/23;;;Tracção dianteira;;;;95 g/km;3,20 l/100km;;;;;;;;StandVirtual
Profissional;BMW;420 Gran Coupé;d Pack M Auto;Diesel;Março;2018;68 000 km;1 995 cm3;190 cv;Sim;Sim;Sim;Sedan;Cinzento;Metalizado;Automática;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;35 450        EUR;8089652488;27/jun/23;Série 4;;;;;;;;;;;;;;;StandVirtual
Profissional;BMW;520;d Line Luxury Auto;Diesel;Novembro;2018;110 000 km;1 995 cm3;190 cv;Sim;Sim;Sim;Sedan;Azul;Metalizado;Automática;;4;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;34 950        EUR;8089652504;27/jun/23;Série 5;;;;;;;;;;;;;;;StandVirtual
Profissional;Volvo;V40;2.0 D4 R-Design;Diesel;Novembro;2014;231 000 km;1 969 cm3;190 cv;;Sim;;Utilitário;Azul;Metalizado;Manual;6;5;5;Classe 1;;18 Meses;;Importado;Sim;Sim;Sim;;Usados;15 900        EUR;8087633626;27/jun/23;;Sim;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Chevrolet;Spark;1.0 LS;Gasolina;Março;2012;89 804 km;995 cm3;68 cv;Sim;Sim;Sim;Citadino;Vermelho;;Manual;5;5;5;Classe 1;;18 Meses;;;;;;6,60 l/100km;Usados;6 950        EUR;8089747019;27/jun/23;;;Tracção dianteira;;;;119 g/km;4,20 l/100km;;;;;;;;StandVirtual
Profissional;BMW;520;d Auto 123g;Diesel;Maio;2011;250 000 km;1 995 cm3;184 cv;;Sim;;Sedan;Azul;Metalizado;Automática;;4;;;;36 Meses;;;;;;5,70 l/100km;Usados;18 950        EUR;8088417869;27/jun/23;Série 5;;;;;;;;;;;;;;;StandVirtual
Profissional;Daihatsu;Terios;1.5 DVVT Look;Gasolina;Novembro;2010;123 500 km;1 495 cm3;105 cv;;Sim;Sim;SUV / TT;Verde;Metalizado;Manual;5;5;5;;;18 Meses;;;;;;9,70 l/100km;Usados;13 500        EUR;8088887348;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d Style;Diesel;Fevereiro;2022;40 000 km;1 950 cm3;116 cv;Sim;Sim;Sim;Sedan;Preto;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;;Sim;Sim;;Usados;32 450        EUR;8089652511;27/jun/23;Classe A;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d Style;Diesel;Setembro;2021;50 000 km;1 950 cm3;116 cv;Sim;Sim;Sim;Sedan;Preto;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;;Sim;Sim;;Usados;31 450        EUR;8089652520;27/jun/23;Classe A;;;;;;;;;;;;;;;StandVirtual
Profissional;Opel;Crossland X;1.2 2020;Gasolina;Fevereiro;2020;50 000 km;1 199 cm3;83 cv;Sim;Sim;Sim;SUV / TT;Vermelho;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;18 850        EUR;8089652533;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Renault;Clio;1.0 TCe Intens;Gasolina;Novembro;2020;80 000 km;999 cm3;100 cv;Sim;Sim;Sim;Utilitário;Cinzento;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;16 950        EUR;8089652527;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;VW;Polo;1.0 Confortline;Gasolina;Dezembro;2020;60 000 km;999 cm3;80 cv;Sim;Sim;Sim;Utilitário;Cinzento;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;16 450        EUR;8089652539;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;BMW;X2;18 d sDrive Auto Pack M;Diesel;Maio;2019;104 000 km;1 995 cm3;150 cv;;Sim;Sim;SUV / TT;Azul;Metalizado;Automática;8;5;5;Classe 1;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;34 950        EUR;8089779061;27/jun/23;Série X;;Tracção traseira;250 €;;;137 g/km;;;;;;;;;StandVirtual
Profissional;MINI;Electric;Cooper SE;Eléctrico;Abril;2021;12 513 km;;184 cv;Sim;Sim;Sim;Citadino;Preto;Metalizado;Automática;;3;4;;;18 Meses;;;;;;;Usados;30 990        EUR;8089791228;27/jun/23;;;Tracção dianteira;;;Sim;;;230 km;;;;Própria;15,50 kWh/100km;;StandVirtual
