Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Autonomia,Capacidade da bateria,Bateria,Lotação,Origem,IVA Discriminado,IVA dedutível,Número de Mudanças,Emissões CO2,IUC,Inspecção válida até,Registo(s),Consumo Extra Urbano,Consumo Combinado,Autonomia Máxima,Filtro de partículas,Clássico,Sub-modelo,ou até,Garantia de Fábrica até,Consumo,Site,Portugal
Profissional,Nissan,Qashqai,1.5 dCi Black Edition,Diesel,Julho,2016,199 201 km,1 461 cm3,110 cv,Sim,,Sim,SUV / TT,Branco,Pérola,Manual,5,Classe 1,,18 Meses,,,,"4,30 l/100km",Usados,14 950        EUR,8089390669,3 Agosto 2023,,,,5,Importado,,,6,99 g/km,,16/04/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Abril,2018,137 868 km,1 461 cm3,75 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"4,30 l/100km",Usados,13 490        EUR,8090110632,3 Agosto 2023,,,,5,Nacional,Sim,,5,85 g/km,"156,21 €",11/04/2024,1,"3,60 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,107,1.0 Urban Style,Gasolina,Junho,2011,105 000 km,998 cm3,68 cv,Sim,,Sim,Citadino,Preto,Metalizado,Manual,5,,,18 Meses,,,Sim,"5,40 l/100km",Usados,6 750        EUR,8090221520,3 Agosto 2023,,,,4,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500C,,Gasolina,Dezembro,2012,150 000 km,1 242 cm3,69 cv,,Sim,Sim,Pequeno citadino,Branco,,Manual,2,,,18 Meses,,Sim,Sim,,Usados,9 990        EUR,8090150189,3 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,118,d Line Urban,Diesel,Julho,2012,175 000 km,1 995 cm3,143 cv,,,,Utilitário,Branco,Metalizado,Manual,5,Classe 1,Tracção traseira,,,Sim,Sim,"5,30 l/100km",Usados,11 500        EUR,8089256021,3 Agosto 2023,,,,5,,,,,118 g/km,,,,,,,Sim,,Série 1,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine,Gasolina,Junho,2014,123 000 km,1 199 cm3,82 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"5,60 l/100km",Usados,12 900        EUR,8088641892,3 Agosto 2023,,,,5,Importado,,,5,82 g/km,,,1,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Twingo,1.0 SCe Dynamique,Gasolina,Junho,2015,79 000 km,999 cm3,70 cv,Sim,,,Citadino,Amarelo,Metalizado,Manual,5,Classe 1,Tracção dianteira,,,Sim,Sim,5 l/100km,Usados,7 999        EUR,8090053402,3 Agosto 2023,,,,4,Nacional,,,5,95 g/km,"108,32 €",30/06/2024,,"3,70 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Ford,C-Max,1.6 TDCi Titanium,Diesel,Março,2010,281 300 km,1 560 cm3,109 cv,,,,Monovolume,Cinzento,,Manual,5,,Tracção dianteira,36 Meses,,,,"6,30 l/100km",Usados,5 990        EUR,8090221470,3 Agosto 2023,,,,,,,,5,119 g/km,,,,"4,10 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Passion 71,Gasolina,Janeiro,2015,142 975 km,999 cm3,71 cv,,,,Coupé,Laranja,,Manual,3,Classe 1,Tracção traseira,36 Meses,,,,"4,90 l/100km",Usados,8 900        EUR,8090221427,3 Agosto 2023,,,,2,,,,5,93 g/km,,,,"3,70 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.4 TDCi Trend,Diesel,Junho,2010,178 000 km,1 399 cm3,70 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,,Usados,6 750        EUR,8090221384,3 Agosto 2023,,,,5,Nacional,,,5,,,01/06/2024,,,,,,,,,,,StandVirtual,Yes
