Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Versão,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Registo(s),Consumo Extra Urbano,Valor Fixo,Aceita retoma,IUC,Livro de Revisões completo,Sub-modelo,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,ou até,Autonomia,Consumo,Bateria,Consumo Combinado,Capacidade da bateria,Site,Portugal
Particular,SEAT,Ibiza,Gasolina,Setembro,2021,24 908 km,999 cm3,110 cv,Citadino,Branco,Manual,,Usados,20 199        EUR,8090573651,10 Setembro 2023,1.0 TSI FR,,Metalizado,6,5,5,Classe 1,Tracção dianteira,123 g/km,,30/09/2025,Nacional,Sim,Sim,,1,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C5 Aircross,Diesel,Maio,2021,45 000 km,1 499 cm3,130 cv,SUV / TT,Cinzento,Manual,36 Meses,Usados,29 950        EUR,8089588506,11 Setembro 2023,1.5 BlueHDi C-Series,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,129 g/km,,,Nacional,Sim,Sim,"5,90 l/100km",1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Hyundai,Kauai,Eléctrico,Fevereiro,2020,117 000 km,,204 cv,SUV / TT,Vermelho,Automática,,Usados,25 999        EUR,8090538770,11 Setembro 2023,EV 64kWh Premium+LED,Sim,,,5,5,Classe 1,,,,01/02/2024,Nacional,Sim,Sim,,,,,,,Sim,,,482 km,01/02/2028,,482 km,64 kWh/100km,Própria,,64 kWh,StandVirtual,Yes
Profissional,Opel,Crossland,Gasolina,Junho,2022,9 500 km,1 199 cm3,110 cv,SUV / TT,Cinzento,Manual,36 Meses,Usados,20 490        EUR,8089719752,11 Setembro 2023,1.2 T Elegance,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,,,,11/09/2026,,,,,"5,80 l/100km",,StandVirtual,Yes
Profissional,Jeep,Renegade,Diesel,Abril,2018,125 689 km,1 598 cm3,120 cv,SUV / TT,Azul,Manual,18 Meses,Usados,17 990        EUR,8088242640,11 Setembro 2023,1.6 MJD Limited,Sim,,6,5,5,,Tracção dianteira,,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,VW,T-Roc,Diesel,Julho,2019,103 596 km,1 598 cm3,115 cv,SUV / TT,Cinzento,Manual,18 Meses,Usados,23 490        EUR,8090185522,11 Setembro 2023,1.6 TDI Style,Sim,,6,5,5,Classe 1,Tracção dianteira,138 g/km,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V90,Diesel,Agosto,2017,145 000 km,1 969 cm3,150 cv,Carrinha,Preto,Manual,18 Meses,Usados,28 500        EUR,8085182394,11 Setembro 2023,D3 Kinetic,Sim,Metalizado,6,5,5,,,,,,Importado,Sim,Sim,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,Gasolina,Março,2023,7 490 km,998 cm3,125 cv,Carrinha,Preto,Manual,36 Meses,Usados,27 990        EUR,8090297931,11 Setembro 2023,1.0 EcoBoost Hybrid ST-LINE,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,Sim,,Nacional,Sim,Sim,,1,,Sim,Sim,,Sim,,,,01/03/2030,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Diesel,Maio,2017,125 026 km,1 422 cm3,105 cv,Citadino,Branco,Manual,18 Meses,Usados,16 750        EUR,8089702333,11 Setembro 2023,SC 1.4 TDi FR,Sim,Metalizado,5,3,5,Classe 1,Tracção dianteira,,,02/05/2025,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,Diesel,Maio,2019,123 486 km,1 500 cm3,102 cv,SUV / TT,Cinzento,Manual,36 Meses,Usados,15 900        EUR,8090182760,11 Setembro 2023,,Sim,,,5,5,,,,,,,Sim,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
