Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Registo(s),Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Aceita retoma,Tipo de cor,Inspecção válida até,Filtro de partículas,IUC,Sub-modelo,Autonomia Máxima,Clássico,Capacidade da bateria,Bateria,Autonomia,Consumo,Consumo Combinado,Garantia de Fábrica até,Gancho de Reboque,ou até,Site,Portugal,Data
Profissional,Audi,A6,2.0 TDi,Diesel,Janeiro,2012,346 624 km,1 968 cm3,177 cv,Sedan,Cinzento,Manual,6,4,5,Tracção dianteira,129 g/km,,Sim,,,,Usados,12 490        EUR,8089029628,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-2-0-tdi-ID8PqK7O.html,Sim,,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Nissan,Micra,1.5 DCi Acenta S/S,Diesel,Junho,2017,135 703 km,1 461 cm3,90 cv,Utilitário,Branco,Manual,,5,5,Tracção dianteira,85 g/km,1,Sim,,,,Usados,13 490        EUR,8089336736,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-acenta-s-s-ID8Ps21a.html,Sim,Sim,Sim,,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Junho,2017,130 543 km,1 598 cm3,110 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,92 g/km,1,Sim,,,,Usados,11 490        EUR,8087740486,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PlkLc.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,106 623 km,1 248 cm3,95 cv,Utilitário,Preto,Manual,5,5,5,Tracção dianteira,,1,Sim,,,,Usados,12 990        EUR,8087618360,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PkOZq.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,BMW,118,d Pack M,Diesel,Julho,2010,132 000 km,1 995 cm3,143 cv,Utilitário,Branco,Manual,6,5,5,Tracção traseira,,2,Sim,Sim,"5,30 l/100km",,Usados,14 400        EUR,8089125740,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-pack-m-ID8Pr980.html,,,Sim,Classe 1,18 Meses,Importado,,Sim,Metalizado,29/07/2024,Sim,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Dacia,Sandero,0.9 TCe Confort Bi-Fuel,Gasolina,Abril,2016,195 000 km,898 cm3,90 cv,Citadino,Azul,Manual,5,5,5,,,,Sim,Sim,,,Usados,7 950        EUR,8090168381,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-confort-bi-fuel-ID8PwvmN.html,Sim,,Sim,Classe 1,18 Meses,Nacional,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500L,1.3 MJ Urban,Diesel,Abril,2017,105 000 km,1 248 cm3,95 cv,Utilitário,Preto,Manual,,5,5,Tracção dianteira,,2,Sim,Sim,,,Usados,13 990        EUR,8090479279,18 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-urban-ID8PvPfh.html,Sim,,,Classe 1,36 Meses,Nacional,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Golf Variant,1.0 TSI Confortline,Gasolina,Janeiro,2020,266 164 km,999 cm3,115 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,,Sim,,,,Usados,13 190        EUR,8090618221,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-0-tsi-confortline-ID8Pxpoh.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2018,196 115 km,1 598 cm3,115 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,1,Sim,,,,Usados,13 490        EUR,8090475872,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PvOmk.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Clio,,Gasolina,Fevereiro,2020,82 540 km,999 cm3,101 cv,Utilitário,Preto,Manual,5,5,5,,,1,Sim,Sim,,,Usados,14 990        EUR,8090053861,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8Pw2zH.html,Sim,,Sim,Classe 1,18 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
