Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Profissional,Mercedes-Benz,A 180,Classe A,d AMG Line Aut.,Diesel,Dezembro,2022,21 000 km,1 950 cm3,116 cv,Utilitário,Preto,,Automática,,5,5,,,,,,,,Nacional,,,Usados,38 750        EUR,8090586699,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbR.html,Sim,,,,,24 Meses,,,,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Auto,Diesel,Maio,2021,66 000 km,1 995 cm3,190 cv,Carrinha,Cinzento,,Automática,,5,5,,,,100 g/km,,,,Nacional,,,Usados,43 900        EUR,8090586722,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8Pxhce.html,Sim,,,,,36 Meses,,,,10/10/2026,,"5,10 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Kia,XCeed,,1.6 CRDi MHEV Drive,Diesel,Outubro,2021,12 214 km,1 598 cm3,136 cv,SUV / TT,Prateado,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,133 g/km,,,,Nacional,,Sim,Usados,32 450        EUR,8088164880,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-xceed-1-6-crdi-mhev-drive-ID8Pn7ag.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,A6 Avant,,40 TDI Design S tronic,Diesel,Fevereiro,2019,90 600 km,1 968 cm3,204 cv,Carrinha,Preto,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,147 g/km,,,1,Nacional,Sim,Sim,Usados,37 990        EUR,8090760016,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-40-tdi-design-s-tronic-ID8Py0hi.html,Sim,,Sim,Sim,,18 Meses,Sim,"5,30 l/100km",4 l/100km,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Alfa Romeo,Giulia,,2.2 D Veloce Ti Q4 AT8,Diesel,Julho,2017,44 000 km,2 143 cm3,210 cv,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,Integral,,148 g/km,,,1,Nacional,Sim,Sim,Usados,33 990        EUR,8090757275,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulia-2-2-d-veloce-ti-q4-at8-ID8PxZz5.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,3008,,1.2 PureTech Allure Pack EAT8,Gasolina,Junho,2022,25 000 km,1 199 cm3,130 cv,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,,,,,Nacional,,Sim,Usados,32 900        EUR,8090340351,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-allure-pack-eat8-ID8Pvf6w.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,CLA 200,Classe CLA,d Shooting Brake AMG Line Aut.,Diesel,Março,2019,116 000 km,2 143 cm3,136 cv,Carrinha,Azul,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,,,,Sim,1,Importado,Sim,Sim,Usados,32 790        EUR,8089197335,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-amg-line-aut-ID8PrrKL.html,,,Sim,Sim,15/03/2025,18 Meses,Sim,"4,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,530,Série 5,d Auto,Diesel,Setembro,2018,85 989 km,2 993 cm3,265 cv,Carrinha,Azul,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,,159 g/km,,,1,Nacional,Sim,Sim,Usados,35 850        EUR,8090493363,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-530-d-auto-ID8PvSUr.html,Sim,Sim,Sim,Sim,14/09/2024,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Volvo,XC 40,,2.0 D3 Momentum Geartronic,Diesel,Julho,2020,34 989 km,1 969 cm3,150 cv,SUV / TT,Azul,Metalizado,Automática,7,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,39 950        EUR,8089292611,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-2-0-d3-momentum-geartronic-ID8PrQxt.html,,Sim,Sim,Sim,,18 Meses,Sim,"5,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,GLC 250,Classe GLC,d Exclusive 4-Matic,Diesel,Junho,2018,114 989 km,2 143 cm3,204 cv,SUV / TT,Azul,Metalizado,Automática,9,5,5,Classe 1,Integral,,129 g/km,,Sim,1,Nacional,Sim,Sim,Usados,42 650        EUR,8089217896,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-exclusive-4-matic-ID8Prx6o.html,,Sim,Sim,Sim,05/06/2024,18 Meses,Sim,7 l/100km,,,,,,,,,,,StandVirtual,Yes,2023-10-10
