Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Profissional,Microcar,M.GO,,,Diesel,Abril,2019,32 000 km,478 cm3,8 cv,Pequeno citadino,Azul,Metalizado,Automática,,3,2,,,,,,,1,Nacional,Sim,Sim,Usados,11 250        EUR,8090604922,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/microcar-m-go-ID8PxlWM.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Smart,ForTwo Coupé,,softouch passion,Gasolina,Agosto,2010,110 000 km,999 cm3,84 cv,Pequeno citadino,Preto,Metalizado,Automática,5,2,2,Classe 1,Tracção traseira,,,,,1,,Sim,Sim,Usados,6 999        EUR,8090604929,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-softouch-passion-ID8PxlWT.html,Sim,,Sim,Sim,,18 Meses,,"6,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 220,Classe C,CDi Avantgarde BlueEfficiency,Diesel,Junho,2012,285 000 km,2 143 cm3,170 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,,,,Sim,1,Nacional,Sim,Sim,Usados,14 600        EUR,8089518436,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-blueefficiency-ID8PsNhO.html,,,,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Opel,Corsa,,,Diesel,Junho,2015,130 000 km,1 248 cm3,95 cv,Citadino,Azul,,Automática,7,3,5,Classe 1,,,,,,,,Sim,Sim,Usados,11 990        EUR,8089584607,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-ID8Pt4w5.html,,,Sim,Sim,01/06/2024,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,2008,,1.6 BlueHDi Style,Diesel,Agosto,2016,141 000 km,1 560 cm3,100 cv,SUV / TT,Branco,Pérola,Manual,5,5,5,Classe 1,Tracção dianteira,,97 g/km,,,,,,Sim,Usados,13 950        EUR,8090750823,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-style-ID8PxXT1.html,,,Sim,Sim,30/08/2024,18 Meses,Sim,"3,90 l/100km","3,30 l/100km",,1,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,BMW,116,Série 1,i Line Sport,Gasolina,Julho,2017,96 000 km,1 499 cm3,109 cv,Utilitário,Preto,,Manual,,5,,,,,,,,,,,,Usados,14 950        EUR,8090730069,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-i-line-sport-ID8PxSuh.html,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Smart,ForTwo Coupé,,1.0 Passion 71 Aut.,Gasolina,Maio,2015,23 000 km,999 cm3,71 cv,Pequeno citadino,Preto,Metalizado,Automática,,3,2,Classe 1,,,,,,,Nacional,Sim,Sim,Usados,12 700        EUR,8090716045,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-aut-ID8PxOQ5.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Mégane Sport Tourer,,1.5 dCi Intens,Diesel,Fevereiro,2018,111 996 km,1 461 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,95 g/km,,,1,Nacional,Sim,Sim,Usados,14 950        EUR,8090789727,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-intens-ID8Py80w.html,,,,,28/02/2024,18 Meses,Sim,"4,20 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,SEAT,Ibiza,,1.0 EcoTSI Reference,Gasolina,Julho,2019,54 574 km,999 cm3,95 cv,Citadino,Branco,Metalizado,Manual,6,5,5,Classe 1,,,,,,,,Sim,Sim,Usados,14 700        EUR,8088129918,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-reference-ID8PmY4m.html,,,,Sim,01/11/2023,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Micra,,1.5 DCi BOSE Limited Edition S/S,Diesel,Maio,2018,114 000 km,1 461 cm3,90 cv,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,88 g/km,148 €,,,,Sim,Sim,Usados,13 990        EUR,8088881895,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-bose-limited-edition-s-s-ID8Pq7H1.html,Sim,,Sim,Sim,,18 Meses,Sim,"3,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,508 SW,,1.6 e-HDi Active 2-Tronic,Diesel,Fevereiro,2012,224 000 km,1 560 cm3,115 cv,Carrinha,Cinzento,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,800 km,105 g/km,154 €,,1,Importado,Sim,Sim,Usados,9 990        EUR,8090267304,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-e-hdi-active-2-tronic-ID8PwV6k.html,,,,,24/02/2024,18 Meses,,"4,60 l/100km","3,70 l/100km",,1,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Fiesta,,1.5 TDCi Trend,Diesel,Junho,2014,163 000 km,1 499 cm3,75 cv,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,1,,Sim,Sim,Usados,9 999        EUR,8090258312,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-trend-ID8PwTLi.html,,,,Sim,,18 Meses,,"4,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Opel,Astra Caravan,,1.7 CDTi Cosmo,Diesel,Maio,2011,267 000 km,1 686 cm3,125 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,Sim,1,Nacional,Sim,Sim,Usados,8 999        EUR,8089365303,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-caravan-1-7-cdti-cosmo-ID8Ps9rW.html,,,,Sim,,18 Meses,Sim,"6,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Opel,Insignia Sports Tourer,,1.6 CDTi Executive S/S J18,Diesel,Agosto,2016,187 000 km,1 598 cm3,136 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,114 g/km,,,1,,Sim,Sim,Usados,14 150        EUR,8087703942,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-s-s-j18-ID8PlbfM.html,Sim,,Sim,Sim,,18 Meses,Sim,"4,80 l/100km","3,70 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Volvo,V40,,D2 Ocean Race,Diesel,Outubro,2014,169 000 km,1 560 cm3,115 cv,Utilitário,Preto,Metalizado,Manual,,5,,,,,,,Sim,,,,,Usados,13 250        EUR,8090747376,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-d2-ocean-race-ID8PxVZq.html,Sim,,Sim,Sim,,18 Meses,,"3,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,SEAT,Ibiza,,SC 1.2 TSi FR,Gasolina,Fevereiro,2014,230 000 km,1 197 cm3,85 cv,Citadino,Branco,Metalizado,Manual,5,3,,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,9 500        EUR,8090747370,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-fr-ID8PxVZk.html,Sim,,Sim,Sim,28/02/2024,18 Meses,Sim,"6,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Peugeot,208,,PureTech 82 Start & Stop Active,Gasolina,Abril,2015,29 500 km,1 199 cm3,82 cv,Citadino,Azul,,Manual,,5,,,,,,,,,,,,Usados,10 950        EUR,8090631813,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-82-start-stop-active-ID8PxsWw.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Kia,Venga,,1.4 CRDi TX ISG,Diesel,Julho,2010,200 000 km,1 396 cm3,90 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,6 890        EUR,8090691569,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-venga-1-4-crdi-tx-isg-ID8PxItj.html,Sim,,Sim,Sim,01/07/2024,18 Meses,Sim,"5,20 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus SW,,1.5 TDCi Titanium,Diesel,Novembro,2017,189 500 km,1 499 cm3,120 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,950 km,,146 €,Sim,1,Nacional,Sim,Sim,Usados,12 890        EUR,8085693254,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PcKbk.html,Sim,Sim,Sim,Sim,,18 Meses,Sim,,,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C3 Aircross,,1.6 BlueHDi Feel,Diesel,Maio,2018,70 250 km,1 560 cm3,100 cv,Monovolume,Cinzento,,Manual,,5,5,Classe 1,,,101 g/km,,,,Nacional,Sim,,Usados,14 900        EUR,8090514351,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-6-bluehdi-feel-ID8PvYmX.html,Sim,,Sim,Sim,,18 Meses,,"4,60 l/100km","3,70 l/100km",,,4 l/100km,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,208,,1.5 BlueHDi Signature,Diesel,Dezembro,2019,185 000 km,1 499 cm3,102 cv,Citadino,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,900 km,,,,,,Sim,Sim,Usados,13 980        EUR,8088497178,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-signature-ID8PowBU.html,Sim,Sim,Sim,Sim,,36 Meses,,,,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus,,1.0 SCTi Titanium Best,Gasolina,Setembro,2013,108 000 km,998 cm3,100 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,,,,,,,,Nacional,Sim,Sim,Usados,10 900        EUR,8088035731,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-scti-titanium-best-ID8Pmzzd.html,Sim,Sim,Sim,Sim,,18 Meses,Sim,"5,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio,,1.2 Zen,Gasolina,Dezembro,2017,105 000 km,1 149 cm3,75 cv,Citadino,Branco,,Manual,,5,5,Classe 1,,,,,,1,Importado,Sim,Sim,Usados,11 990        EUR,8088015067,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-2-zen-ID8PmubW.html,Sim,,Sim,,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,DS3,,1.6 BlueHDi Sport Chic,Diesel,Maio,2013,152 000 km,1 560 cm3,120 cv,Citadino,Branco,,Manual,6,3,4,Classe 1,,,95 g/km,,Sim,2,Importado,Sim,Sim,Usados,10 990        EUR,8089913986,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-bluehdi-sport-chic-ID8PusbE.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Alfa Romeo,Giulietta,,1.6 JTDm Exclusive J18,Diesel,Novembro,2015,87 000 km,1 598 cm3,120 cv,Utilitário,Preto,,Manual,6,5,5,Classe 1,,,,,Sim,,Nacional,Sim,,Usados,14 900        EUR,8089236049,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulietta-1-6-jtdm-exclusive-j18-ID8PrBPb.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,SEAT,Ibiza,,1.2 TSI FR,Gasolina,Fevereiro,2015,142 000 km,1 197 cm3,85 cv,Utilitário,Vermelho,,Manual,,5,5,Classe 1,,,,,Sim,,Nacional,,Sim,Usados,13 500        EUR,8088682957,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tsi-fr-ID8PphVl.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio Sport Tourer,,1.5 dCi GT Line,Diesel,Outubro,2016,162 930 km,1 461 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,,,,Sim,Usados,11 750        EUR,8090610343,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-gt-line-ID8Pxnld.html,,,Sim,Sim,01/10/2024,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,B-Max,,1.5 TDCi Titanium,Diesel,Maio,2013,99 500 km,1 499 cm3,75 cv,Monovolume,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,109 g/km,,,1,Nacional,Sim,Sim,Usados,12 900        EUR,8089952767,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-b-max-1-5-tdci-titanium-ID8PuCh9.html,,,Sim,Sim,,18 Meses,Sim,"4,80 l/100km","3,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500C,,1.2 Lounge S&S,Gasolina,Junho,2015,111 000 km,1 242 cm3,69 cv,Cabrio,Cinzento,Metalizado,Manual,5,2,4,Classe 1,Tracção dianteira,,,,,1,,Sim,Sim,Usados,10 900        EUR,8086890269,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-s-s-ID8PhLA1.html,,,Sim,Sim,,18 Meses,Sim,"6,20 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,A3 Sportback,,2.0 TDi Attraction,Diesel,Setembro,2011,168 000 km,1 968 cm3,140 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,,,,,,Importado,,Sim,Usados,13 490        EUR,8088277903,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-2-0-tdi-attraction-ID8PnAzd.html,Sim,,,Sim,,18 Meses,Sim,"5,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Mégane Sport Tourer,,1.5 dCi Dynamique,Diesel,Novembro,2012,190 800 km,1 461 cm3,110 cv,Carrinha,Branco,,Manual,6,5,5,,Tracção dianteira,,114 g/km,,,,Importado,,Sim,Usados,8 350        EUR,8089968610,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-dynamique-ID8PuGoG.html,Sim,,,Sim,,18 Meses,,"5,80 l/100km","4,20 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,120,Série 1,,Diesel,Dezembro,2012,196 000 km,1 995 cm3,184 cv,Utilitário,Preto,,Manual,6,5,5,,,,,,,,Importado,,Sim,Usados,14 750        EUR,8088709030,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-120-ID8PpoIS.html,Sim,,,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo,,1.4 Lounge,Gasolina,Fevereiro,2017,97 000 km,1 368 cm3,95 cv,Sedan,Cinzento,,Manual,,5,5,,,,,,,,Nacional,,,Usados,13 500        EUR,8090320058,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-4-lounge-ID8Pv9Pc.html,,,Sim,Sim,01/02/2025,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C1,,1.4 HDi SX Airdream,Diesel,Outubro,2010,164 150 km,1 398 cm3,54 cv,Utilitário,Cinzento,Metalizado,Manual,5,5,4,,Tracção dianteira,,109 g/km,,,1,Nacional,,Sim,Usados,7 250        EUR,8089584163,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-4-hdi-sx-airdream-ID8Pt4nW.html,Sim,,,Sim,,18 Meses,Sim,"5,30 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Twingo,,1.0 SCe Zen,Gasolina,Fevereiro,2020,38 346 km,999 cm3,75 cv,Pequeno citadino,Amarelo,,Manual,6,5,4,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,11 950        EUR,8090255782,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-zen-ID8PwT6u.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C3,,1.5 BlueHDi Feel,Diesel,Março,2019,69 000 km,1 499 cm3,102 cv,Citadino,Vermelho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,Sim,1,Importado,Sim,Sim,Usados,14 900        EUR,8088721916,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8Pps4I.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,108,,1.0 VTi Active,Gasolina,Julho,2020,90 000 km,998 cm3,72 cv,Utilitário,Branco,,Manual,5,5,4,Classe 1,Tracção dianteira,,110 g/km,,,1,Nacional,Sim,Sim,Usados,11 990        EUR,8089588326,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8Pt5t4.html,,,Sim,Sim,,36 Meses,Sim,"4,90 l/100km","3,60 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Toyota,Aygo,,1.0 X-Cite,Gasolina,Junho,2018,90 247 km,998 cm3,69 cv,Sedan,Vermelho,Metalizado,Manual,,3,,,,,,,,,Nacional,,,Usados,12 450        EUR,8090534560,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-cite-ID8Px3CU.html,,,,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,308 SW,,,Diesel,Dezembro,2015,124 000 km,1 560 cm3,120 cv,Carrinha,Preto,,Manual,6,5,5,Classe 1,,,,,Sim,1,,Sim,Sim,Usados,13 990        EUR,8090481926,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8PvPWY.html,,,Sim,Sim,01/12/2023,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,VW,Passat Variant,,1.6 TDI (BlueMotion ) Comfortline,Diesel,Novembro,2015,123 175 km,1 598 cm3,120 cv,Carrinha,Cinzento,,Manual,6,5,5,,Tracção dianteira,,107 g/km,,Sim,,,,,Usados,15 000        EUR,8090309206,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-bluemotion-comfortline-ID8Pv70a.html,Sim,,,Sim,,18 Meses,,"4,80 l/100km","3,70 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,116,Série 1,d EfficientDynamics Edition,Diesel,Junho,2012,189 002 km,1 598 cm3,116 cv,Utilitário,Cinzento,Metalizado,Manual,,5,,,,,,,,,Importado,Sim,Sim,Usados,11 990        EUR,8090747358,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-ID8PxVZ8.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Volvo,V40 Cross Country,,1.6 D2 Momentum,Diesel,Junho,2014,168 000 km,1 560 cm3,115 cv,Utilitário,Preto,Metalizado,Manual,,5,,,,,,,,,,,Sim,Usados,12 990        EUR,8090129513,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-cross-country-1-6-d2-momentum-ID8PwmfT.html,Sim,,Sim,Sim,,18 Meses,Sim,"4,20 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Smart,Fortwo Cabrio,,0.9 Passion 90 Aut.,Gasolina,Junho,2016,37 650 km,898 cm3,90 cv,Cabrio,Branco,Metalizado,Automática,,2,2,Classe 1,,,,,,,Nacional,Sim,Sim,Usados,14 100        EUR,8090788796,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-cabrio-0-9-passion-90-aut-ID8Py7Lu.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,108,,Top! 1.0 VTi Allure,Gasolina,Maio,2020,10 000 km,998 cm3,72 cv,Citadino,Preto,Metalizado,Manual,5,5,4,Classe 1,,,,,,1,Importado,Sim,Sim,Usados,14 990        EUR,8088207695,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-top-1-0-vti-allure-ID8PniiP.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Opel,Astra Sports Tourer,,1.0 Edition S/S,Gasolina,Fevereiro,2019,99 957 km,999 cm3,105 cv,Carrinha,Azul,Metalizado,Manual,,5,5,Classe 1,,,,,Sim,1,Nacional,Sim,Sim,Usados,12 490        EUR,8090704050,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-edition-s-s-ID8PxLIC.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mitsubishi,Space Star,,1.2 Intense Connect Edition,Gasolina,Junho,2016,79 000 km,1 193 cm3,80 cv,Pequeno citadino,Preto,Metalizado,Manual,,5,5,Classe 1,,,,,,2,Nacional,Sim,Sim,Usados,10 990        EUR,8090691197,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-connect-edition-ID8PxInj.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Peugeot,207 CC,,120 VTi Active,Gasolina,Maio,2013,95 000 km,1 598 cm3,120 cv,Cabrio,Preto,,Manual,5,2,4,,Tracção dianteira,,149 g/km,,,,,,,Usados,11 000        EUR,8090730870,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-207-cc-120-vti-active-ID8PxSHc.html,,,,,,,,"8,60 l/100km","5,20 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio Sport Tourer,,0.9 TCe Limited Edition,Gasolina,Junho,2018,35 900 km,898 cm3,90 cv,Carrinha,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,105 g/km,"108,32 €",,1,,Sim,Sim,Usados,12 490        EUR,8090789334,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-edition-ID8Py7Ua.html,Sim,,Sim,Sim,07/06/2024,18 Meses,Sim,"5,70 l/100km","4,10 l/100km",,,"4,70 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio,,1.0 SCe Zen,Gasolina,Março,2020,39 000 km,999 cm3,75 cv,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,,,,,,1,,Sim,Sim,Usados,14 500        EUR,8090769670,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-sce-zen-ID8Py2N0.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C4 Cactus,,1.6 e-HDi Shine ETG6 92g,Diesel,Janeiro,2015,145 119 km,1 560 cm3,92 cv,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,92 g/km,,,,,Sim,Sim,Usados,13 450        EUR,8090641431,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-e-hdi-shine-etg6-92g-ID8PxwqD.html,,,,,,18 Meses,,"3,80 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Juke,,1.5 dCi Tekna Premium Ext.1 Red D.,Diesel,Janeiro,2014,169 000 km,1 461 cm3,110 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,1,Importado,Sim,Sim,Usados,13 950        EUR,8090427592,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ext-1-red-d-ID8PvBNC.html,,,Sim,Sim,,36 Meses,Sim,"4,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Smart,ForFour,,Electric drive,Eléctrico,Fevereiro,2018,47 000 km,,82 cv,Citadino,Branco,,Automática,,5,4,Classe 1,Tracção traseira,150 km,,,,,,,,Usados,14 750        EUR,8090763592,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-ID8Py1cY.html,,Sim,Sim,Sim,,36 Meses,,,,,,,150 km,Própria,,,,,StandVirtual,Yes,2023-10-10
Profissional,SEAT,Leon,,1.2 TSI Style S/S,Gasolina,Janeiro,2016,103 326 km,1 197 cm3,110 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,2,,Sim,Sim,Usados,14 999        EUR,8088727471,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-2-tsi-style-s-s-ID8Pptvj.html,,,Sim,Sim,20/01/2024,18 Meses,Sim,"5,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500,,1.2 8V Lounge,Gasolina,Janeiro,2014,48 313 km,1 242 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,115 g/km,,,2,,Sim,Sim,Usados,10 900        EUR,8090641478,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-lounge-ID8Pxwro.html,,,,,14/01/2024,18 Meses,,"6,20 l/100km","4,20 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
