Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Origem,Consumo Urbano,Tracção,Inspecção válida até,Número de Mudanças,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,IVA Discriminado,Livro de Revisões completo,Consumo Combinado,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,IUC,Sub-modelo,Consumo,Site,Portugal,Data
Profissional,Nissan,Micra,1.0 Acenta,Gasolina,Janeiro,2018,51 916 km,998 cm3,71 cv,Sim,Utilitário,Prateado,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 500,8091225804,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-acenta-ID8PzXs0.html,Importado,,,,5,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Nissan,Micra,1.0 Acenta,Gasolina,Janeiro,2018,51 916 km,998 cm3,71 cv,Sim,Utilitário,Prateado,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 500,8091225804,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-acenta-ID8PzXs0.html,Importado,,,,5,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,2008,1.6 e-HDi Allure,Diesel,Fevereiro,2015,156 000 km,1 560 cm3,115 cv,Sim,SUV / TT,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 250,8091919979,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-allure-ID8PCS2n.html,Nacional,,,,6,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Fiat,Tipo Sedan,1.3 M-Jet Lounge,Diesel,Setembro,2017,278 000 km,1 248 cm3,95 cv,,Sedan,Cinzento,Metalizado,Manual,4,,,,1,Sim,Sim,Usados,5 900,8091037403,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-sedan-1-3-m-jet-lounge-ID8Pzarh.html,Nacional,"5,70 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,208,PureTech 68 Like,Gasolina,Maio,2018,124 000 km,1 199 cm3,68 cv,Sim,Citadino,Cinzento,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,10 950,8091821108,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-68-like-ID8PCsjG.html,,"5,50 l/100km",Tracção dianteira,,5,108 g/km,"3,90 l/100km",Mostrar VIN,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Pop,Diesel,Setembro,2019,72 000 km,1 248 cm3,95 cv,Sim,Carrinha,Cinzento,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 990,8091875212,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-pop-ID8PCGok.html,Nacional,,,,,,,Mostrar VIN,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Smart,ForTwo Coupé,,Gasolina,Novembro,2019,48 038 km,999 cm3,71 cv,Sim,Citadino,Branco,,Manual,3,2,,24 Meses,,,Sim,Usados,13 500,8092105099,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PDEcb.html,Nacional,"5,90 l/100km",Tracção traseira,,,,"4,50 l/100km",Mostrar VIN,Sim,,,5 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Scénic,1.5 dCi Bose Edition EDC SS,Diesel,Maio,2017,164 116 km,1 461 cm3,110 cv,Sim,Monovolume,Preto,Metalizado,Automática,5,5,Classe 1,18 Meses,1,,Sim,Usados,13 890,8090982283,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-scnic-1-5-dci-bose-edition-edc-ss-ID8PyV6f.html,,"5,40 l/100km",Tracção dianteira,9 Maio 2025,7,114 g/km,"4,30 l/100km",,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,16 066 km,999 cm3,70 cv,Sim,Citadino,Cinzento,,Manual,3,4,Classe 1,18 Meses,1,,Sim,Usados,13 900,8091875354,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCGqC.html,,,Tracção dianteira,2 Fevereiro 2026,6,,,,Sim,,Sim,4 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Outubro,2019,140 731 km,1 499 cm3,102 cv,Sim,Utilitário,Branco,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,14 900,8091101485,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8Pzr6R.html,Importado,,,,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
