Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Condição,Preco,ID Anuncio,Data Anuncio,Link,Inspecção válida até,2º Chave,Consumo Urbano,Consumo Extra Urbano,VIN,Não fumador,Consumo Combinado,IUC,Bateria,Sub-modelo,Garantia de Fábrica até,Autonomia Máxima,Autonomia,Consumo,Capacidade da bateria,ou até,Site,Portugal,Data
Profissional,Citroën,C4 Grand Picasso,1.6 BlueHDi Exclusive EAT6,Diesel,Março,2015,196 000 km,1 560 cm3,120 cv,,,Sim,Monovolume,Preto,Metalizado,Automática,,5,7,,,,18 Meses,,,,Usados,12 900,8091588320,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-bluehdi-exclusive-eat6-ID8PBtL2.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C3,Pure Tech 110 S&S MAX,Gasolina,Julho,2018,85 440 km,1 199 cm3,110 cv,Sim,,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,,103 g/km,18 Meses,,Importado,,Usados,12 900,8091922226,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-110-s-s-max-ID8PCSCC.html,,,,,Mostrar VIN,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Maio,2016,147 000 km,998 cm3,80 cv,Sim,,,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,Usados,10 400,8091768589,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8PCeEB.html,,Sim,,,Mostrar VIN,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C3,1.4 HDi Exclusive,Diesel,Maio,2015,108 252 km,1 398 cm3,70 cv,Sim,,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Usados,9 800,8092157984,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-4-hdi-exclusive-ID8PDRXa.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Janeiro,2020,103 273 km,999 cm3,100 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,18 Meses,1,Nacional,,Usados,12 990,8092098177,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8PDCox.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Abril,2020,96 000 km,1 499 cm3,102 cv,Sim,,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,,,,18 Meses,,Nacional,,Usados,14 990,8091835756,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PCv7V.html,,Sim,,,Mostrar VIN,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,308 SW,1.5 BlueHDi Style J17,Diesel,Novembro,2018,192 013 km,1 499 cm3,130 cv,,,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,Usados,12 750,8089898516,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-j17-ID8Puoa8.html,,Sim,"4,30 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Fevereiro,2019,134 000 km,1 461 cm3,90 cv,Sim,,Sim,Citadino,Vermelho,Metalizado,Manual,5,5,5,,Tracção dianteira,139 g/km,18 Meses,,Nacional,,Usados,14 890,8091922258,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PCSD8.html,,Sim,"4,60 l/100km","3,90 l/100km",,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,2008,1.6 BlueHDi Style,Diesel,Junho,2016,154 000 km,1 560 cm3,100 cv,Sim,,Sim,SUV / TT,Branco,,Manual,,5,5,Classe 1,,,18 Meses,,Nacional,,Usados,13 999,8092110413,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-style-ID8PDFzT.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Grand Scénic,,Diesel,Agosto,2014,242 000 km,1 500 cm3,110 cv,Sim,,Sim,Monovolume,Castanho,,Manual,,5,7,Classe 1,,,18 Meses,,,,Usados,11 500,8092020623,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-ID8PDidF.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Mercedes-Benz,B 180,CDi BlueEfficiency,Diesel,Junho,2014,138 009 km,1 461 cm3,109 cv,Sim,,Sim,Carrinha,Roxo,,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,2,Importado,Sim,Usados,14 950,8092092062,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-cdi-blueefficiency-ID8PDANU.html,26 Junho 2024,Sim,,,,,,,,Classe B,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Setembro,2018,105 000 km,1 499 cm3,130 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,95 g/km,18 Meses,1,Nacional,,Usados,14 900,8089526752,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PsPrV.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Ford,EcoSport,1.0 EcoBoost Titanium,Gasolina,Maio,2016,90 000 km,998 cm3,125 cv,Sim,,Sim,SUV / TT,Branco,Metalizado,Manual,5,5,5,,Tracção dianteira,125 g/km,18 Meses,,Nacional,,Usados,11 990,8089943904,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ecosport-1-0-ecoboost-titanium-ID8PuzYc.html,,Sim,"6,60 l/100km","4,70 l/100km",Mostrar VIN,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Captur,1.5 dCi Sport EDC,Diesel,Julho,2015,131 000 km,1 461 cm3,90 cv,Sim,,Sim,SUV / TT,Bege,Metalizado,Automática,6,5,,,Tracção dianteira,99 g/km,18 Meses,,,,Usados,13 790,8090423841,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-sport-edc-ID8PvAP7.html,,,4 l/100km,"3,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Junho,2018,155 000 km,1 461 cm3,90 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,,,,,18 Meses,,Nacional,,Usados,11 490,8091435335,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PAPXx.html,,Sim,"3,50 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,SEAT,Ibiza,1.0 Eco TSI S&S FR,Gasolina,Junho,2017,93 226 km,999 cm3,110 cv,,,Sim,Citadino,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,Usados,13 750,8091795686,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-eco-tsi-s-s-fr-ID8PClHE.html,,Sim,"5,20 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
