Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Garantia de Stand (incl. no preço),Possibilidade de financiamento,Tipo de cor,Não fumador,Inspecção válida até,Autonomia,Consumo,Capacidade da bateria,Bateria,IVA Discriminado,IUC,Autonomia Máxima,Sub-modelo,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Particular,Renault,Scénic,ENERGY dCi 110 LIMITED,Diesel,Abril,2017,185 000 km,1 461 cm3,110 cv,Monovolume,Azul,Manual,6,5,,Classe 1,Tracção dianteira,100 g/km,,Importado,,Sim,"4,20 l/100km","3,70 l/100km",Usados,,13 500,8089580177,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-scnic-energy-dci-110-limited-ID8Pt3lD.html,,,,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,VW,Passat,1.6 TDI Trendline,Diesel,Novembro,2016,238 000 km,1 598 cm3,120 cv,Sedan,Prateado,Manual,6,4,5,Classe 1,Tracção dianteira,105 g/km,,,,,"4,70 l/100km","3,60 l/100km",Usados,Mostrar VIN,14 250,8092274144,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-1-6-tdi-trendline-ID8PEmaI.html,,,,Metalizado,,,,,,,,,"5,50 km",,,,,StandVirtual,Yes,2024-04-14
Profissional,BMW,114,d Pack M,Diesel,Maio,2015,190 000 km,1 598 cm3,95 cv,Utilitário,Branco,Manual,,5,,,,,,,,,"4,90 l/100km",,Usados,,14 950,8091866756,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-114-d-pack-m-ID8PCEbV.html,Sim,18 Meses,Sim,,,,,,,,,,,Série 1,,,,StandVirtual,Yes,2024-04-14
Profissional,MINI,Cooper,D,Diesel,Março,2016,183 301 km,1 496 cm3,116 cv,Utilitário,Cinzento,Manual,,5,5,,Tracção dianteira,,1,Nacional,Sim,Sim,,,Usados,,14 450,8092092046,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PDANE.html,Sim,18 Meses,Sim,Metalizado,,28 Março 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Nissan,Qashqai,1.2 DIG-T Acenta Connect,Gasolina,Dezembro,2014,139 053 km,1 197 cm3,115 cv,SUV / TT,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,,1,Importado,,,,,Usados,,14 950,8092092033,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-2-dig-t-acenta-connect-ID8PDANr.html,,18 Meses,Sim,,,17 Dezembro 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,MINI,Cooper,Coupe,Gasolina,Outubro,2014,130 000 km,1 598 cm3,122 cv,Utilitário,Branco,Manual,,2,4,Classe 1,,,,,,,,,Usados,,13 000,8092156527,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-coupe-ID8PDRzF.html,Sim,36 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech Feel EAT6,Gasolina,Maio,2017,77 397 km,1 199 cm3,110 cv,Utilitário,Branco,Automática,,5,5,Classe 1,,,,Nacional,,Sim,,,Usados,,14 750,8091871420,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-eat6-ID8PCFpa.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,MINI,One,D,Diesel,Agosto,2014,103 000 km,1 496 cm3,95 cv,Citadino,Azul,Manual,6,3,4,,Tracção dianteira,109 g/km,,,,,"4,30 l/100km","3,40 l/100km",Usados,Mostrar VIN,12 750,8091820510,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PCsa2.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Fiat,500,1.2 Lounge,Gasolina,Março,2019,41 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,5,3,4,Classe 1,Tracção dianteira,129 g/km,,,,,"5,90 l/100km","4,40 l/100km",Usados,,14 000,8091710650,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PBZA6.html,,,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio Sport Tourer,Energy dCi 110 Bose Edition,Diesel,Junho,2018,159 000 km,1 461 cm3,110 cv,Carrinha,Preto,Manual,,5,,,,,,,Sim,Sim,"3,80 l/100km",,Usados,,14 900,8090961698,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-energy-dci-110-bose-edition-ID8PyQKe.html,Sim,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
