Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Filtro de partículas,Garantia de Fábrica até,ou até,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Não fumador,Emissões CO2,Consumo Extra Urbano,Autonomia,Valor Fixo,IUC,Consumo Combinado,Sub-modelo,Autonomia Máxima,Bateria,Consumo,Capacidade da bateria,Gancho de Reboque,Clássico,Site,Portugal,Data
Profissional,Citroën,C3 Aircross,1.2 PureTech Feel Pack,Gasolina,Agosto,2018,30 000 km,1 199 cm3,110 cv,Sim,SUV / TT,Preto,,Manual,6,5,,,Tracção dianteira,,,,,36 Meses,1,,Sim,Sim,"5,90 l/100km",Usados,14 990        EUR,8090253439,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-feel-pack-ID8PwSuH.html,,Sim,Sim,133 g/km,"4,20 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2019,52 000 km,1 199 cm3,110 cv,,Citadino,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,1,,Sim,Sim,"5,80 l/100km",Usados,14 500        EUR,8090610700,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxnqY.html,,,Sim,132 g/km,"3,90 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Scénic,1.5 dCi Bose Edition SS,Diesel,Junho,2016,128 907 km,1 461 cm3,110 cv,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,Sim,Sim,,Usados,14 990        EUR,8090117753,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-scnic-1-5-dci-bose-edition-ss-ID8Pwjcd.html,,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,BMW,318,d Navigation,Diesel,Setembro,2011,145 545 km,1 995 cm3,143 cv,Sim,Sedan,Preto,Metalizado,Manual,6,4,5,Classe 1,Tracção traseira,,,,,18 Meses,1,Nacional,Sim,Sim,,Usados,14 990        EUR,8090115155,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-navigation-ID8Pwivj.html,,Sim,Sim,,,,Sim,,,Série 3,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,SEAT,Ibiza,SC 1.4 TSI Cupra DSG,Gasolina,Março,2010,120 000 km,1 390 cm3,180 cv,Sim,Citadino,Preto,,Automática,7,3,,Classe 1,Tracção dianteira,,,,,18 Meses,,,,Sim,"7,50 l/100km",Usados,13 990        EUR,8090458797,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-4-tsi-cupra-dsg-ID8PvJUW.html,,Sim,,139 g/km,"5,10 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Clio,ENERGY dCi 90 EDC Intens,Diesel,Janeiro,2016,94 000 km,1 461 cm3,90 cv,Sim,Utilitário,Cinzento,,Automática,,5,5,,,,,,,18 Meses,,Importado,,Sim,,Usados,14 950        EUR,8089640862,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-energy-dci-90-edc-intens-ID8Ptj8q.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Alfa Romeo,MiTo,1.3 JTDM Distinctive,Diesel,Outubro,2013,135 000 km,1 248 cm3,85 cv,Sim,Citadino,Castanho,Metalizado,Manual,5,3,,Classe 1,Tracção dianteira,,,,,18 Meses,,,,Sim,"4,40 l/100km",Usados,10 490        EUR,8090459081,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-distinctive-ID8PvJZw.html,,Sim,,90 g/km,"2,90 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,,Diesel,Fevereiro,2019,69 094 km,1 200 cm3,95 cv,,Sedan,Branco,Metalizado,Manual,,3,,,,,,,,36 Meses,,Nacional,,,,Usados,12 940        EUR,8090466318,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PvLSe.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2019,74 689 km,1 242 cm3,69 cv,,Sedan,Preto,Metalizado,Manual,,3,,,,,,,,36 Meses,,Nacional,,,,Usados,12 940        EUR,8090466230,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvLQO.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2019,73 069 km,1 242 cm3,69 cv,,Sedan,Preto,Metalizado,Manual,,3,,,,,,,,36 Meses,,Nacional,,,,Usados,12 940        EUR,8090466253,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvLRb.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,74 536 km,1 242 cm3,69 cv,,Sedan,Preto,Metalizado,Manual,,3,,,,,,,,36 Meses,,Nacional,,,,Usados,12 940        EUR,8090466321,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvLSh.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,,Diesel,Fevereiro,2019,89 895 km,1 200 cm3,95 cv,,Sedan,Branco,Metalizado,Manual,,3,,,,,,,,36 Meses,,Nacional,,,,Usados,11 940        EUR,8090466291,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PvLRN.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,VW,Passat Variant,1.6 TDI Confortline,Diesel,Abril,2011,232 000 km,1 598 cm3,105 cv,,Carrinha,Cinzento,,Manual,,5,5,,,,,,,18 Meses,,Nacional,,,,Usados,10 990        EUR,8089075830,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PqV90.html,,,,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
