Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Possibilidade de financiamento,IVA Discriminado,IVA dedutível,Consumo Urbano,Autonomia,Consumo,Bateria,Autonomia Máxima,Filtro de partículas,Emissões CO2,Consumo Extra Urbano,Consumo Combinado,Garantia de Fábrica até,Inspecção válida até,ou até,Capacidade da bateria,Clássico,Site,Portugal
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Style Plus Aut.,Diesel,Setembro,2020,44 000 km,1 461 cm3,116 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,8,5,5,Classe 1,,,18 Meses,,Nacional,,,Sim,Usados,33 500        EUR,8089773180,3 Julho 2023,Classe CLA,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Espace,1.6 dCi Initiale Paris EDC,Diesel,Fevereiro,2017,125 000 km,1 598 cm3,160 cv,,,Monovolume,Cinzento,,Automática,,5,7,Classe 1,Integral,,,,Importado,,Sim,Sim,Usados,23 250        EUR,8089871840,3 Julho 2023,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,,Diesel,Setembro,2012,98 000 km,1 500 cm3,109 cv,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,,,,18 Meses,,,,,Sim,Usados,16 500        EUR,8088579307,3 Julho 2023,Classe A,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,530,e iPerformance Pack M,Híbrido (Gasolina),Março,2019,98 000 km,1 998 cm3,252 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,8,4,5,,,,18 Meses,,Nacional,,,Sim,Usados,37 500        EUR,8089504551,3 Julho 2023,Série 5,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mazda,CX-5,2.2 D Excellence Navi,Diesel,Setembro,2016,180 000 km,2 191 cm3,150 cv,,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,14 980        EUR,8089852863,3 Julho 2023,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Toyota,C-HR,2.0 Hybrid Exclusive+P.Luxury,Híbrido (Gasolina),Dezembro,2020,38 000 km,1 987 cm3,184 cv,,,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,Usados,33 500        EUR,8089580369,3 Julho 2023,,,,,"3,70 l/100km",,,,,,120 g/km,4 l/100km,,20/05/2030,,200 000 km,,,StandVirtual,Yes
Particular,Mercedes-Benz,CLA 250,e Shooting Brake AMG Line,Híbrido (Gasolina),Novembro,2020,20 900 km,1 332 cm3,218 cv,,,Carrinha,Preto,,Automática,8,5,,Classe 1,,,,1,,Sim,,Sim,Usados,36 990        EUR,8089136477,3 Julho 2023,Classe CLA,,,,,,,,,,,,,06/04/2025,,,,,StandVirtual,Yes
Particular,Peugeot,205 Cabrio,1.4,Gasolina,Abril,1993,88 000 km,1 360 cm3,76 cv,,,Cabrio,Verde,,Manual,5,2,4,,,,,,,,,,Usados,7 500        EUR,8089390933,3 Julho 2023,,,,,,,,,,,,,,,30/04/2024,,,,StandVirtual,Yes
Particular,BMW,320,d Touring Auto Line Sport,Diesel,Maio,2014,143 124 km,1 995 cm3,184 cv,,,Carrinha,Cinzento,,Automática,8,5,5,Classe 1,Tracção traseira,,,2,Nacional,,Sim,,Usados,19 900        EUR,8089160622,3 Julho 2023,Série 3,Sim,,,,,,,900 km,Sim,,,,,15/05/2024,,,,StandVirtual,Yes
Particular,BMW,X1,sDrive20d,Diesel,Fevereiro,2010,200 000 km,1 995 cm3,177 cv,,,SUV / TT,Cinzento,Metalizado,Manual,5,5,,,Tracção traseira,,,,Nacional,Sim,Sim,Sim,Usados,14 950        EUR,8089804046,3 Julho 2023,Série X,,,,"6,40 l/100km",,,,,Sim,,,,,29/02/2024,,,,StandVirtual,Yes
Profissional,BMW,118,d,Diesel,Julho,2012,179 000 km,1 995 cm3,143 cv,,Sim,Utilitário,Branco,,Manual,6,2,4,Classe 1,Tracção traseira,,18 Meses,2,,,Sim,Sim,Usados,17 950        EUR,8081152950,3 Julho 2023,Série 1,Sim,,,"5,30 l/100km",,,,,Sim,,,,,,,,,StandVirtual,Yes
