Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,Classe do veículo,Autonomia Máxima,Emissões CO2,Inspecção válida até,Filtro de partículas,IVA Discriminado,Consumo Extra Urbano,Sub-modelo,IUC,ou até,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Garantia de Fábrica até,Consumo,Clássico,Gancho de Reboque,Site,Portugal
Profissional,MINI,Electric,Cooper SE,Eléctrico,Novembro,2021,5 000 km,,184 cv,,,Citadino,Cinzento,Metalizado,Automática,,3,4,,18 Meses,,Importado,Sim,Sim,Sim,,Usados,31 750        EUR,8089288968,6 Setembro 2023,,Classe 1,230 km,,,,,,,,,230 km,,Própria,,29/11/2023,"15,50 kWh/100km",,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLC 220,,Diesel,Março,2016,63 238 km,2 143 cm3,170 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,,18 Meses,1,Importado,Sim,,Sim,,Usados,44 600        EUR,8087567578,6 Setembro 2023,Sim,Classe 1,,,,,,,Classe GLC,,,,,,,,,,,StandVirtual,Yes
Particular,VW,ID.4,Pro Performance,Eléctrico,Maio,2021,62 000 km,,204 cv,,,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Tracção traseira,,1,Importado,Sim,Sim,Sim,,Usados,35 550        EUR,8089944583,6 Setembro 2023,,Classe 1,520 km,,26/06/2024,Sim,,,,,,522 km,78 kWh,Própria,,,"17,20 kWh/100km",,,StandVirtual,Yes
Profissional,Porsche,Cayenne,S Hybrid,Híbrido (Gasolina),Junho,2013,134 000 km,2 995 cm3,333 cv,,Sim,SUV / TT,Branco,,Automática,8,5,5,Integral,18 Meses,,Nacional,,,Sim,,Usados,41 499        EUR,8087066651,6 Setembro 2023,Sim,Classe 2,,193 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,e-Niro,EV 64kWh Tech,Eléctrico,Julho,2022,22 000 km,,204 cv,,,SUV / TT,Preto,Metalizado,Automática,1,5,5,Tracção dianteira,36 Meses,,Nacional,Sim,,Sim,,Usados,44 990        EUR,8090517471,6 Setembro 2023,,Classe 1,,,,,,,,,150 000 km,460 km,64 kWh,Própria,,15/07/2029,"16,20 kWh/100km",,,StandVirtual,Yes
Profissional,Peugeot,e-208,Allure Pack,Eléctrico,Fevereiro,2023,1 800 km,,136 cv,,Sim,Sedan,Cinzento,,Automática,,5,5,,36 Meses,,,,,,,Usados,32 990        EUR,8089403332,6 Setembro 2023,Sim,,,,,,,,,,,340 km,,,,,"16,90 kWh/100km",,,StandVirtual,Yes
Profissional,Renault,Espace,2.0 dCi Zen 7L EDC,Diesel,Julho,2019,94 000 km,1 997 cm3,200 cv,Sim,Sim,Monovolume,Branco,,Automática,,5,7,Tracção dianteira,36 Meses,1,Nacional,Sim,Sim,Sim,"6,30 l/100km",Usados,30 450        EUR,8089588547,1 Setembro 2023,,Classe 1,,170 g/km,,,,"4,90 l/100km",,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A6,40 TDI quattro Sport S tronic,Diesel,Novembro,2018,120 000 km,1 968 cm3,204 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,7,4,5,Tracção dianteira,,,Nacional,Sim,Sim,Sim,"5,60 l/100km",Usados,34 950        EUR,8090228600,3 Setembro 2023,Sim,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Novembro,2020,22 000 km,1 332 cm3,218 cv,,,Utilitário,Branco,,Automática,,5,,,,,,,,,,Usados,35 500        EUR,8089429052,5 Setembro 2023,,,,,,,,,Classe A,,,69 km,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Setembro,2018,190 659 km,1 995 cm3,190 cv,,Sim,Sedan,Preto,,Automática,,4,5,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,,,Usados,32 990        EUR,8090113023,6 Setembro 2023,Sim,,,127 g/km,,,Sim,,Série 5,,,,,,,,,,,StandVirtual,Yes
