Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Potência,Autonomia,Capacidade da bateria,Bateria,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Autonomia Máxima,Condição,Preco,ID Anuncio,Data Anuncio,Link,Cilindrada,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Valor Fixo,Emissões CO2,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Registo(s),IVA Discriminado,Inspecção válida até,IUC,Filtro de partículas,Gancho de Reboque,Clássico,Consumo,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Renault,Captur,1.0 TCe Zen,Gasolina,Fevereiro,2023,6 500 km,100 cv,,,,SUV / TT,Cinzento,Manual,5,5,,Tracção dianteira,,Usados,22 950        EUR,8090573938,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-zen-ID8PxdS2.html,999 cm3,,,,,36 Meses,,,,,135 g/km,,"6,40 l/100km","4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Mercedes-Benz,A 180,d 7G-DCT AMG Line,Diesel,Setembro,2018,43 800 km,116 cv,,,,Citadino,Branco,Automática,7,5,5,Tracção dianteira,850 km,Usados,29 990        EUR,8089914705,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-7g-dct-amg-line-ID8Pusnf.html,1 461 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Importado,Sim,Sim,,106 g/km,Sim,"4,70 l/100km","3,60 l/100km",1,,26/09/2024,,Sim,,,,,Classe A,,,StandVirtual,Yes,2023-09-17
Profissional,Fiat,500X,1.3 MJ City Cross,Diesel,Agosto,2018,12 000 km,95 cv,,,,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,,Usados,19 900        EUR,8090219006,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-city-cross-ID8PwJxk.html,1 248 cm3,Sim,Sim,,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,126 g/km,Sim,"5,20 l/100km","3,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Volvo,XC 90,D4 Geartronic Inscription,Diesel,Outubro,2015,300 000 km,190 cv,,,,SUV / TT,Preto,Automática,8,5,7,Tracção traseira,,Usados,27 000        EUR,8089686347,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-90-d4-geartronic-inscription-ID8PtuY3.html,1 969 cm3,Sim,Sim,,Classe 1,,,,,,,,"5,80 l/100km",,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Mercedes-Benz,GLA 180,UrbanStyle Edition,Gasolina,Julho,2017,41 000 km,122 cv,,,,SUV / TT,Branco,Manual,6,5,,Tracção dianteira,,Usados,24 950        EUR,8090573936,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-180-urbanstyle-edition-ID8PxdS0.html,1 595 cm3,,,,,36 Meses,,,,,158 g/km,,"9,30 l/100km","5,60 l/100km",,,,,,,,,,Classe GLA,,,StandVirtual,Yes,2023-09-17
Particular,Peugeot,508 SW,2.0 BlueHDi GT Line,Diesel,Setembro,2016,170 000 km,150 cv,,,,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,Usados,16 850        EUR,8090325537,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-2-0-bluehdi-gt-line-ID8Pvbfz.html,1 997 cm3,,,,Classe 1,,Nacional,Sim,Sim,,110 g/km,Sim,"4,80 l/100km","3,60 l/100km",1,,21/09/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Peugeot,2008,1.6 BlueHDi Active,Diesel,Dezembro,2017,68 055 km,100 cv,,,,SUV / TT,Branco,Manual,5,5,5,Tracção dianteira,900 km,Usados,15 990        EUR,8090607635,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-active-ID8PxmDx.html,1 560 cm3,,,Pérola,Classe 1,,Nacional,Sim,Sim,Sim,,Sim,"3,90 l/100km",,1,,13/09/2025,134 €,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,BMW,520,d Line Modern Auto,Diesel,Maio,2013,134 000 km,184 cv,,,,Sedan,Cinzento,Automática,8,5,5,Tracção traseira,,Usados,20 980        EUR,8085111124,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-modern-auto-ID8PaiK8.html,1 995 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Importado,Sim,Sim,Sim,123 g/km,,,,2,,,"254,59 €",Sim,,,,,Série 5,,,StandVirtual,Yes,2023-09-17
Particular,Audi,A3 Sportback,e-tron 1.4 TFSI Sport S tronic,Híbrido (Gasolina),Junho,2016,93 000 km,204 cv,,,,Utilitário,Cinzento,Automática,6,5,5,Tracção dianteira,800 km,Usados,20 990        EUR,8087918901,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-e-tron-1-4-tfsi-sport-s-tronic-ID8Pm5aR.html,1 395 cm3,,,Metalizado,Classe 1,,Importado,Sim,Sim,,,Sim,,,2,,28/06/2024,140 €,,,,,,,28/06/2024,160 000 km,StandVirtual,Yes,2023-09-17
Particular,BMW,i3,+EXA,Eléctrico,Agosto,2015,105 800 km,170 cv,250 km,,Própria,Citadino,Cinzento,Automática,,5,4,Tracção traseira,250 km,Usados,16 250        EUR,8090013560,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-exa-ID8PuS5G.html,,,,,Classe 1,,Importado,Sim,Sim,,,,,,,,,100 €,,,,,,Série i,,,StandVirtual,Yes,2023-09-17
