Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Número de Mudanças,Tracção,Emissões CO2,Registo(s),Consumo Urbano,Consumo Extra Urbano,Tipo de cor,Filtro de partículas,IUC,Livro de Revisões completo,Possibilidade de financiamento,IVA Discriminado,Garantia de Fábrica até,Inspecção válida até,Autonomia Máxima,Clássico,Gancho de Reboque,ou até,Autonomia,Consumo,Capacidade da bateria,Bateria,Consumo Combinado,Site,Portugal,Data
Profissional,Citroën,C5 Aircross,1.5 BlueHDi Shine EAT8,Diesel,Outubro,2019,134 616 km,1 499 cm3,130 cv,Sim,Sim,Utilitário,Azul,Automática,5,5,Classe 1,18 Meses,,,Sim,Usados,21 990        EUR,8090069694,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-5-bluehdi-shine-eat8-ID8Pw6H4.html,,8,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Zoe,Limited 40,Eléctrico,Novembro,2018,16 000 km,,109 cv,Sim,Sim,Utilitário,Branco,Automática,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,21 500        EUR,8089210428,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-limited-40-ID8Prw9V.html,,,Tracção dianteira,,1,,,,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Captur,1.2 TCe Exclusive,Gasolina,Setembro,2016,79 000 km,1 197 cm3,120 cv,Sim,Sim,SUV / TT,Branco,Manual,5,5,Classe 1,18 Meses,Importado,Sim,,Usados,15 900        EUR,8088286227,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-2-tce-exclusive-ID8PnCJt.html,,5,Tracção dianteira,125 g/km,1,7 l/100km,"4,70 l/100km",Metalizado,,,Sim,Sim,Sim,,30/09/2024,,,,,,,,,"5,50 l/100km",StandVirtual,Yes,2023-10-21
Profissional,Toyota,Aygo,x-shift x-play,Gasolina,Fevereiro,2019,31 000 km,998 cm3,72 cv,Sim,Sim,Citadino,Branco,Automática,5,4,Classe 1,18 Meses,Importado,Sim,Sim,Usados,16 950        EUR,8089369016,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-x-shift-x-play-ID8PsapO.html,,,Tracção dianteira,,1,5 l/100km,"3,80 l/100km",,,,Sim,Sim,,,,,,,,,,,,"4,20 l/100km",StandVirtual,Yes,2023-10-21
Profissional,Smart,ForFour,Electric Drive Passion,Eléctrico,Dezembro,2020,14 700 km,,82 cv,Sim,Sim,Citadino,Cinzento,Automática,5,4,Classe 1,18 Meses,,Sim,Sim,Usados,16 680        EUR,8090154757,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-passion-ID8PwsP3.html,,,Tracção traseira,,1,,,Metalizado,,,Sim,Sim,Sim,,,,,,,150 km,,,Própria,,StandVirtual,Yes,2023-10-21
Profissional,BMW,i3,120Ah,Eléctrico,Março,2020,21 000 km,,170 cv,Sim,Sim,Citadino,Cinzento,Automática,5,4,Classe 1,36 Meses,,,,Usados,24 680        EUR,8090817763,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-120ah-ID8PyfiH.html,Série i,1,Tracção traseira,,,,,Metalizado,,,,Sim,Sim,,,,,,,300 km,,,Própria,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,C 200,,Diesel,Junho,2019,149 800 km,1 597 cm3,160 cv,,,Carrinha,Cinzento,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,29 950        EUR,8090335656,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-ID8PvdSM.html,Classe C,9,Tracção traseira,125 g/km,1,,,Metalizado,,145 €,Sim,,,,24/06/2025,950 km,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Audi,A6 Avant,2.0 TDI Ultra DPF S tronic,Diesel,Janeiro,2017,203 000 km,1 968 cm3,190 cv,,,Carrinha,Cinzento,Automática,5,5,Classe 1,,Nacional,Sim,Sim,Usados,23 500        EUR,8090730834,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-2-0-tdi-ultra-dpf-s-tronic-ID8PxSGC.html,,7,Tracção dianteira,,,"5,30 l/100km",,Metalizado,Sim,,Sim,,,,27/12/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,X1,18 d xDrive xLine,Diesel,Junho,2018,112 000 km,1 995 cm3,150 cv,,Sim,SUV / TT,Azul,Manual,5,5,,18 Meses,Nacional,,Sim,Usados,28 250        EUR,8090306720,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-xdrive-xline-ID8Pv6m4.html,Série X,6,Integral,116 g/km,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Dezembro,2019,112 965 km,1 461 cm3,90 cv,Sim,Sim,Carrinha,Branco,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,15 250        EUR,8090698743,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PxKl1.html,,5,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Espace,1.6 dCi Zen,Diesel,Maio,2018,119 257 km,1 598 cm3,130 cv,Sim,Sim,Monovolume,Cinzento,Manual,5,7,,18 Meses,,Sim,Sim,Usados,25 800        EUR,8088441550,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-espace-1-6-dci-zen-ID8Poh8G.html,,,,,,,,Metalizado,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,518,d Line Sport Auto,Diesel,Setembro,2019,126 000 km,1 995 cm3,150 cv,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,32 900        EUR,8090819405,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-518-d-line-sport-auto-ID8PyfJb.html,Série 5,8,,157 g/km,1,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Outubro,2019,57 908 km,1 461 cm3,116 cv,Sim,,Utilitário,Branco,Automática,5,,Classe 1,18 Meses,Nacional,,,Usados,31 790        EUR,8090827956,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PyhX6.html,Classe A,7,Tracção dianteira,123 g/km,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,318,d Line Sport Auto,Diesel,Maio,2022,48 500 km,1 995 cm3,150 cv,Sim,,Sedan,Preto,Automática,4,,,36 Meses,Nacional,,,Usados,43 900        EUR,8090647430,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-line-sport-auto-ID8PxvZo.html,Série 3,,,,,,,,,,,,,21/10/2026,,,,,,,,,,"4,80 l/100km",StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Novembro,2019,82 442 km,1 950 cm3,306 cv,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,42 990        EUR,8090764618,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-amg-line-ID8Py1tv.html,Classe E,9,,,,,,Metalizado,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Cupra,Formentor,1.5 TSI,Gasolina,Fevereiro,2023,17 000 km,1 498 cm3,150 cv,Sim,Sim,SUV / TT,Preto,Manual,5,5,,36 Meses,Nacional,,Sim,Usados,34 790        EUR,8090464350,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-ID8PvLmu.html,,6,Tracção dianteira,143 g/km,,"6,30 l/100km","4,90 l/100km",,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Qashqai,,Gasolina,Novembro,2022,7 500 km,1 497 cm3,190 cv,Sim,,Sedan,Azul,,5,,,36 Meses,Nacional,,,Usados,36 900        EUR,8090625444,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-ID8PxrgM.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mazda,MX-5,1.5 Sky-G Excellence Navi Terracota,Gasolina,Setembro,2022,900 km,1 496 cm3,132 cv,,Sim,Cabrio,Cinzento,Manual,2,2,Classe 1,60 Meses,Nacional,,Sim,Usados,38 500        EUR,8090476564,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mazda-mx-5-1-5-sky-g-excellence-navi-terracota-ID8PvOxu.html,,6,Tracção traseira,,,"8,20 l/100km","5,20 l/100km",Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Golf,2.0 TSi GTi DSG Performance,Gasolina,Julho,2015,124 001 km,1 984 cm3,230 cv,Sim,Sim,Utilitário,Cinzento,Automática,3,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,33 990        EUR,8089249052,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-dsg-performance-ID8PrFcU.html,,6,,,1,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2020,27 000 km,1 461 cm3,116 cv,,Sim,Utilitário,Preto,Automática,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,30 990        EUR,8090893590,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8Pyz1I.html,Classe A,7,Tracção dianteira,123 g/km,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Ford,Mustang,2.3-ecoboost,Gasolina,Julho,2016,117 000 km,2 261 cm3,317 cv,Sim,,Coupé,Vermelho,Manual,2,4,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,36 990        EUR,8089446797,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-mustang-2-3-ecoboost-ID8PsuEl.html,,6,Tracção traseira,,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,520,d Pack M Auto,Diesel,Outubro,2017,168 500 km,1 995 cm3,190 cv,,Sim,Carrinha,Cinzento,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,35 450        EUR,8089930570,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Puvw8.html,Série 5,8,,,,,,,,224 €,Sim,Sim,,,01/10/2023,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,GLA 220,d AMG Line,Diesel,Abril,2019,81 000 km,2 143 cm3,170 cv,,,SUV / TT,Preto,Automática,5,5,,18 Meses,Nacional,Sim,Sim,Usados,35 900        EUR,8090887100,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-220-d-amg-line-ID8Pyxl2.html,Classe GLA,7,Tracção traseira,164 g/km,,"6,40 l/100km","5,10 l/100km",,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Land Rover,Range Rover Evoque,2.0 D180 AWD Auto,Diesel,Junho,2018,98 000 km,1 999 cm3,180 cv,,,SUV / TT,Preto,Automática,5,,,18 Meses,,,,Usados,32 900        EUR,8090786392,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-2-0-d180-awd-auto-ID8Py78I.html,,9,Integral,179 g/km,,"6,70 l/100km","5,10 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Arteon Shooting Brake,2.0 TDI R-Line DSG,Diesel,Julho,2021,111 000 km,1 968 cm3,200 cv,Sim,Sim,Utilitário,Preto,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,44 950        EUR,8090817811,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-arteon-shooting-brake-2-0-tdi-r-line-dsg-ID8Pyfjt.html,,7,,,1,,,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,SEAT,Leon,2.0 TSI S&S DSG Cupra 290,Gasolina,Agosto,2019,63 398 km,1 984 cm3,290 cv,Sim,Sim,Utilitário,Azul,Automática,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,35 990        EUR,8090893454,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-2-0-tsi-s-s-dsg-cupra-290-ID8PyyZv.html,,7,,,1,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Volvo,XC 40,2.0 D3 Momentum,Diesel,Abril,2019,59 489 km,1 969 cm3,150 cv,,Sim,SUV / TT,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,31 990        EUR,8089437974,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-2-0-d3-momentum-ID8Pssm2.html,,,,,1,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Agosto,2018,78 242 km,1 461 cm3,109 cv,Sim,Sim,Utilitário,Branco,Automática,5,5,Classe 1,24 Meses,Nacional,,Sim,Usados,30 990        EUR,8088708791,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PpoF1.html,Classe A,7,,,,"4,50 l/100km",,,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Volvo,XC 40,2.0 D3 R-Design Geartronic,Diesel,Fevereiro,2020,180 000 km,1 969 cm3,150 cv,,,SUV / TT,Preto,Automática,5,5,,18 Meses,Importado,,Sim,Usados,31 950        EUR,8089510257,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-2-0-d3-r-design-geartronic-ID8PsL9T.html,,8,Tracção dianteira,131 g/km,1,"5,90 l/100km",,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Toyota,Prius+,1.8 Luxury,Híbrido (Gasolina),Setembro,2021,55 000 km,1 798 cm3,136 cv,Sim,Sim,Monovolume,Cinzento,Automática,5,7,Classe 1,36 Meses,Nacional,,Sim,Usados,31 000        EUR,8090888228,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-prius-1-8-luxury-ID8PyxDe.html,,,,,,,,,,,,Sim,,01/09/2031,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Cooper,SD Auto Desportiva,Diesel,Maio,2019,64 000 km,1 995 cm3,170 cv,Sim,Sim,Citadino,Verde,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,31 950        EUR,8089091392,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-sd-auto-desportiva-ID8Pr0c0.html,,8,Tracção dianteira,,1,"4,70 l/100km",,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,C 220,d,Diesel,Janeiro,2020,56 800 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Prateado,Automática,5,5,,24 Meses,Nacional,Sim,Sim,Usados,44 900        EUR,8087922911,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-ID8Pm6dx.html,Classe C,,,,,"5,50 l/100km",,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A4 Avant,30 TDI S line S tronic,Diesel,Novembro,2019,55 000 km,1 968 cm3,136 cv,,Sim,Carrinha,Cinzento,Automática,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,32 990        EUR,8090652534,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-30-tdi-s-line-s-tronic-ID8PxyjI.html,,7,Tracção dianteira,129 g/km,,5 l/100km,"3,60 l/100km",Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,C 220,CDi BE Aut.,Diesel,Fevereiro,2016,123 421 km,2 143 cm3,170 cv,Sim,Sim,Coupé,Branco,Automática,3,4,,18 Meses,Importado,Sim,Sim,Usados,36 500        EUR,8090834099,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-be-aut-ID8Pyjyb.html,Classe C,7,,,,,,,,,Sim,Sim,,,01/02/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Mercedes-Benz,C 220,d AMG Line,Diesel,Fevereiro,2019,70 000 km,1 950 cm3,194 cv,,,Coupé,Cinzento,Automática,3,,,,,,,Usados,41 500        EUR,8090798408,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8Pyagv.html,Classe C,,,,,"5,50 l/100km",,Mate,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Julho,2019,107 000 km,,351 cv,,Sim,Sedan,Cinzento,Automática,4,5,Classe 1,18 Meses,,Sim,Sim,Usados,36 950        EUR,8090567978,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-long-range-dual-motor-awd-ID8PxcjU.html,,,,,,,,,,,Sim,Sim,,,01/07/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,520,d Pack M Auto,Diesel,Novembro,2017,153 000 km,1 995 cm3,190 cv,,Sim,Carrinha,Branco,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,38 950        EUR,8090411196,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Pvxxa.html,Série 5,8,,,,,,,,244 €,Sim,Sim,,,01/11/2023,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,E 300,d T 9G-TRONIC Exclusive,Diesel,Julho,2018,176 500 km,1 950 cm3,245 cv,,Sim,Carrinha,Branco,Automática,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,38 900        EUR,8089184330,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-d-t-9g-tronic-exclusive-ID8Pron0.html,Classe E,9,Tracção traseira,,1,,,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,E 350,e Exclusive,Híbrido (Gasolina),Agosto,2017,93 300 km,1 991 cm3,279 cv,,,Sedan,Cinzento,Automática,4,5,Classe 1,36 Meses,,,,Usados,35 950        EUR,8090565161,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-350-e-exclusive-ID8PxbAt.html,Classe E,9,Tracção traseira,49 g/km,,,,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Peugeot,5008,1.2 PureTech GT Pack EAT8,Gasolina,Fevereiro,2021,28 500 km,1 199 cm3,130 cv,,,SUV / TT,Branco,Automática,5,7,Classe 1,,Nacional,,Sim,Usados,33 500        EUR,8090786806,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-2-puretech-gt-pack-eat8-ID8Py7fo.html,,8,Tracção dianteira,152 g/km,1,"6,10 l/100km","4,70 l/100km",Pérola,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,C 300,de AMG Line,Híbrido (Diesel),Janeiro,2020,120 500 km,1 950 cm3,306 cv,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,36 Meses,Importado,Sim,Sim,Usados,41 500        EUR,8090617552,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-de-amg-line-ID8Pxpdu.html,Classe C,9,Tracção traseira,,1,,,Metalizado,,,Sim,,,,15/01/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,X5,40e xDrive Pack M,Híbrido (Gasolina),Agosto,2015,168 000 km,1 997 cm3,313 cv,,Sim,SUV / TT,Azul,Automática,5,5,Classe 1,18 Meses,,,,Usados,32 900        EUR,8090890424,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x5-40e-xdrive-pack-m-ID8PyycE.html,Série X,8,Integral,78 g/km,,,,Metalizado,,215 €,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,X3,18 d sDrive Ed. L.Style Auto,Diesel,Agosto,2020,99 824 km,1 995 cm3,150 cv,,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,38 750        EUR,8089685825,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x3-18-d-sdrive-ed-l-style-auto-ID8PtuPD.html,Série X,8,Tracção traseira,,1,,,Metalizado,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,C 200,,Diesel,Dezembro,2019,51 785 km,1 597 cm3,160 cv,Sim,Sim,Carrinha,Cinzento,Automática,5,5,Classe 1,24 Meses,Nacional,Sim,Sim,Usados,39 900        EUR,8087923050,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-ID8Pm6fM.html,Classe C,9,Tracção traseira,,,"5,30 l/100km",,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,320,d Touring Line Sport Auto,Diesel,Maio,2020,120 000 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Azul,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,34 900        EUR,8090481477,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-line-sport-auto-ID8PvPOJ.html,Série 3,,,,,,,Metalizado,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Volvo,XC 40,1.5 T2 Momentum,Gasolina,Abril,2021,36 694 km,1 477 cm3,129 cv,,Sim,SUV / TT,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,31 490        EUR,8090076128,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t2-momentum-ID8Pw8mQ.html,,6,,,1,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,E 220,d 4-Matic All Terrain Avantgarde,Diesel,Outubro,2017,128 662 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,24 Meses,,,,Usados,39 990        EUR,8089695437,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-4-matic-all-terrain-avantgarde-ID8PtxkF.html,Classe E,,,,,,,,,,,Sim,,,01/10/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,520,d Pack M Auto,Diesel,Novembro,2017,108 990 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Preto,Automática,5,5,,24 Meses,,,,Usados,37 500        EUR,8089130603,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Praor.html,Série 5,,,,,,,,,,,Sim,,,01/11/2023,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Novembro,2018,81 318 km,1 461 cm3,116 cv,,Sim,Utilitário,Preto,Automática,5,5,,18 Meses,Nacional,Sim,Sim,Usados,33 990        EUR,8090817760,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PyfiE.html,Classe A,7,Tracção dianteira,123 g/km,1,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,E 220,d AMG designo,Diesel,Novembro,2016,101 000 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Cinzento,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,37 500        EUR,8089117241,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-designo-ID8Pr6UW.html,Classe E,,,120 g/km,,,,,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,BMW,430 Gran Coupé,d Pack M Auto,Diesel,Fevereiro,2016,118 200 km,2 993 cm3,258 cv,,,Sedan,Preto,Automática,5,5,Classe 1,,,Sim,Sim,Usados,35 000        EUR,8090818246,18 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-430-gran-coup-d-pack-m-auto-ID8Pyfqu.html,Série 4,8,Tracção traseira,174 g/km,,,,Metalizado,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Volvo,XC 90,2.0 D4 Momentum,Diesel,Setembro,2017,183 155 km,1 969 cm3,190 cv,Sim,Sim,SUV / TT,Preto,Automática,5,7,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,38 500        EUR,8090828371,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-90-2-0-d4-momentum-ID8Pyi3N.html,,8,Tracção dianteira,134 g/km,1,,,,,"271,56 €",Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Jaguar,XE,D180 Aut. R-Dynamic S,Diesel,Outubro,2020,98 500 km,1 999 cm3,180 cv,,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,33 990        EUR,8090652281,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xe-d180-aut-r-dynamic-s-ID8PxyfD.html,,8,Tracção traseira,130 g/km,,"6,20 l/100km","4,20 l/100km",Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Clubman,One D Sport Edition Auto,Diesel,Janeiro,2022,28 000 km,1 496 cm3,116 cv,Sim,,Carrinha,Preto,Automática,6,,,36 Meses,Nacional,,,Usados,35 900        EUR,8090101934,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-one-d-sport-edition-auto-ID8Pwf54.html,,,,,,,,,,,,,,21/10/2026,,,,,,,,,,"4,80 l/100km",StandVirtual,Yes,2023-10-21
Profissional,BMW,530,,Híbrido (Gasolina),Outubro,2017,95 000 km,1 998 cm3,252 cv,,Sim,Sedan,Preto,Automática,5,5,Classe 1,36 Meses,,Sim,Sim,Usados,30 750        EUR,8084365289,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-530-ID8P7aIx.html,Série 5,8,,,,,,Metalizado,,,Sim,Sim,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-10-21
