Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,IUC,Filtro de partículas,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Sub-modelo,Valor Fixo,Consumo Combinado,Autonomia,Bateria,IVA Discriminado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,ou até,Capacidade da bateria,Consumo,Valor sem ISV,Clássico,Site,Portugal
Profissional,Audi,A3,2.0 TDI Sport,Diesel,Maio,2014,119 000 km,1 968 cm3,150 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,3,5,Classe 1,Tracção dianteira,36 Meses,1,,Sim,Sim,Sim,Usados,16 900        EUR,8089787660,11 Julho 2023,111 g/km,,,,"5,20 l/100km","3,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Urban,Diesel,Novembro,2018,94 000 km,1 461 cm3,109 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,1,,Sim,Sim,Sim,Usados,29 900        EUR,8089788008,11 Julho 2023,,,,,"4,60 l/100km","3,70 l/100km",Classe CLA,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Opel,Crossland X,1.2 T Innovation Aut.,Gasolina,Março,2018,41 000 km,1 199 cm3,110 cv,,,SUV / TT,Preto,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,,,,,,Usados,16 900        EUR,8089594372,11 Julho 2023,158 g/km,"144,61 €",,,"6,50 l/100km",5 l/100km,,,,,,,,900 km,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Abril,2019,69 053 km,1 248 cm3,95 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Nacional,,,Sim,Usados,17 496        EUR,8089701739,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EDynamics Advantage,Diesel,Setembro,2017,122 831 km,1 496 cm3,116 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,,Sim,,Sim,Usados,18 496        EUR,8089830628,11 Julho 2023,,,,,,,Série 1,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 Blue dCi Zen,Diesel,Julho,2020,112 598 km,1 461 cm3,85 cv,Sim,Sim,Citadino,Branco,,Manual,6,5,5,,,18 Meses,1,,,,Sim,Usados,17 496        EUR,8089561175,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Setembro,2018,127 930 km,1 461 cm3,116 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,,,18 Meses,1,,,,Sim,Usados,28 996        EUR,8088223706,11 Julho 2023,,,,,,,Classe A,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.6 BlueHDi Style,Diesel,Outubro,2017,144 672 km,1 560 cm3,120 cv,Sim,Sim,Citadino,Branco,,Manual,6,5,5,,,18 Meses,,Importado,Sim,,Sim,Usados,15 996        EUR,8089404645,11 Julho 2023,,,Sim,,,,,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,XC 60,2.0 D3 Drive R-Design,Diesel,Julho,2010,238 989 km,1 984 cm3,163 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,Nacional,,,Sim,Usados,15 996        EUR,8088407127,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,CDi BE AMG Line Aut.,Diesel,Janeiro,2014,213 737 km,1 461 cm3,109 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,,,,,,Usados,18 996        EUR,8088223700,11 Julho 2023,,,,,,,Classe A,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,d AMG Line,Diesel,Maio,2015,200 500 km,1 598 cm3,136 cv,Sim,Sim,Sedan,Preto,Metalizado,Manual,6,5,5,,,18 Meses,1,Nacional,,,Sim,Usados,23 996        EUR,8088223687,11 Julho 2023,,,,,,,Classe C,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Duster,1.5 dCi SL Best Choice,Diesel,Janeiro,2015,111 192 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Preto,,Manual,6,5,5,Classe 1,,18 Meses,2,,,,Sim,Usados,15 496        EUR,8089234166,11 Julho 2023,,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Navara,,Diesel,Outubro,2010,206 500 km,2 488 cm3,190 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,4,5,,,18 Meses,,Nacional,,,Sim,Usados,19 996        EUR,8088223683,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Jaguar,XE,2.0 D Prestige Aut.,Diesel,Junho,2016,126 428 km,1 999 cm3,180 cv,Sim,Sim,Sedan,Branco,,Automática,,4,5,,,18 Meses,,,,,Sim,Usados,25 496        EUR,8088223715,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Abril,2019,79 069 km,1 248 cm3,95 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Nacional,,,Sim,Usados,17 496        EUR,8089550955,11 Julho 2023,,,,,,,,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 Blue dCi Zen,Diesel,Outubro,2019,72 044 km,1 461 cm3,85 cv,Sim,Sim,Utilitário,Branco,,Manual,,5,5,,,18 Meses,,,,,Sim,Usados,17 996        EUR,8088223718,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 Blue dCi Zen,Diesel,Outubro,2019,101 505 km,1 461 cm3,85 cv,Sim,Sim,Utilitário,Branco,,Manual,,5,5,,,18 Meses,,,,,Sim,Usados,17 496        EUR,8088334645,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A5 Sportback,2.0 TDI Business Line,Diesel,Janeiro,2013,125 000 km,1 968 cm3,177 cv,,Sim,Sedan,Branco,,Manual,6,5,5,Classe 1,,18 Meses,,,,Sim,Sim,Usados,21 990        EUR,8089250799,11 Julho 2023,,,,,"5,60 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,320,d Exclusive,Diesel,Maio,2010,170 000 km,1 995 cm3,184 cv,,,Cabrio,Preto,Metalizado,Manual,,2,,,,,,,,,,Usados,20 000        EUR,8089834271,11 Julho 2023,,,Sim,,"6,30 l/100km",,Série 3,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.5 BlueHDi Feel Business,Diesel,Novembro,2019,122 881 km,1 499 cm3,102 cv,Sim,Sim,Utilitário,Branco,,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,1,,Sim,Sim,Sim,Usados,16 850        EUR,8087790580,11 Julho 2023,,"154,12 €",Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,125,d Aut. Edition M Sport Shadow,Diesel,Setembro,2014,159 000 km,1 995 cm3,224 cv,,Sim,Utilitário,Preto,Metalizado,Automática,,5,,,,18 Meses,1,Importado,Sim,Sim,Sim,Usados,22 990        EUR,8089914569,11 Julho 2023,,,Sim,,"5,50 l/100km",,Série 1,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Line Sport,Diesel,Outubro,2014,128 672 km,1 995 cm3,143 cv,Sim,,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,,,,,Sim,Usados,21 990        EUR,8087404410,11 Julho 2023,,,,,,,Série 3,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A1 Sportback,1.4 TDI,Diesel,Junho,2018,54 769 km,1 422 cm3,90 cv,,,Citadino,Cinzento,,Manual,,5,,,,18 Meses,,Nacional,,,,Usados,22 490        EUR,8089764041,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Fevereiro,2018,65 978 km,1 199 cm3,83 cv,,,Citadino,Cinzento,,Manual,,5,,,,18 Meses,,Nacional,,,,Usados,16 990        EUR,8089764026,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Março,2018,44 361 km,1 199 cm3,82 cv,,,Citadino,Azul,,Manual,,5,,,,18 Meses,,Nacional,,,,Usados,15 490        EUR,8089764013,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,ENERGY dCi 110 Start & Stop Dynamique,Diesel,Setembro,2018,107 700 km,1 461 cm3,110 cv,,,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,,,Sim,Usados,16 500        EUR,8089390352,11 Julho 2023,,,Sim,,"4,20 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EDynamics Advantage,Diesel,Dezembro,2018,72 000 km,1 496 cm3,116 cv,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,20 980        EUR,8089237668,11 Julho 2023,,147 €,Sim,,"3,90 l/100km",,Série 1,Sim,,,,Sim,,950 km,,,,,,,StandVirtual,Yes
Profissional,Opel,Grandland X,1.5 CDTI Ultimate AT,Diesel,Junho,2019,70 818 km,1 499 cm3,130 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,,Tracção dianteira,18 Meses,,Nacional,,,Sim,Usados,26 990        EUR,8089632973,11 Julho 2023,157 g/km,,,,"4,70 l/100km","4,10 l/100km",,Sim,,,,,,,,,,,,,StandVirtual,Yes
