Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Origem,Aceita retoma,Possibilidade de financiamento,Registo(s),IUC,Consumo Combinado,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Autonomia,Capacidade da bateria,ou até,Bateria,Consumo,Gancho de Reboque,Site,Portugal,Data
Profissional,Nissan,Micra,1.5 DCi N-Connecta Lifestyle S/S,Diesel,Julho,2019,111 847 km,1 461 cm3,90 cv,Utilitário,Prateado,Metalizado,Manual,5,5,5,Classe 1,,85 g/km,Sim,,18 Meses,,Sim,,,,Usados,14 750        EUR,8090478937,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-n-connecta-lifestyle-s-s-ID8PvP9L.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Nissan,Pulsar,1.5 dCi Acenta J17,Diesel,Agosto,2016,74 093 km,1 461 cm3,110 cv,Sedan,Branco,Metalizado,Manual,6,5,5,Classe 1,,94 g/km,,,18 Meses,,Sim,,,,Usados,13 900        EUR,8090478912,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-5-dci-acenta-j17-ID8PvP9m.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Leon,1.6 TDI Style DSG,Diesel,Março,2011,207 265 km,1 598 cm3,105 cv,Utilitário,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,36 Meses,,,Sim,,,Usados,9 950        EUR,8090633882,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-dsg-ID8PxtsS.html,Sim,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Janeiro,2016,110 389 km,1 199 cm3,110 cv,Coupé,Vermelho,Metalizado,Manual,5,3,5,Classe 1,Tracção dianteira,99 g/km,,,18 Meses,Sim,Sim,Sim,,,Usados,14 190        EUR,8088576814,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PoQkm.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Nissan,Note,1.2 N-Tec,Gasolina,Maio,2015,104 241 km,1 198 cm3,80 cv,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,,109 g/km,,,18 Meses,Sim,Sim,Sim,,,Usados,12 690        EUR,8088576888,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-note-1-2-n-tec-ID8PoQly.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Ford,Fiesta,1.0 T EcoBoost Trend,Gasolina,Maio,2015,134 674 km,998 cm3,100 cv,Citadino,Azul,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,105 g/km,,,18 Meses,,,Sim,,,Usados,10 590        EUR,8089077587,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-t-ecoboost-trend-ID8PqVBl.html,,,Sim,Sim,,"108,32 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Ibiza ST,1.4 TDi Reference,Diesel,Abril,2016,116 729 km,1 422 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,,Sim,,18 Meses,Sim,Sim,Sim,,,Usados,11 490        EUR,8089960137,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-4-tdi-reference-ID8PuEc1.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Hyundai,i20,1.1 CRDi Urban,Diesel,Fevereiro,2013,97 768 km,1 120 cm3,75 cv,Citadino,Bege,,Manual,6,5,5,Classe 1,,,Sim,28/02/2024,18 Meses,,Sim,Sim,,,Usados,9 190        EUR,8089077103,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-1-crdi-urban-ID8PqVtx.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,VW,Polo,1.4 TDI (Blue Motion ) Comfortline,Diesel,Janeiro,2016,162 500 km,1 422 cm3,90 cv,Citadino,Branco,,Manual,,5,,,,,,,,,,,,,Usados,11 950        EUR,8090633854,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-blue-motion-comfortline-ID8Pxtsq.html,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,VW,Passat Variant,1.6 TDI Confortline BlueMotion,Diesel,Julho,2012,176 085 km,1 598 cm3,105 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,,,,,Usados,11 750        EUR,8090633859,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-confortline-bluemotion-ID8Pxtsw.html,Sim,,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
