Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Emissões CO2,Sub-modelo,Tipo de cor,Filtro de partículas,Consumo Urbano,Registo(s),2º Chave,Consumo Extra Urbano,Consumo Combinado,IUC,Gancho de Reboque,Inspecção válida até,Autonomia Máxima,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Valor sem ISV,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,SEAT,Ibiza,1.4 TDi Ecomotive DPF,Diesel,Julho,2010,244 266 km,1 422 cm3,80 cv,,,Sim,Utilitário,Branco,Manual,5,3,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,7 450        EUR,8090029268,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-4-tdi-ecomotive-dpf-ID8PuVb2.html,Sim,99 g/km,,,,"5,70 l/100km",,Sim,"4,10 l/100km",,,,15/07/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Panda,1.2 Lounge GPL,GPL,Novembro,2012,180 195 km,1 242 cm3,69 cv,,,Sim,Utilitário,Cinzento,Manual,5,5,4,,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,7 350        EUR,8089604607,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-gpl-ID8Pt9HF.html,Sim,119 g/km,,,,"6,40 l/100km",,Sim,"4,30 l/100km",,,,29/11/2023,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Toyota,Yaris,1.4 D-4D ACtive+AC,Diesel,Maio,2013,99 950 km,1 364 cm3,90 cv,,,Sim,Citadino,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,11 900        EUR,8090353806,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-active-ac-ID8PviBv.html,,103 g/km,,Metalizado,,,2,Sim,,,,,05/07/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,C 220,CDI Elegance,Diesel,Dezembro,2010,190 000 km,2 148 cm3,170 cv,,,,Sedan,Cinzento,Manual,,4,5,,,18 Meses,,,,Usados,14 999        EUR,8086201331,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-elegance-ID8PeSm7.html,Sim,,Classe C,Metalizado,,"8,20 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Maio,2019,89 000 km,1 248 cm3,95 cv,,,Sim,Carrinha,Cinzento,Manual,,5,5,,,18 Meses,Nacional,Sim,Sim,Usados,14 900        EUR,8088496449,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8Powq9.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,60 000 km,1 242 cm3,69 cv,,,Sim,Utilitário,Preto,Manual,5,3,4,,,18 Meses,Nacional,Sim,Sim,Usados,12 490        EUR,8088336917,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PnPW3.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Hyundai,i20,,Diesel,Junho,2018,60 000 km,1 120 cm3,75 cv,,,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Usados,14 900        EUR,8087511306,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-ID8Pkn8K.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500X,1.3 MJ Pop Star J18 S&S,Diesel,Abril,2015,160 000 km,1 248 cm3,95 cv,Sim,,Sim,SUV / TT,Preto,Manual,6,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Usados,13 999        EUR,8090609351,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-pop-star-j18-s-s-ID8Pxn5d.html,Sim,,,Metalizado,Sim,,2,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,208,,Gasolina,Abril,2014,107 000 km,1 199 cm3,82 cv,Sim,,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,,18 Meses,Importado,Sim,,Usados,10 997        EUR,8090609346,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8Pxn58.html,Sim,104 g/km,,Metalizado,,,,Sim,,,"108,32 €",,01/04/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Renault,Kangoo,1.5 dCi Maxi Business S/S,Diesel,Janeiro,2019,212 000 km,1 461 cm3,95 cv,,,,Carrinha,Branco,Manual,6,5,3,,Tracção dianteira,,,,,Usados,11 750        EUR,8090586316,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-1-5-dci-maxi-business-s-s-ID8Pxh5G.html,,156 g/km,,,,"4,70 l/100km",,,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Volvo,V60,2.0 D4 Momentum Start/Stop,Diesel,Janeiro,2013,263 947 km,1 984 cm3,163 cv,,,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,,18 Meses,Nacional,,Sim,Usados,12 450        EUR,8087933152,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-d4-momentum-start-stop-ID8Pm8SI.html,Sim,,,,,"5,20 l/100km",,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Skoda,Rapid,1.6 TDI Active,Diesel,Dezembro,2015,202 500 km,1 598 cm3,115 cv,,,,Citadino,Branco,Manual,5,5,5,,,18 Meses,Nacional,,Sim,Usados,12 900        EUR,8090670272,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-rapid-1-6-tdi-active-ID8PxCWO.html,,,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,S-Max,,Diesel,Junho,2011,217 000 km,1 560 cm3,115 cv,,,Sim,Carrinha,Preto,Manual,,5,,,,36 Meses,,,,Usados,12 950        EUR,8090422312,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-s-max-ID8PvAqs.html,Sim,,,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Audi,A4 Avant,2.0 TDI Sport Multitronic,Diesel,Outubro,2011,185 280 km,1 968 cm3,143 cv,Sim,,Sim,Carrinha,Cinzento,Automática,,5,5,Classe 1,,18 Meses,Nacional,,,Usados,14 970        EUR,8090609343,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-sport-multitronic-ID8Pxn55.html,Sim,,,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Fevereiro,2015,58 893 km,1 199 cm3,82 cv,Sim,,Sim,SUV / TT,Cinzento,Manual,5,5,5,Classe 1,,18 Meses,Importado,Sim,,Usados,13 490        EUR,8090446371,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8PvGGw.html,Sim,114 g/km,,Metalizado,,6 l/100km,,Sim,"4,30 l/100km","4,90 l/100km",,,20/02/2024,1 020 km,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,SEAT,Ibiza,SC 1.4 TSI Cupra DSG,Gasolina,Março,2010,120 000 km,1 390 cm3,180 cv,,,Sim,Citadino,Preto,Automática,7,3,,Classe 1,Tracção dianteira,18 Meses,,,,Usados,13 990        EUR,8090458797,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-4-tsi-cupra-dsg-ID8PvJUW.html,Sim,139 g/km,,,,"7,50 l/100km",,Sim,"5,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,69 094 km,1 242 cm3,69 cv,,,,Sedan,Branco,Manual,,3,,,,36 Meses,Nacional,,,Usados,12 940        EUR,8090466318,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvLSe.html,,,,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic Sport,Diesel,Junho,2018,129 700 km,1 598 cm3,110 cv,,,Sim,Carrinha,Preto,Manual,6,5,5,,,18 Meses,Nacional,,,Usados,14 100        EUR,8090618975,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-sport-ID8PxpAr.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
