Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Emissões CO2,Sub-modelo,Tipo de cor,Filtro de partículas,Consumo Urbano,Registo(s),2º Chave,Consumo Extra Urbano,Consumo Combinado,IUC,Gancho de Reboque,Inspecção válida até,Autonomia Máxima,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Valor sem ISV,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,Mercedes-Benz,C 220,CDi Avantgarde,Diesel,Novembro,2011,309 000 km,2 148 cm3,170 cv,,,Sim,Carrinha,Branco,Manual,,5,,,,36 Meses,,,,Usados,16 950        EUR,8090422225,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-ID8PvAp3.html,Sim,,Classe C,Pérola,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Março,2018,129 000 km,1 560 cm3,100 cv,,,Sim,Carrinha,Preto,Manual,5,5,5,,,18 Meses,Nacional,,,Usados,16 900        EUR,8090410641,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pvxod.html,Sim,,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Captur,1.0 TCe Intens,Gasolina,Junho,2021,41 213 km,999 cm3,90 cv,,,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,36 Meses,Nacional,Sim,Sim,Usados,22 090        EUR,8089139886,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-intens-ID8PrcOa.html,Sim,,,,,"6,30 l/100km",,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Hyundai,i30 CW,,Diesel,Agosto,2021,147 000 km,1 598 cm3,116 cv,,,Sim,Carrinha,Cinzento,Manual,,5,5,,,18 Meses,Nacional,,,Usados,24 500        EUR,8089830453,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-cw-ID8Pu6sl.html,Sim,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,508,1.5 BlueHDi Allure Pack EAT8,Diesel,Fevereiro,2020,185 563 km,1 499 cm3,131 cv,Sim,Sim,Sim,Utilitário,Cinzento,Automática,,5,5,,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,21 990        EUR,8089560481,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-1-5-bluehdi-allure-pack-eat8-ID8PsYdX.html,,130 g/km,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,i3,,Eléctrico,Abril,2019,49 000 km,,170 cv,Sim,Sim,Sim,Citadino,Branco,Automática,,5,4,Classe 1,,24 Meses,,,Sim,Usados,29 900        EUR,8087868603,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8PlS5B.html,Sim,,Série i,,,,,Sim,,,,,,,,Própria,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Focus SW,1.5 TDCi EcoBlue Business,Diesel,Agosto,2020,66 518 km,1 499 cm3,120 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,Usados,18 580        EUR,8090629535,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-ecoblue-business-ID8PxskL.html,Sim,121 g/km,,Metalizado,,"4,10 l/100km",,Sim,"3,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.0 TCe Evolution,Gasolina,Dezembro,2021,7 000 km,999 cm3,91 cv,,,,Citadino,Branco,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,,Usados,16 980        EUR,8090602542,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-evolution-ID8Pxljo.html,,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,208,PureTech 100 EAT8 Active,Gasolina,Fevereiro,2021,43 475 km,1 199 cm3,101 cv,,,Sim,Citadino,Preto,Automática,8,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,,Usados,20 480        EUR,8090628709,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-100-eat8-active-ID8Pxs7r.html,Sim,99 g/km,,Metalizado,Sim,"5,10 l/100km",,Sim,"3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,i3,,Eléctrico,Outubro,2019,28 300 km,,170 cv,Sim,Sim,Sim,Citadino,Branco,Automática,,5,4,Classe 1,,24 Meses,,,Sim,Usados,29 900        EUR,8088711832,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8Ppps4.html,Sim,,Série i,,,,,Sim,,,,,,,,Própria,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,i3,i3s 94Ah +Comfort Package Advance,Eléctrico,Outubro,2018,46 000 km,,183 cv,Sim,Sim,Sim,Utilitário,Preto,Automática,1,5,4,Classe 1,Tracção traseira,36 Meses,,,Sim,Usados,29 900        EUR,8087912874,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-i3s-94ah-comfort-package-advance-ID8Pm3BE.html,Sim,,Série i,,,,,Sim,,,,,,,235 km,Própria,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,MINI,Cabrio,Cooper D,Diesel,Junho,2019,73 000 km,1 496 cm3,116 cv,Sim,,Sim,Cabrio,Branco,Manual,,2,4,Classe 1,Tracção dianteira,24 Meses,,,Sim,Usados,28 500        EUR,8088125905,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-d-ID8PmX1D.html,Sim,,,Metalizado,,"4,80 l/100km",,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,i3,,Eléctrico,Junho,2019,70 600 km,,170 cv,Sim,Sim,Sim,Citadino,Cinzento,Automática,,5,4,Classe 1,,24 Meses,,,Sim,Usados,29 500        EUR,8087704094,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8Plbie.html,Sim,,Série i,Metalizado,,,,Sim,,,,,,,,Própria,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Março,2017,81 393 km,1 199 cm3,82 cv,,,Sim,SUV / TT,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,16 950        EUR,8087850034,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8PlNg6.html,Sim,,,Metalizado,,6 l/100km,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Dacia,Sandero,1.0 TCe Stepway Expression,Gasolina,Junho,2022,11 500 km,999 cm3,91 cv,,,Sim,Citadino,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,Nacional,,Sim,Usados,18 940        EUR,8090065582,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-tce-stepway-expression-ID8Pw5CK.html,Sim,127 g/km,,,,"5,10 l/100km",1,Sim,"4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,A 180,d Fleet Pack Style Aut.,Diesel,Março,2018,150 000 km,1 461 cm3,109 cv,,,Sim,Utilitário,Azul,Automática,7,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,Usados,21 950        EUR,8090675204,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-fleet-pack-style-aut-ID8PxEdm.html,Sim,101 g/km,Classe A,Metalizado,Sim,"4,50 l/100km",,Sim,"3,60 l/100km",,,,07/03/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Intens,Diesel,Março,2021,40 702 km,1 461 cm3,115 cv,Sim,,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,24 540        EUR,8090096006,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-intens-ID8Pwdxs.html,Sim,123 g/km,,,,"4,60 l/100km",1,,"3,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,2008,1.6 BlueHDi Allure,Diesel,Novembro,2017,104 150 km,1 560 cm3,75 cv,Sim,,Sim,SUV / TT,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,15 850        EUR,8090609401,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-allure-ID8Pxn61.html,Sim,,,,,,,Sim,,,,,10/11/2023,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,216 Active Tourer,d Line Sport,Diesel,Julho,2017,94 000 km,1 496 cm3,116 cv,,,,Monovolume,Dourado,Manual,6,5,5,,Tracção dianteira,36 Meses,,,,Usados,19 950        EUR,8090454343,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-line-sport-ID8PvIL5.html,,134 g/km,Série 2,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Nissan,Leaf,N-Connecta,Eléctrico,Março,2019,72 463 km,,150 cv,,,Sim,Cabrio,Branco,Automática,8,5,5,,,18 Meses,Nacional,,,Usados,21 800        EUR,8089429032,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-leaf-n-connecta-ID8Psq1O.html,Sim,,,,,,,,,,,,,,,Aluguer,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Nissan,Micra,1.5 DCi Tekna S/S,Diesel,Junho,2019,89 000 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Branco,Manual,,5,5,,,18 Meses,,Sim,Sim,Usados,18 000        EUR,8087019071,21 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-tekna-s-s-ID8Pij5t.html,Sim,,,Metalizado,,,,Sim,,,,,01/06/2025,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Nissan,Micra,1.0 DIG-T N-Connecta,Gasolina,Julho,2020,84 661 km,999 cm3,117 cv,Sim,,Sim,Citadino,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,24 Meses,Nacional,,Sim,Usados,16 500        EUR,8089919362,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-dig-t-n-connecta-ID8PutAm.html,Sim,,,Metalizado,,,1,Sim,,,108 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,A 180,d Progressive Aut.,Diesel,Julho,2018,30 600 km,1 461 cm3,116 cv,Sim,,Sim,Utilitário,Cinzento,Automática,5,5,5,,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,26 850        EUR,8090619408,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-progressive-aut-ID8PxpHq.html,Sim,122 g/km,Classe A,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Renault,Mégane Sport Tourer,1.5 Blue dCi Zen EDC,Diesel,Janeiro,2020,98 000 km,1 461 cm3,115 cv,,,,Carrinha,Azul,Automática,7,5,,,Tracção dianteira,,,,Sim,Usados,18 490        EUR,8090586434,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-zen-edc-ID8Pxh7A.html,,123 g/km,,,,"3,90 l/100km",,,3 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,Amarok,2.0 TDi CD Extra AC CM 4Motion,Diesel,Junho,2014,142 105 km,1 968 cm3,140 cv,,,Sim,SUV / TT,Branco,Manual,,4,5,,Integral,18 Meses,Nacional,,,Usados,26 490        EUR,8087921564,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-amarok-2-0-tdi-cd-extra-ac-cm-4motion-ID8Pm5RO.html,Sim,,,,,"9,30 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Junho,2016,94 100 km,1 499 cm3,120 cv,,,Sim,Carrinha,Azul,Manual,6,5,5,,,18 Meses,Nacional,Sim,,Usados,15 990        EUR,8089242764,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PrDzu.html,Sim,99 g/km,,Metalizado,,"4,30 l/100km",1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Kia,Stonic,1.2 Dynamic,Gasolina,Junho,2022,16 100 km,1 197 cm3,84 cv,,,Sim,Utilitário,Azul,Manual,5,5,5,,Tracção dianteira,36 Meses,Nacional,Sim,Sim,Usados,19 500        EUR,8089870973,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-stonic-1-2-dynamic-ID8PugZT.html,Sim,130 g/km,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,3008,1.5 BlueHDi Style,Diesel,Fevereiro,2019,74 000 km,1 499 cm3,130 cv,,,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,22 900        EUR,8090643351,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-style-ID8PxwWB.html,Sim,108 g/km,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Nissan,Leaf,N-Connecta,Eléctrico,Maio,2018,57 100 km,,150 cv,,,Sim,Utilitário,Preto,Automática,,5,5,,Tracção dianteira,18 Meses,Nacional,,,Usados,21 250        EUR,8089718103,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-leaf-n-connecta-ID8PtDef.html,Sim,,,Metalizado,,,1,Sim,,,,,,,270 km,Própria,,40 kWh,,,"20,60 kWh/100km",,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.5 Blue dCi Intens,Diesel,Janeiro,2021,89 429 km,1 461 cm3,85 cv,Sim,,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,17 950        EUR,8089617920,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-intens-ID8Ptdao.html,Sim,109 g/km,,Metalizado,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Opel,Crossland X,1.2 Edition,Gasolina,Dezembro,2021,14 100 km,1 199 cm3,83 cv,,,Sim,SUV / TT,Preto,Manual,5,5,5,,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,18 900        EUR,8089817185,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-x-1-2-edition-ID8Pu30l.html,Sim,117 g/km,,Metalizado,,"6,20 l/100km",,Sim,"4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,116,d,Diesel,Abril,2015,175 313 km,1 496 cm3,116 cv,,,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,16 850        EUR,8090028921,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-ID8PuV5r.html,Sim,134 g/km,Série 1,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Jaguar,XE,2.0 D R-Sport Aut.,Diesel,Agosto,2016,169 300 km,1 999 cm3,180 cv,,,Sim,Sedan,Preto,Automática,8,4,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,Usados,22 950        EUR,8088470973,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-r-sport-aut-ID8PooNf.html,Sim,,,Metalizado,Sim,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,RCZ,1.6 200 THP GT-Line,Gasolina,Janeiro,2014,129 850 km,1 598 cm3,200 cv,,,Sim,Coupé,Branco,Manual,,2,,,,18 Meses,,Sim,Sim,Usados,16 990        EUR,8090609397,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-rcz-1-6-200-thp-gt-line-ID8Pxn5X.html,Sim,,,Pérola,,"8,80 l/100km",,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Hyundai,Ioniq,1.6 GDI PHEV Tech,Híbrido (Gasolina),Outubro,2018,85 000 km,1 580 cm3,141 cv,,Sim,Sim,Utilitário,Cinzento,Automática,6,5,5,Classe 1,Tracção traseira,18 Meses,Nacional,Sim,Sim,Usados,22 950        EUR,8089810363,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-ioniq-1-6-gdi-phev-tech-ID8Pu1ej.html,Sim,26 g/km,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Dezembro,2020,50 000 km,1 248 cm3,95 cv,Sim,,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Usados,17 900        EUR,8090293409,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8Pv2Tn.html,Sim,,,Metalizado,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Trafic,1.6 dCi L1H1 1.2T SS,Diesel,Julho,2018,108 000 km,1 598 cm3,125 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,9,Classe 2,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,29 900        EUR,8090626479,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-trafic-1-6-dci-l1h1-1-2t-ss-ID8Pxrxt.html,Sim,145 g/km,,,,"6,40 l/100km",1,Sim,"5,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Renault,Captur,1.5 dCi,Diesel,Abril,2018,50 677 km,1 461 cm3,110 cv,,,,SUV / TT,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,,Nacional,,Sim,Usados,20 400        EUR,8090646611,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-ID8PxvMb.html,,98 g/km,,Metalizado,,4 l/100km,1,Sim,"3,60 l/100km",,,,,,,,,,,Sim,,,StandVirtual,Yes,2023-09-22
Profissional,SEAT,Arona,1.0 TSI Style DSG,Gasolina,Julho,2021,41 051 km,999 cm3,110 cv,,,Sim,SUV / TT,Preto,Automática,7,5,5,,Tracção dianteira,36 Meses,,,,Usados,20 980        EUR,8090619426,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-dsg-ID8PxpHI.html,Sim,134 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Audi,A3 Sportback,30 TDI,Diesel,Outubro,2019,67 920 km,1 598 cm3,116 cv,,,Sim,Citadino,Cinzento,Manual,,5,,,,18 Meses,Nacional,Sim,,Usados,24 250        EUR,8088887314,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tdi-ID8Pq96q.html,Sim,,,Metalizado,,5 l/100km,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Abril,2018,110 000 km,1 461 cm3,110 cv,,,Sim,Carrinha,Preto,Manual,,5,5,,,18 Meses,Nacional,Sim,Sim,Usados,16 900        EUR,8089748319,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PtL5B.html,Sim,95 g/km,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,3008,1.5 BlueHDi Allure EAT8,Diesel,Julho,2018,85 500 km,1 499 cm3,130 cv,Sim,,,SUV / TT,Azul,Automática,8,5,5,Classe 1,,18 Meses,Importado,,,Usados,24 690        EUR,8090619325,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-eat8-ID8PxpG5.html,Sim,,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,T-Roc,1.0 TSI Style,Gasolina,Julho,2021,32 409 km,999 cm3,110 cv,,,,SUV / TT,Preto,Manual,6,5,5,,Tracção dianteira,36 Meses,,,,Usados,23 980        EUR,8090626234,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-t-roc-1-0-tsi-style-ID8Pxrtv.html,,135 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,C 180,d AMG Line,Diesel,Novembro,2014,190 000 km,1 598 cm3,116 cv,Sim,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,17 650        EUR,8090675181,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-180-d-amg-line-ID8PxEcZ.html,Sim,,Classe C,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.0 TCe Limited,Gasolina,Setembro,2021,31 557 km,999 cm3,90 cv,Sim,,Sim,Citadino,Azul,Manual,6,5,5,,Tracção dianteira,18 Meses,Nacional,,,Usados,17 290        EUR,8090675177,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-ID8PxEcW.html,Sim,117 g/km,,Metalizado,,"6,20 l/100km",,,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Grand Scénic,1.5 dCi Intens EDC SS,Diesel,Janeiro,2018,137 000 km,1 461 cm3,110 cv,,,Sim,Monovolume,Preto,Automática,,5,7,,,18 Meses,Nacional,,,Usados,20 900        EUR,8090675166,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-intens-edc-ss-ID8PxEcK.html,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Mondeo SW,1.5 TDCi Business Plus ECOnetic,Diesel,Janeiro,2018,120 000 km,1 499 cm3,120 cv,Sim,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,18 650        EUR,8090675163,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-mondeo-sw-1-5-tdci-business-plus-econetic-ID8PxEcH.html,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Kia,ProCeed,,Gasolina,Abril,2022,20 500 km,998 cm3,120 cv,,,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,27 900        EUR,8089832260,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-proceed-ID8Pu6Wu.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,116,d Advantage,Diesel,Dezembro,2018,50 500 km,1 496 cm3,116 cv,,,,Utilitário,Preto,Manual,6,5,5,,Tracção traseira,18 Meses,Nacional,Sim,,Usados,21 490        EUR,8090411829,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-advantage-ID8PvxHn.html,,89 g/km,Série 1,Metalizado,Sim,"3,90 l/100km",,Sim,"3,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,E 250,CDi Avantgarde BE Auto.,Diesel,Junho,2014,190 800 km,2 143 cm3,204 cv,,,,Carrinha,Preto,Automática,,5,7,,Tracção traseira,18 Meses,Nacional,,,Usados,24 900        EUR,8090576755,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-250-cdi-avantgarde-be-auto-ID8PxeBt.html,,,Classe E,,,,,,,,,,06/06/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,A 180,d Style Aut.,Diesel,Abril,2015,49 080 km,1 461 cm3,109 cv,,,,Utilitário,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,Sim,Sim,Usados,20 990        EUR,8089849463,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-style-aut-ID8PuboX.html,,98 g/km,Classe A,Metalizado,Sim,"4,50 l/100km",,Sim,"3,60 l/100km",,,,18/04/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Janeiro,2019,110 000 km,1 461 cm3,116 cv,,,Sim,Utilitário,Cinzento,Automática,7,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,29 900        EUR,8090225829,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PwLjn.html,Sim,,Classe A,Metalizado,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Citroën,C3 Aircross,1.2 PureTech Feel Pack,Gasolina,Dezembro,2020,27 350 km,1 199 cm3,110 cv,Sim,,,Utilitário,Azul,Manual,,5,5,,,36 Meses,Nacional,,,Usados,16 990        EUR,8089918282,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-feel-pack-ID8PutiV.html,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Tesla,Model 3,ev,Eléctrico,Julho,2019,172 000 km,,306 cv,,,,Sedan,Preto,Automática,,4,5,Classe 1,Tracção traseira,,Nacional,,Sim,Usados,24 500        EUR,8090670317,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-ev-ID8PxCVx.html,,,,,,,1,Sim,,,,,07/07/2025,340 km,340 km,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Focus,1.0 SCTi Titanium,Gasolina,Agosto,2016,82 350 km,998 cm3,125 cv,,,,Utilitário,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,15 900        EUR,8090640283,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-scti-titanium-ID8Pxw87.html,,,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
