Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Origem,Registo(s),Tracção,Emissões CO2,IUC,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Filtro de partículas,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Valor sem ISV,ou até,Consumo,Clássico,Site,Portugal
Profissional,Opel,Corsa,Gasolina,Março,2010,120 000 km,1 229 cm3,80 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,7 480        EUR,8089839915,12 Julho 2023,1.2 Enjoy,Nacional,2,Tracção dianteira,139 g/km,,,"7,70 l/100km","4,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Gasolina,Março,2014,114 000 km,1 197 cm3,115 cv,,Sim,Sim,Utilitário,Cinzento,,Manual,6,5,5,,,24 Meses,Sim,Sim,Sim,Usados,11 900        EUR,8089389964,10 Julho 2023,1.2 TCE Dynamique SS,,1,Tracção dianteira,,,,"6,40 l/100km",,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4,Gasolina,Junho,2012,56 400 km,1 397 cm3,95 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,,5,5,,,18 Meses,,,,Usados,10 800        EUR,8089440329,6 Julho 2023,1.4 VTi Attraction,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Opel,Corsa,Diesel,Julho,2014,227 000 km,1 248 cm3,95 cv,,,,Citadino,Branco,,Manual,,3,,,,,Sim,Sim,Sim,Usados,5 000        EUR,8087776363,9 Julho 2023,1.3 CDTi All White,Nacional,,,,,,"5,40 l/100km",,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,Gasolina,Fevereiro,2017,56 384 km,999 cm3,71 cv,,Sim,Sim,Utilitário,Azul,Metalizado,Manual,5,5,4,,,18 Meses,,,Sim,Usados,12 900        EUR,8089988999,12 Julho 2023,1.0 Passion 71,,,Tracção traseira,97 g/km,,,"4,80 l/100km","3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,Diesel,Fevereiro,2018,139 884 km,1 461 cm3,90 cv,,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,,Sim,Usados,13 950        EUR,8089284445,12 Julho 2023,1.5 dCi GT Line,Nacional,1,Tracção dianteira,,,27/02/2024,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Diesel,Março,2015,139 000 km,1 461 cm3,90 cv,Sim,Sim,Sim,SUV / TT,Vermelho,Metalizado,Automática,6,5,5,,,18 Meses,,Sim,Sim,Usados,14 900        EUR,8089916736,12 Julho 2023,1.5 dCi Helly Hansen EDC,,,Tracção dianteira,107 g/km,,,"4,60 l/100km","3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,Diesel,Junho,2015,155 000 km,1 598 cm3,90 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,,,18 Meses,,Sim,Sim,Usados,11 900        EUR,8088411542,12 Julho 2023,1.6 TDi I-Tech,,,Tracção dianteira,,,,"5,10 l/100km",,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,Diesel,Fevereiro,2016,150 000 km,1 560 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,14 780        EUR,8089102826,12 Julho 2023,1.6 BlueHDi Allure,Nacional,1,Tracção dianteira,96 g/km,,,"4,30 l/100km",,,Sim,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,2008,Gasolina,Maio,2013,120 000 km,1 199 cm3,82 cv,,,,SUV / TT,Preto,,Manual,5,5,5,Classe 1,,,,,Sim,Usados,8 900        EUR,8090025658,12 Julho 2023,1.2 VTi Active,,,Tracção dianteira,114 g/km,,,6 l/100km,"4,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Diesel,Fevereiro,2016,140 000 km,1 422 cm3,75 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,13 680        EUR,8088835126,12 Julho 2023,1.4 TDi Confortline,Nacional,1,Tracção dianteira,,,,4 l/100km,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Março,2013,84 000 km,1 229 cm3,85 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,,,Sim,Usados,9 500        EUR,8090032002,12 Julho 2023,1.2 Enjoy Easytronic,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Mondeo SW,Diesel,Junho,2012,150 000 km,1 997 cm3,140 cv,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,11 000        EUR,8090032001,12 Julho 2023,2.0 TDCi Titanium Business,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Fiat,500C,Gasolina,Fevereiro,2018,45 800 km,1 242 cm3,69 cv,,,,Pequeno citadino,Azul,Metalizado,Manual,5,2,4,Classe 1,,,,Sim,Sim,Usados,14 999        EUR,8090031996,12 Julho 2023,1.2 Lounge S&S,,,,,,,"6,20 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Twingo,Gasolina,Outubro,2014,160 000 km,1 149 cm3,75 cv,,Sim,Sim,Citadino,Azul,Metalizado,Manual,5,3,4,Classe 1,,36 Meses,,,,Usados,9 999        EUR,8090031994,12 Julho 2023,1.2 LEV 16V 75 Paris,,,Tracção dianteira,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,Gasolina,Junho,2011,91 000 km,999 cm3,71 cv,Sim,Sim,Sim,Pequeno citadino,Preto,,Automática,5,3,2,Classe 1,,18 Meses,,Sim,Sim,Usados,7 450        EUR,8089963219,12 Julho 2023,1.0 mhd Passion 71,Nacional,1,Tracção traseira,97 g/km,,,"4,50 l/100km","3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,Diesel,Julho,2015,176 000 km,1 598 cm3,130 cv,Sim,Sim,Sim,Monovolume,Preto,,Manual,6,5,7,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,13 950        EUR,8089963217,12 Julho 2023,1.6 dCi Bose Edition SS,Nacional,1,Tracção dianteira,119 g/km,,,"5,30 l/100km","4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
