Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Tracção,Autonomia Máxima,Emissões CO2,Origem,Garantia de Fábrica até,Inspecção válida até,Número de Mudanças,Tipo de cor,Consumo Urbano,Filtro de partículas,IVA Discriminado,Consumo Combinado,ou até,IUC,Consumo Extra Urbano,Autonomia
Profissional,Mercedes-Benz,E 300,Classe E,De AMG Line,Híbrido (Diesel),Janeiro,2020,85 000 km,1 950 cm3,306 cv,Sim,Sim,,,Sedan,Cinzento,Automática,4,5,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,45 900        EUR,8088870452,1 Junho 2023,,,,,,,,Metalizado,,Sim,,,,,,
Profissional,Toyota,Yaris Verso,,,Híbrido (Gasolina),Maio,2015,90 000 km,1 497 cm3,101 cv,Sim,,,Sim,Citadino,Branco,Automática,5,5,Classe 1,18 Meses,,,Sim,,Usados,14 499        EUR,8089151147,1 Junho 2023,,,,,,,,Metalizado,,,,,,,,
Profissional,Porsche,Cayenne,,E-Hybrid,Híbrido (Gasolina),Maio,2021,101 550 km,2 995 cm3,462 cv,Sim,,,Sim,SUV / TT,Branco,Automática,5,5,,18 Meses,1,Sim,Sim,Sim,Usados,108 000        EUR,8088678961,1 Junho 2023,,,,,,,,,,,,,,"559,90 €",,
Profissional,BMW,330,Série 3,e Auto,Híbrido (Gasolina),Outubro,2020,39 300 km,1 998 cm3,292 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,38 400        EUR,8089407868,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250,Classe A,e AMG Line,Híbrido (Gasolina),Julho,2022,3 124 km,1 332 cm3,218 cv,Sim,,Sim,Sim,Utilitário,Azul,Automática,5,5,,24 Meses,,,,,Usados,46 990        EUR,8089372498,1 Junho 2023,,,,,,,8,Metalizado,,,,,,,,
Profissional,Renault,Arkana,,1.6 E-Tech Techno,Híbrido (Gasolina),Junho,2021,32 000 km,1 598 cm3,145 cv,,,Sim,Sim,SUV / TT,Laranja,Automática,5,5,Classe 1,36 Meses,1,Sim,Sim,Sim,Usados,34 950        EUR,8089151032,1 Junho 2023,Tracção dianteira,,,Nacional,,,,,"4,60 l/100km",,,,,,,
Profissional,Citroën,DS5,,2.0 HDi Hybrid4 So Chic CMP6,Híbrido (Diesel),Outubro,2013,191 000 km,1 997 cm3,200 cv,,,,,Utilitário,Preto,Automática,5,5,,18 Meses,,,Sim,Sim,Usados,13 980        EUR,8089681209,1 Junho 2023,,,,Nacional,,,,,,Sim,,,,,,
Particular,Mercedes-Benz,B 250,Classe B,,Híbrido (Gasolina),Outubro,2020,44 632 km,1 332 cm3,218 cv,,,,,Monovolume,Branco,Automática,4,5,,,,,,Sim,Usados,35 500        EUR,8089440582,1 Junho 2023,,,,Importado,20/03/2025,,8,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive+P.Luxury,Híbrido (Gasolina),Fevereiro,2020,38 061 km,1 798 cm3,122 cv,,,,,Utilitário,Cinzento,Automática,5,5,,36 Meses,,,,,Usados,28 490        EUR,8089232615,1 Junho 2023,,,,,,,,,"3,20 l/100km",,,,,,,
Profissional,Mazda,2,,1.5 L Hybrid VVT-i Agile,Híbrido (Gasolina),Abril,2023,1 000 km,1 490 cm3,116 cv,,,Sim,Sim,Citadino,Cinzento,Automática,5,5,Classe 1,72 Meses,,Sim,Sim,Sim,Usados,24 900        EUR,8089427467,1 Junho 2023,Tracção dianteira,,87 g/km,,26/04/2029,,,Metalizado,,,Sim,,150 000 km,,,
