Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Inspecção válida até,Livro de Revisões completo,Sub-modelo,IUC,IVA Discriminado,Filtro de partículas,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,MINI,One,First,Gasolina,Março,2016,149 000 km,1 198 cm3,75 cv,Utilitário,Branco,Manual,6,3,4,,117 g/km,,,Usados,13 950        EUR,8089844921,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-first-ID8PuadH.html,Sim,Sim,Sim,,Classe 1,18 Meses,1,Importado,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Junho,2018,229 162 km,1 461 cm3,110 cv,Carrinha,Preto,Manual,,5,5,Tracção dianteira,95 g/km,,,Usados,12 990        EUR,8090102475,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PwfdN.html,Sim,,Sim,,,18 Meses,1,Nacional,Sim,,,Sim,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Hyundai,i20,1.1 CRDi Access Plus,Diesel,Janeiro,2017,179 000 km,1 120 cm3,75 cv,Citadino,Branco,Manual,,5,,,,"4,40 l/100km",,Usados,8 900        EUR,8090187153,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-1-crdi-access-plus-ID8PwBfz.html,,Sim,Sim,Metalizado,,36 Meses,,,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Janeiro,2019,75 210 km,898 cm3,90 cv,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,132 g/km,"6,30 l/100km","4,20 l/100km",Usados,14 490        EUR,8090709055,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PxN1l.html,,Sim,Sim,,Classe 1,18 Meses,,Nacional,,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Particular,Renault,Mégane Break,,Diesel,Setembro,2014,260 000 km,1 500 cm3,110 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,,,Usados,8 990        EUR,8090363478,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-break-ID8Pvl7v.html,,,,Pérola,Classe 1,,2,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Opel,Astra,1.0 Edition S/S,Gasolina,Junho,2019,94 000 km,999 cm3,105 cv,Citadino,Preto,Manual,5,5,5,Tracção dianteira,,,,Usados,13 750        EUR,8089848236,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-edition-s-s-ID8Pub5a.html,,Sim,Sim,,Classe 1,18 Meses,1,Nacional,Sim,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,90 361 km,1 242 cm3,69 cv,Citadino,Azul,Manual,5,3,4,Tracção dianteira,99 g/km,"6,20 l/100km","4,20 l/100km",Usados,12 490        EUR,8090730545,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PxSBX.html,Sim,,Sim,,Classe 1,18 Meses,,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,MINI,Cooper,D,Diesel,Outubro,2013,96 000 km,1 598 cm3,112 cv,Citadino,Bege,Manual,6,3,4,Tracção dianteira,99 g/km,"4,20 l/100km","3,50 l/100km",Usados,13 490        EUR,8090643348,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PxwWy.html,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,2,Nacional,Sim,Sim,30/10/2024,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-30
Particular,Volvo,V60,2.4 D6 R-Design Sum.AWD Phev,Híbrido (Diesel),Março,2015,304 000 km,2 400 cm3,286 cv,Carrinha,Azul,Automática,6,5,5,Integral,48 g/km,,,Usados,15 000        EUR,8090574325,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-4-d6-r-design-sum-awd-phev-ID8PxdYh.html,,,,,Classe 1,,2,Importado,Sim,Sim,27/03/2024,Sim,,"235,26 €",,,,,1,,,,,,,StandVirtual,Yes,2023-09-30
Particular,VW,Up!,1.0 BlueMotion Move,Gasolina,Março,2015,75 000 km,999 cm3,60 cv,Citadino,Preto,Manual,5,5,4,Tracção dianteira,95 g/km,5 l/100km,"3,60 l/100km",Usados,8 490        EUR,8090711087,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bluemotion-move-ID8PxNy7.html,,,,Metalizado,,,2,Nacional,Sim,Sim,23/04/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
