Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Possibilidade de financiamento,Tipo de cor,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Valor Fixo,Emissões CO2,IUC,Filtro de partículas,Consumo Extra Urbano,Sub-modelo,Garantia de Fábrica até,Consumo Combinado,IVA Discriminado,IVA dedutível,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,ou até,Consumo,Clássico,Site,Portugal
Profissional,Volvo,XC 40,2.0 D3 Momentum Geartronic,Diesel,Outubro,2018,38 000 km,1 969 cm3,150 cv,,SUV / TT,Branco,Automática,8,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,90 l/100km",Usados,35 980        EUR,8089378028,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,Sim,132 g/km,,Sim,,,,,Sim,,900 km,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Agosto,2019,37 798 km,1 995 cm3,190 cv,Sim,Carrinha,Cinzento,Automática,8,5,5,Classe 1,,Sim,Sim,Sim,,Usados,42 900        EUR,8086590289,10 Julho 2023,Sim,Metalizado,Tracção traseira,,18 Meses,,,,,,,Série 5,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,e-C4,Shine Pack,Eléctrico,Junho,2022,50 km,,136 cv,,SUV / TT,Cinzento,Automática,,5,,,Nacional,,,,,Usados,38 999        EUR,8088434653,10 Julho 2023,Sim,,,,36 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Abarth,695C,Edizione Maserati 339/499,Gasolina,Fevereiro,2013,55 000 km,1 398 cm3,180 cv,Sim,Cabrio,Outra,Automática,,3,4,Classe 1,,Sim,Sim,Sim,,Usados,34 900        EUR,8051850631,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Março,2022,36 944 km,1 499 cm3,130 cv,Sim,SUV / TT,Cinzento,Automática,8,5,7,,Nacional,,,Sim,,Usados,44 950        EUR,8089299173,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Tiguan,1.4 TSI eHybrid Conceptline DSG,Híbrido (Gasolina),Março,2023,7 100 km,1 395 cm3,245 cv,Sim,SUV / TT,Cinzento,Automática,,5,5,,Nacional,,,,,Usados,39 500        EUR,8089912444,10 Julho 2023,Sim,,,,18 Meses,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,2.0 TDI Highline DSG,Diesel,Junho,2019,27 229 km,1 968 cm3,150 cv,,Monovolume,Preto,Automática,,5,5,,Nacional,,,,,Usados,42 990        EUR,8089517281,10 Julho 2023,,,,,36 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,508,2.0 BlueHDi GT EAT8,Diesel,Outubro,2018,55 000 km,1 997 cm3,177 cv,,Sedan,Azul,Automática,8,5,5,Classe 1,Nacional,Sim,Sim,Sim,6 l/100km,Usados,30 900        EUR,8087402810,10 Julho 2023,,,Tracção dianteira,,,1,,,,Sim,,,,6 l/100km,,,800 km,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Auto,Diesel,Janeiro,2018,74 850 km,1 995 cm3,190 cv,,Carrinha,Preto,Automática,,5,,,,,,,,Usados,31 950        EUR,8089905889,10 Julho 2023,Sim,Metalizado,,,36 Meses,,,,,,,Série 5,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Allure Pack EAT8,Gasolina,Março,2023,4 km,1 199 cm3,130 cv,Sim,SUV / TT,Preto,Automática,,5,5,,Importado,,,,,Usados,31 800        EUR,8089341914,10 Julho 2023,Sim,,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
