Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Valor Fixo,Aceita retoma,Não fumador,Tracção,Filtro de partículas,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,ou até,Autonomia Máxima,Inspecção válida até,IUC,Consumo Combinado,Autonomia,Consumo
Profissional,Toyota,Auris,1.8 HSD Sport+Skyview +Navi,Híbrido (Gasolina),Fevereiro,2016,85 540 km,1 798 cm3,136 cv,,,Sim,Citadino,Preto,Metalizado,Automática,,5,5,,,36 Meses,,,,Usados,18 300        EUR,8089677811,1 Junho 2023,,,,,,,,,,,,,,,,,
Particular,Citroën,DS5,2.0 HDi Hy4 So Chic CMP6 88g,Híbrido (Diesel),Novembro,2013,169 224 km,1 997 cm3,200 cv,,,,Utilitário,Preto,Metalizado,Automática,6,5,5,,88 g/km,,,Importado,Sim,Usados,11 750        EUR,8089403784,1 Junho 2023,,,,Sim,Integral,Sim,Sim,"2,90 l/100km",,,,,17/07/2023,,,,
Particular,Mercedes-Benz,C 350,e,Híbrido (Gasolina),Maio,2016,215 000 km,1 991 cm3,279 cv,,,,Sedan,Branco,,Automática,7,4,5,Classe 1,,,,,,Usados,20 000        EUR,8089559100,1 Junho 2023,Classe C,,,Sim,Tracção traseira,,Sim,,,,,,,,5 l/100km,,
Profissional,Toyota,Corolla,SD 1.8 Hybrid Luxury,Híbrido (Gasolina),Abril,2019,52 500 km,1 798 cm3,122 cv,,,Sim,Sedan,Preto,,Automática,,4,,,,36 Meses,,Nacional,,Usados,26 490        EUR,8089552834,1 Junho 2023,,Sim,,,,,,,,,,,,,,,
Profissional,Volvo,V60,2.0 T6 AWD TE R-Design Expression,Híbrido (Gasolina),Outubro,2020,51 900 km,1 969 cm3,340 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,42 g/km,36 Meses,1,Importado,Sim,Usados,43 500        EUR,8089565222,1 Junho 2023,,,Sim,Sim,Integral,,Sim,,,26/10/2023,,,26/10/2024,"215,14 €",,,
Profissional,BMW,330,e Touring Auto,Híbrido (Gasolina),Junho,2021,79 684 km,1 998 cm3,292 cv,,,Sim,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,31 g/km,18 Meses,,Nacional,Sim,Usados,48 450        EUR,8089421261,1 Junho 2023,Série 3,,Sim,,Tracção traseira,,,,,,,,,,,,
Profissional,Honda,CR-V,2.0 i-MMD Lifestyle,Híbrido (Gasolina),Março,2019,19 920 km,1 993 cm3,184 cv,,,Sim,SUV / TT,Vermelho,,Automática,,5,,,,18 Meses,,Nacional,,Usados,36 990        EUR,8089294448,1 Junho 2023,,Sim,,,,,,,,,,,,,,,
Profissional,BMW,530,e iPerformance Pack M,Híbrido (Gasolina),Dezembro,2018,83 000 km,1 998 cm3,252 cv,,,Sim,Sedan,Azul,Metalizado,Automática,,4,5,Classe 1,,18 Meses,,Nacional,Sim,Usados,46 900        EUR,8086715517,1 Junho 2023,Série 5,,Sim,,Tracção traseira,,Sim,,,,,,,,,,
Profissional,Bentley,Bentayga,V6 Hybrid,Híbrido (Gasolina),Setembro,2022,20 000 km,2 995 cm3,449 cv,,,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 2,,36 Meses,1,Nacional,Sim,Usados,239 900        EUR,8089488893,1 Junho 2023,,Sim,Sim,Sim,,,Sim,,,01/01/0001,,,,,,,
Profissional,Peugeot,308,1.6 Hybrid Active Pack e-EAT8,Híbrido (Gasolina),Fevereiro,2022,5 700 km,1 598 cm3,180 cv,,Sim,Sim,Utilitário,Verde,Metalizado,Automática,8,5,5,Classe 1,23 g/km,18 Meses,1,,Sim,Usados,38 990        EUR,8088031077,1 Junho 2023,,,Sim,Sim,Tracção dianteira,,Sim,,,14/02/2024,,,14/02/2026,,,,
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Dezembro,2020,65 950 km,1 332 cm3,218 cv,Sim,Sim,Sim,Utilitário,Branco,,Automática,8,5,5,Classe 1,29 g/km,18 Meses,1,Importado,Sim,Usados,37 980        EUR,8088895428,1 Junho 2023,Classe A,,Sim,Sim,Integral,Sim,Sim,,,,,,11/12/2024,"138,51 €",,,
Profissional,Mitsubishi,Outlander,,Híbrido (Gasolina),Outubro,2016,150 000 km,1 998 cm3,200 cv,,,Sim,SUV / TT,Cinzento,,Automática,,5,5,,,18 Meses,,Nacional,Sim,Usados,22 990        EUR,8089163151,1 Junho 2023,,Sim,Sim,Sim,Integral,,Sim,,,,,,,,,,
Particular,VW,Touareg,3.0 TSI e-Hybrid Plus,Híbrido (Gasolina),Setembro,2021,13 000 km,2 995 cm3,381 cv,,,,SUV / TT,Cinzento,Mate,Automática,8,5,5,,48 g/km,,1,,Sim,Usados,78 500        EUR,8089676752,1 Junho 2023,,,,Sim,Integral,,Sim,,,30/09/2026,100 000 km,,,,,,
