Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Autonomia,Capacidade da bateria,Valor Fixo,Autonomia Máxima,Origem,Sub-modelo,Classe do veículo,Registo(s),Garantia de Fábrica até,ou até,Consumo Combinado,Filtro de partículas,IUC,Gancho de Reboque,Consumo,Bateria,Clássico,Site,Portugal,Data
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Janeiro,2020,95 200 km,1 199 cm3,83 cv,Citadino,Vermelho,Manual,5,5,5,Tracção dianteira,,5 l/100km,,Usados,13 750        EUR,8090217785,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PwJdD.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,Importado,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Junho,2017,33 619 km,898 cm3,90 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,,,Usados,14 950        EUR,8089833582,11 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8Pu7gO.html,,Sim,Sim,Metalizado,27/06/2025,18 Meses,,,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Particular,VW,Golf,1.6 TDi Highline,Diesel,Março,2013,250 000 km,1 598 cm3,105 cv,Utilitário,Preto,Manual,,5,,,,"4,60 l/100km",,Usados,10 999        EUR,8090731406,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-highline-ID8PxSPQ.html,,,,Metalizado,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,508 SW,1.6 BlueHDi Active,Diesel,Abril,2017,171 600 km,1 560 cm3,120 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,104 g/km,"4,70 l/100km",,Usados,13 990        EUR,8090762282,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-ID8Py0RQ.html,,Sim,Sim,Metalizado,25/04/2024,18 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,Sim,147 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,208,1.6 BlueHDi GT Line,Diesel,Maio,2016,135 500 km,1 560 cm3,120 cv,Citadino,Branco,Manual,,5,,,,5 l/100km,4 l/100km,Usados,12 900        EUR,8088686727,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-gt-line-ID8PpiW9.html,,,Sim,Pérola,,18 Meses,,Sim,Sim,,,,,,,,,,,4 l/100km,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,Maio,2014,140 500 km,1 560 cm3,120 cv,Citadino,Cinzento,Manual,6,5,5,Tracção dianteira,,4 l/100km,,Usados,14 500        EUR,8088829760,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-ID8PpU88.html,,,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,,950 km,,,Classe 1,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Mercedes-Benz,C 220,CDi Avantgarde,Diesel,Janeiro,2012,220 000 km,2 148 cm3,170 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção traseira,,,,Usados,14 990        EUR,8090804938,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-ID8PybXQ.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,Sim,,Nacional,Classe C,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,5008,1.6 BlueHDi Style,Diesel,Março,2016,374 000 km,1 560 cm3,120 cv,Monovolume,Cinzento,Manual,6,5,7,,,,,Usados,10 900        EUR,8090257667,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-style-ID8PwTAT.html,,Sim,Sim,,,36 Meses,,Sim,,,,Sim,,,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,VW,Scirocco,2.0 TDI (Blue Motion Technologie) Sound,Diesel,Janeiro,2011,168 000 km,1 968 cm3,150 cv,Utilitário,Preto,Manual,6,3,5,Tracção dianteira,,"4,30 l/100km",,Usados,13 900        EUR,8090102929,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-scirocco-2-0-tdi-blue-motion-technologie-sound-ID8Pwfl7.html,,,Sim,Pérola,,18 Meses,,Sim,Sim,,,,950 km,,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,208,1.4-hdi,Diesel,Novembro,2012,106 000 km,1 398 cm3,68 cv,Citadino,Cinzento,Manual,,5,5,,,,,Usados,10 750        EUR,8089009062,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-ID8PqEM6.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
